param_0_pointers,param_0_type,param_1_pointers,param_1_type,param_2_pointers,param_2_type,param_3_pointers,param_3_type,param_4_pointers,param_4_type,param_5_pointers,param_5_type,return_pointers,return_type,out_num_props,out_return_type
0,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,0,3,0,3
1,3,0,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,2,-1
1,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1
1,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,0,3,1,3
1,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,0,3,1,3
0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,3,0,3
1,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,3,0,3
0,3,0,3,1,4,1,4,1,4,-1,-1,-1,-1,3,-1
0,3,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
1,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,0,3,1,3
1,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1
1,3,1,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,2,-1
0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,3,0,3
0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,3,0,3
1,3,1,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,3,-1
1,3,0,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,2,-1
1,3,1,3,0,3,-1,-1,-1,-1,-1,-1,0,3,2,3
1,3,1,3,0,3,-1,-1,-1,-1,-1,-1,0,2,2,2
0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,3,0,3
0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,3,0,3
0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,3,0,3
1,3,1,3,1,3,0,3,-1,-1,-1,-1,-1,-1,2,-1
1,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1
0,3,0,3,1,4,1,4,1,4,-1,-1,-1,-1,3,-1
0,3,0,3,1,4,1,4,1,4,-1,-1,-1,-1,3,-1
0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,3,0,3
1,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,0,3,1,3
1,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,0,3,1,3
1,4,0,3,-1,-1,-1,-1,-1,-1,-1,-1,0,4,1,4
1,4,0,3,-1,-1,-1,-1,-1,-1,-1,-1,0,4,1,4
1,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,0,3,1,3
1,4,1,4,1,4,0,4,0,3,-1,-1,-1,-1,4,-1
1,3,1,3,0,3,0,3,-1,-1,-1,-1,-1,-1,1,-1
1,3,0,3,0,3,0,3,-1,-1,-1,-1,-1,-1,1,-1
1,3,1,3,1,3,0,3,0,3,0,3,-1,-1,1,-1
1,3,1,3,0,3,0,3,0,3,-1,-1,-1,-1,1,-1
1,3,0,3,0,3,0,3,-1,-1,-1,-1,-1,-1,1,-1
1,3,1,3,0,3,0,3,-1,-1,-1,-1,-1,-1,1,-1
1,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,0,3,1,3
1,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,0,3,1,3
1,4,0,3,-1,-1,-1,-1,-1,-1,-1,-1,0,4,1,4
1,1,0,1,0,3,-1,-1,-1,-1,-1,-1,1,1,1,1
1,1,1,1,0,3,-1,-1,-1,-1,-1,-1,0,3,2,3
1,1,1,1,0,3,-1,-1,-1,-1,-1,-1,-1,-1,2,-1
1,1,1,1,0,3,-1,-1,-1,-1,-1,-1,-1,-1,2,-1
1,1,0,1,0,3,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
1,3,0,3,0,3,-1,-1,-1,-1,-1,-1,0,2,1,2
1,3,1,3,1,3,0,3,0,3,-1,-1,-1,-1,3,-1
1,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,0,3,1,3
1,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,0,3,1,3
1,3,1,3,0,3,-1,-1,-1,-1,-1,-1,0,2,2,2
1,3,1,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,3,-1
1,3,0,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,2,-1
0,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,0,3,0,3
0,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,0,3,0,3
1,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1
1,4,1,4,0,3,-1,-1,-1,-1,-1,-1,-1,-1,3,-1
1,3,1,3,0,3,-1,-1,-1,-1,-1,-1,0,2,2,2
1,3,1,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,3,-1
1,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,0,3,1,3
0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,3,0,3
1,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,0,3,1,3
1,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1
1,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1
1,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1
0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,3,0,3
1,3,0,3,0,3,-1,-1,-1,-1,-1,-1,0,3,1,3
1,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
1,4,0,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,-1
1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,1
1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,3,0,3
1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1
1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,3,0,3
1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,3,0,3
1,1,1,1,0,3,-1,-1,-1,-1,-1,-1,-1,-1,2,-1
1,1,1,1,0,3,-1,-1,-1,-1,-1,-1,0,3,2,3
1,1,1,1,0,3,-1,-1,-1,-1,-1,-1,-1,-1,2,-1
1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,0,1
1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,0,3,0,3
1,3,1,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,3,-1
1,3,0,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,2,-1
1,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,0,3,1,3
1,3,0,3,-1,-1,-1,-1,-1,-1,-1,-1,0,3,1,3
