function,group,implementation
memchr,string.h,mem_chr
memcmp,string.h,mem_cmp
memcpy,string.h,mem_cpy
memmove,string.h,mem_move
memset,string.h,mem_set
strchr,string.h,str_chr
strcmp,string.h,str_cmp
strcpy,string.h,str_cpy
strlen,string.h,str_len
strncmp,string.h,str_ncmp
strncpy,string.h,str_ncpy
strrchr,string.h,str_rchr
clamp,mathfu,clamp
eq,mathfu,eq
len,mathfu,len
len_sq,mathfu,len_sq
matmul_sca,mathfu,matmul_sca
matmul_vec,mathfu,matmul_vec
muleq,mathfu,muleq
muleq_sca,mathfu,muleq_sca
negate,mathfu,negate
noteq,mathfu,noteq
pluseq,mathfu,pluseq
pluseq_sca,mathfu,pluseq_sca
subeq,mathfu,subeq
subeq_sca,mathfu,subeq_sca
abs,glm,vabs
compMult,glm,comp_mult
det,glm,det
distance,glm,distance
dot,glm,dot
exp,glm,a_pow_n
fma,glm,glm_fma
imul,glm,imul
inverseqrt,glm,inverse_sqrt
length,glm,len
mix,glm,mix
normalize,glm,norm
reflect,glm,reflect
sqrt,glm,square_root
bcopy,strsafe,str_cpy
bcopyN,strsafe,str_ncpy
blength,strsafe,str_len
copy,strsafe,str_cpy
copyN,strsafe,str_ncpy
length,strsafe,str_len
blk_move,ti,mem_move
convol,ti,convol
dotp,ti,dot
iir,ti,fir
max,ti,max_elt
min,ti,min_elt
vecmul,ti,vmul
vecrecip,ti,vrecip
vecsumsq,ti,sum_of_squares
w_vec,ti,w_vec
matadd,arm,matadd
matinit,arm,matinit
matscal,arm,matscal
matsub,arm,matsub
max,arm,max_elt
mean,arm,mean
min,arm,min_elt
sqrt,arm,square_root
vabs,arm,vabs
vadd,arm,vadd
vcopy,arm,vcopy
vdot,arm,vdot
vfill,arm,vfill
vmul,arm,vmul
vneg,arm,vneg
voffset,arm,voffset
vscal,arm,vscal
vsub,arm,vsub
