instruction,function,freq
store,disable_trace,934
return,disable_trace,7405
branch,adpcm,21736
icmp,adpcm,5020
sub,adpcm,1325
add,adpcm,2158
load,trace_enabled,11212
return,trace_enabled,7405
load,adpcm,11212
fmul,adpcm,2943
fadd,adpcm,1986
fcmp,adpcm,2223
fsub,adpcm,752
mul,adpcm,78
fdiv,adpcm,78
store,adpcm,934
load,print_access_impl,11212
icmp,print_access_impl,5020
branch,print_access_impl,21736
29 7f3b279681a0,,1
return,print_access_impl,7405
return,print_access,7405
30 7f3b27968180,,1
0 7f3b27968120,,6
1 7f3b27968160,,30
0 7f3b27968124,,6
1 7f3b27968164,,30
0 7f3b27968128,,6
1 7f3b27968168,,30
0 7f3b2796812c,,6
1 7f3b2796816c,,30
0 7f3b27968130,,6
1 7f3b27968170,,30
0 7f3b27968134,,6
1 7f3b27968174,,30
2 7f3b27968180,,30
3 7f3b27968180,,1
4 7f3b27968184,,30
5 7f3b27968184,,1
6 7f3b2924a058,,1
7 7f3b2924a058,,1
9 7f3b279680a0,,30
9 7f3b279680a4,,10
9 7f3b279680a8,,10
9 7f3b279680ac,,10
9 7f3b279680b0,,10
9 7f3b279680b4,,10
9 7f3b279680b8,,10
9 7f3b279680bc,,10
10 3631f08,,1
11 7f3b279680dc,,10
12 7f3b279681a0,,1
13 7f3b279681a4,,1
14 7f3b27968180,,30
16 7f3b27968180,,23
17 7f3b27968184,,30
18 7f3b279680fc,,10
21 7f3b27968180,,29
22 7f3b27968180,,29
23 7f3b27968184,,29
24 7f3b27968120,,6
25 7f3b27968160,,29
26 7f3b27968160,,29
24 7f3b27968124,,6
25 7f3b27968164,,29
26 7f3b27968164,,29
24 7f3b27968128,,6
25 7f3b27968168,,29
26 7f3b27968168,,29
24 7f3b2796812c,,6
25 7f3b2796816c,,29
26 7f3b2796816c,,29
24 7f3b27968130,,6
25 7f3b27968170,,29
26 7f3b27968170,,29
24 7f3b27968134,,6
25 7f3b27968174,,29
26 7f3b27968174,,29
27 7f3b2796811c,,10
28 7f3b2796811c,,1
29 7f3b2796819c,,1
30 7f3b2796817c,,1
0 7f3b2796811c,,6
3 7f3b2796817c,,1
5 7f3b27968180,,1
6 7f3b2924a060,,1
7 7f3b2924a060,,1
10 3631f10,,1
12 7f3b2796819c,,1
13 7f3b279681a0,,1
15 7f3b27968180,,7
24 7f3b2796811c,,6
28 7f3b27968118,,1
29 7f3b27968198,,1
30 7f3b27968178,,1
0 7f3b27968118,,6
3 7f3b27968178,,1
5 7f3b2796817c,,1
6 7f3b2924a068,,1
7 7f3b2924a068,,1
10 3631f18,,1
12 7f3b27968198,,1
13 7f3b2796819c,,1
24 7f3b27968118,,5
28 7f3b27968114,,1
29 7f3b27968194,,1
30 7f3b27968174,,1
0 7f3b27968114,,6
3 7f3b27968174,,1
5 7f3b27968178,,1
6 7f3b2924a070,,1
7 7f3b2924a070,,1
10 3631f20,,1
12 7f3b27968194,,1
13 7f3b27968198,,1
24 7f3b27968114,,5
28 7f3b27968110,,1
29 7f3b27968190,,1
30 7f3b27968170,,1
0 7f3b27968110,,6
3 7f3b27968170,,1
5 7f3b27968174,,1
6 7f3b2924a078,,1
7 7f3b2924a078,,1
10 3631f28,,1
12 7f3b27968190,,1
13 7f3b27968194,,1
24 7f3b27968110,,5
28 7f3b2796810c,,1
29 7f3b2796818c,,1
30 7f3b2796816c,,1
0 7f3b2796810c,,6
3 7f3b2796816c,,1
5 7f3b27968170,,1
6 7f3b2924a080,,1
7 7f3b2924a080,,1
10 3631f30,,1
12 7f3b2796818c,,1
13 7f3b27968190,,1
24 7f3b2796810c,,5
28 7f3b27968108,,1
29 7f3b27968188,,1
30 7f3b27968168,,1
0 7f3b27968108,,6
3 7f3b27968168,,1
5 7f3b2796816c,,1
6 7f3b2924a088,,1
7 7f3b2924a088,,1
10 3631f38,,1
12 7f3b27968188,,1
13 7f3b2796818c,,1
24 7f3b27968108,,5
28 7f3b27968104,,1
29 7f3b27968184,,1
30 7f3b27968164,,1
0 7f3b27968104,,6
3 7f3b27968164,,1
5 7f3b27968168,,1
6 7f3b2924a090,,1
7 7f3b2924a090,,1
10 3631f40,,1
12 7f3b27968184,,1
13 7f3b27968188,,1
19 7f3b27968180,,1
19 7f3b27968184,,1
20 7f3b27968160,,1
20 7f3b27968164,,1
20 7f3b27968168,,1
20 7f3b2796816c,,1
20 7f3b27968170,,1
20 7f3b27968174,,1
28 7f3b27968100,,1
29 7f3b27968180,,1
30 7f3b27968160,,1
0 7f3b27968100,,6
3 7f3b27968160,,1
5 7f3b27968164,,1
6 7f3b2924a098,,1
7 7f3b2924a098,,1
10 3631f48,,1
12 7f3b27968180,,1
13 7f3b27968184,,1
24 7f3b27968100,,6
24 7f3b27968104,,5
28 7f3b279680fc,,1
29 7f3b2796817c,,1
30 7f3b2796815c,,1
0 7f3b279680fc,,6
3 7f3b2796815c,,1
5 7f3b27968160,,1
6 7f3b2924a0a0,,1
7 7f3b2924a0a0,,1
10 3631f50,,1
12 7f3b2796817c,,1
13 7f3b27968180,,1
24 7f3b279680fc,,6
28 7f3b279680f8,,1
29 7f3b27968178,,1
30 7f3b27968158,,1
0 7f3b279680f8,,6
3 7f3b27968158,,1
5 7f3b2796815c,,1
6 7f3b2924a0a8,,1
7 7f3b2924a0a8,,1
10 3631f58,,1
11 7f3b279680c0,,20
12 7f3b27968178,,1
13 7f3b2796817c,,1
18 7f3b279680e0,,20
24 7f3b279680f8,,6
27 7f3b27968100,,20
28 7f3b279680f4,,1
29 7f3b27968174,,1
30 7f3b27968154,,1
0 7f3b279680f4,,6
3 7f3b27968154,,1
5 7f3b27968158,,1
6 7f3b2924a0b0,,1
7 7f3b2924a0b0,,1
10 3631f60,,1
12 7f3b27968174,,1
13 7f3b27968178,,1
24 7f3b279680f4,,6
28 7f3b279680f0,,1
29 7f3b27968170,,1
30 7f3b27968150,,1
0 7f3b279680f0,,6
3 7f3b27968150,,1
5 7f3b27968154,,1
6 7f3b2924a0b8,,1
7 7f3b2924a0b8,,1
10 3631f68,,1
12 7f3b27968170,,1
13 7f3b27968174,,1
24 7f3b279680f0,,6
28 7f3b279680ec,,1
29 7f3b2796816c,,1
30 7f3b2796814c,,1
0 7f3b279680ec,,6
3 7f3b2796814c,,1
5 7f3b27968150,,1
6 7f3b2924a0c0,,1
7 7f3b2924a0c0,,1
10 3631f70,,1
12 7f3b2796816c,,1
13 7f3b27968170,,1
24 7f3b279680ec,,6
28 7f3b279680e8,,1
29 7f3b27968168,,1
30 7f3b27968148,,1
0 7f3b279680e8,,6
3 7f3b27968148,,1
5 7f3b2796814c,,1
6 7f3b2924a0c8,,1
7 7f3b2924a0c8,,1
10 3631f78,,1
12 7f3b27968168,,1
13 7f3b2796816c,,1
24 7f3b279680e8,,6
28 7f3b279680e4,,1
29 7f3b27968164,,1
30 7f3b27968144,,1
0 7f3b279680e4,,6
3 7f3b27968144,,1
5 7f3b27968148,,1
6 7f3b2924a0d0,,1
7 7f3b2924a0d0,,1
10 3631f80,,1
12 7f3b27968164,,1
13 7f3b27968168,,1
24 7f3b279680e4,,6
28 7f3b279680e0,,1
29 7f3b27968160,,1
30 7f3b27968140,,1
0 7f3b279680e0,,5
3 7f3b27968140,,1
5 7f3b27968144,,1
6 7f3b2924a0d8,,1
7 7f3b2924a0d8,,1
10 3631f88,,1
12 7f3b27968160,,1
13 7f3b27968164,,1
24 7f3b279680e0,,5
28 7f3b279680dc,,1
29 7f3b2796815c,,1
30 7f3b2796813c,,1
0 7f3b279680dc,,4
3 7f3b2796813c,,1
5 7f3b27968140,,1
6 7f3b2924a0e0,,1
7 7f3b2924a0e0,,1
10 3631f90,,1
12 7f3b2796815c,,1
13 7f3b27968160,,1
24 7f3b279680dc,,4
28 7f3b279680d8,,1
29 7f3b27968158,,1
30 7f3b27968138,,1
0 7f3b279680d8,,3
3 7f3b27968138,,1
5 7f3b2796813c,,1
6 7f3b2924a0e8,,1
7 7f3b2924a0e8,,1
10 3631f98,,1
12 7f3b27968158,,1
13 7f3b2796815c,,1
24 7f3b279680d8,,3
28 7f3b279680d4,,1
29 7f3b27968154,,1
30 7f3b27968134,,1
0 7f3b279680d4,,2
3 7f3b27968134,,1
5 7f3b27968138,,1
6 7f3b2924a0f0,,1
7 7f3b2924a0f0,,1
10 3631fa0,,1
12 7f3b27968154,,1
13 7f3b27968158,,1
24 7f3b279680d4,,2
28 7f3b279680d0,,1
29 7f3b27968150,,1
30 7f3b27968130,,1
0 7f3b279680d0,,1
3 7f3b27968130,,1
5 7f3b27968134,,1
6 7f3b2924a0f8,,1
7 7f3b2924a0f8,,1
10 3631fa8,,1
12 7f3b27968150,,1
13 7f3b27968154,,1
24 7f3b279680d0,,1
28 7f3b279680cc,,1
29 7f3b2796814c,,1
30 7f3b2796812c,,1
return,adpcm,7405
0 7f3b27968144,,6
0 7f3b27968148,,5
0 7f3b2796814c,,4
0 7f3b27968150,,3
0 7f3b27968154,,2
0 7f3b27968158,,1
3 7f3b279681a4,,1
5 7f3b279681a8,,1
6 38c59f0,,1
7 38c59f0,,1
10 3aade90,,1
12 7f3b279681c4,,1
13 7f3b279681c8,,1
24 7f3b27968144,,6
24 7f3b27968148,,5
24 7f3b2796814c,,4
24 7f3b27968150,,3
24 7f3b27968154,,2
24 7f3b27968158,,1
28 7f3b27968140,,1
29 7f3b279681c0,,1
30 7f3b279681a0,,1
0 7f3b27968140,,6
3 7f3b279681a0,,1
5 7f3b279681a4,,1
6 38c59f8,,1
7 38c59f8,,1
10 3aade98,,1
12 7f3b279681c0,,1
13 7f3b279681c4,,1
24 7f3b27968140,,6
