param,value,time,tag
param_id_0,1,676556,kernel_2mm
param_id_0,1,653192,kernel_2mm
param_id_0,1,650737,kernel_2mm
param_id_0,1,653292,kernel_2mm
param_id_0,1,648964,kernel_2mm
param_id_0,1,648442,kernel_2mm
param_id_0,1,647440,kernel_2mm
param_id_0,1,652050,kernel_2mm
param_id_0,1,649605,kernel_2mm
param_id_0,1,655546,kernel_2mm
param_id_0,9,5122265,kernel_2mm
param_id_0,9,5137353,kernel_2mm
param_id_0,9,5131532,kernel_2mm
param_id_0,9,5124409,kernel_2mm
param_id_0,9,5140619,kernel_2mm
param_id_0,9,5135259,kernel_2mm
param_id_0,9,5151119,kernel_2mm
param_id_0,9,5141741,kernel_2mm
param_id_0,9,5141361,kernel_2mm
param_id_0,9,5132283,kernel_2mm
param_id_0,17,9606366,kernel_2mm
param_id_0,17,9608379,kernel_2mm
param_id_0,17,9604242,kernel_2mm
param_id_0,17,9628398,kernel_2mm
param_id_0,17,9609061,kernel_2mm
param_id_0,17,9609994,kernel_2mm
param_id_0,17,9607368,kernel_2mm
param_id_0,17,9614382,kernel_2mm
param_id_0,17,9609102,kernel_2mm
param_id_0,17,9701397,kernel_2mm
param_id_0,25,14091359,kernel_2mm
param_id_0,25,14183445,kernel_2mm
param_id_0,25,14106217,kernel_2mm
param_id_0,25,14088975,kernel_2mm
param_id_0,25,14206778,kernel_2mm
param_id_0,25,14133981,kernel_2mm
param_id_0,25,14100888,kernel_2mm
param_id_0,25,14092982,kernel_2mm
param_id_0,25,14128250,kernel_2mm
param_id_0,25,14105837,kernel_2mm
param_id_0,33,18605649,kernel_2mm
param_id_0,33,18572917,kernel_2mm
param_id_0,33,18584738,kernel_2mm
param_id_0,33,18623883,kernel_2mm
param_id_0,33,18583878,kernel_2mm
param_id_0,33,18566954,kernel_2mm
param_id_0,33,18611640,kernel_2mm
param_id_0,33,18597894,kernel_2mm
param_id_0,33,18578598,kernel_2mm
param_id_0,33,18580420,kernel_2mm
param_id_0,41,23069171,kernel_2mm
param_id_0,41,23064482,kernel_2mm
param_id_0,41,23038413,kernel_2mm
param_id_0,41,23061978,kernel_2mm
param_id_0,41,23060334,kernel_2mm
param_id_0,41,23042590,kernel_2mm
param_id_0,41,23046768,kernel_2mm
param_id_0,41,23219787,kernel_2mm
param_id_0,41,23059112,kernel_2mm
param_id_0,41,23119648,kernel_2mm
param_id_0,49,27560216,kernel_2mm
param_id_0,49,27544737,kernel_2mm
param_id_0,49,27573751,kernel_2mm
param_id_0,49,27527724,kernel_2mm
param_id_0,49,27599169,kernel_2mm
param_id_0,49,27558522,kernel_2mm
param_id_0,49,27526151,kernel_2mm
param_id_0,49,27547642,kernel_2mm
param_id_0,49,27543984,kernel_2mm
param_id_0,49,27667349,kernel_2mm
param_id_0,57,32002818,kernel_2mm
param_id_0,57,32074886,kernel_2mm
param_id_0,57,32035501,kernel_2mm
param_id_0,57,32118549,kernel_2mm
param_id_0,57,32490867,kernel_2mm
param_id_0,57,32013269,kernel_2mm
param_id_0,57,32015162,kernel_2mm
param_id_0,57,32036453,kernel_2mm
param_id_0,57,32011445,kernel_2mm
param_id_0,57,32027286,kernel_2mm
param_id_0,65,36470910,kernel_2mm
param_id_0,65,36513992,kernel_2mm
