param,value,time,tag
a,0,1072,a_pow_n
a,0,491,a_pow_n
a,0,491,a_pow_n
a,0,491,a_pow_n
a,0,501,a_pow_n
a,0,491,a_pow_n
a,0,491,a_pow_n
a,0,500,a_pow_n
a,0,501,a_pow_n
a,0,501,a_pow_n
a,8,501,a_pow_n
a,8,490,a_pow_n
a,8,491,a_pow_n
a,8,491,a_pow_n
a,8,491,a_pow_n
a,8,491,a_pow_n
a,8,491,a_pow_n
a,8,491,a_pow_n
a,8,491,a_pow_n
a,8,501,a_pow_n
a,16,491,a_pow_n
a,16,491,a_pow_n
a,16,501,a_pow_n
a,16,491,a_pow_n
a,16,491,a_pow_n
a,16,501,a_pow_n
a,16,491,a_pow_n
a,16,501,a_pow_n
a,16,501,a_pow_n
a,16,490,a_pow_n
a,24,491,a_pow_n
a,24,501,a_pow_n
a,24,501,a_pow_n
a,24,491,a_pow_n
a,24,490,a_pow_n
a,24,491,a_pow_n
a,24,501,a_pow_n
a,24,491,a_pow_n
a,24,491,a_pow_n
a,24,491,a_pow_n
a,32,491,a_pow_n
a,32,491,a_pow_n
a,32,491,a_pow_n
a,32,491,a_pow_n
a,32,491,a_pow_n
a,32,491,a_pow_n
a,32,491,a_pow_n
a,32,491,a_pow_n
a,32,491,a_pow_n
a,32,501,a_pow_n
a,40,491,a_pow_n
a,40,491,a_pow_n
a,40,501,a_pow_n
a,40,491,a_pow_n
a,40,491,a_pow_n
a,40,490,a_pow_n
a,40,491,a_pow_n
a,40,500,a_pow_n
a,40,501,a_pow_n
a,40,500,a_pow_n
a,48,491,a_pow_n
a,48,491,a_pow_n
a,48,490,a_pow_n
a,48,501,a_pow_n
a,48,491,a_pow_n
a,48,491,a_pow_n
a,48,501,a_pow_n
a,48,501,a_pow_n
a,48,491,a_pow_n
a,48,491,a_pow_n
a,56,491,a_pow_n
a,56,491,a_pow_n
a,56,491,a_pow_n
a,56,491,a_pow_n
a,56,491,a_pow_n
a,56,501,a_pow_n
a,56,501,a_pow_n
a,56,491,a_pow_n
a,56,491,a_pow_n
a,56,491,a_pow_n
a,64,491,a_pow_n
a,64,490,a_pow_n
a,64,491,a_pow_n
a,64,490,a_pow_n
a,64,491,a_pow_n
a,64,501,a_pow_n
a,64,491,a_pow_n
a,64,490,a_pow_n
a,64,491,a_pow_n
a,64,490,a_pow_n
a,72,491,a_pow_n
a,72,491,a_pow_n
a,72,491,a_pow_n
a,72,491,a_pow_n
a,72,501,a_pow_n
a,72,491,a_pow_n
a,72,491,a_pow_n
a,72,491,a_pow_n
a,72,501,a_pow_n
a,72,491,a_pow_n
a,80,491,a_pow_n
a,80,491,a_pow_n
a,80,501,a_pow_n
a,80,491,a_pow_n
a,80,491,a_pow_n
a,80,501,a_pow_n
a,80,501,a_pow_n
a,80,491,a_pow_n
a,80,501,a_pow_n
a,80,491,a_pow_n
a,88,491,a_pow_n
a,88,491,a_pow_n
a,88,501,a_pow_n
a,88,501,a_pow_n
a,88,491,a_pow_n
a,88,491,a_pow_n
a,88,491,a_pow_n
a,88,491,a_pow_n
a,88,501,a_pow_n
a,88,491,a_pow_n
a,96,491,a_pow_n
a,96,491,a_pow_n
a,96,491,a_pow_n
a,96,491,a_pow_n
a,96,501,a_pow_n
a,96,491,a_pow_n
a,96,491,a_pow_n
a,96,491,a_pow_n
a,96,491,a_pow_n
a,96,501,a_pow_n
a,104,491,a_pow_n
a,104,491,a_pow_n
a,104,491,a_pow_n
a,104,491,a_pow_n
a,104,501,a_pow_n
a,104,491,a_pow_n
a,104,501,a_pow_n
a,104,491,a_pow_n
a,104,491,a_pow_n
a,104,491,a_pow_n
a,112,491,a_pow_n
a,112,501,a_pow_n
a,112,501,a_pow_n
a,112,491,a_pow_n
a,112,501,a_pow_n
a,112,491,a_pow_n
a,112,501,a_pow_n
a,112,491,a_pow_n
a,112,501,a_pow_n
a,112,491,a_pow_n
a,120,491,a_pow_n
a,120,490,a_pow_n
a,120,491,a_pow_n
a,120,491,a_pow_n
a,120,491,a_pow_n
a,120,491,a_pow_n
a,120,491,a_pow_n
a,120,491,a_pow_n
a,120,501,a_pow_n
a,120,491,a_pow_n
a,128,501,a_pow_n
a,128,491,a_pow_n
a,128,501,a_pow_n
a,128,491,a_pow_n
a,128,491,a_pow_n
a,128,491,a_pow_n
a,128,491,a_pow_n
a,128,491,a_pow_n
a,128,501,a_pow_n
a,128,501,a_pow_n
a,136,501,a_pow_n
a,136,501,a_pow_n
a,136,491,a_pow_n
a,136,491,a_pow_n
a,136,491,a_pow_n
a,136,491,a_pow_n
a,136,491,a_pow_n
a,136,491,a_pow_n
a,136,491,a_pow_n
a,136,501,a_pow_n
a,144,491,a_pow_n
a,144,491,a_pow_n
a,144,491,a_pow_n
a,144,501,a_pow_n
a,144,501,a_pow_n
a,144,491,a_pow_n
a,144,491,a_pow_n
a,144,491,a_pow_n
a,144,491,a_pow_n
a,144,491,a_pow_n
a,152,501,a_pow_n
a,152,491,a_pow_n
a,152,491,a_pow_n
a,152,491,a_pow_n
a,152,491,a_pow_n
a,152,491,a_pow_n
a,152,491,a_pow_n
a,152,490,a_pow_n
a,152,501,a_pow_n
a,152,490,a_pow_n
a,160,491,a_pow_n
a,160,501,a_pow_n
a,160,491,a_pow_n
a,160,491,a_pow_n
a,160,490,a_pow_n
a,160,501,a_pow_n
a,160,501,a_pow_n
a,160,491,a_pow_n
a,160,491,a_pow_n
a,160,501,a_pow_n
a,168,501,a_pow_n
a,168,491,a_pow_n
a,168,501,a_pow_n
a,168,491,a_pow_n
a,168,491,a_pow_n
a,168,491,a_pow_n
a,168,501,a_pow_n
a,168,501,a_pow_n
a,168,491,a_pow_n
a,168,501,a_pow_n
a,176,491,a_pow_n
a,176,501,a_pow_n
a,176,501,a_pow_n
a,176,491,a_pow_n
a,176,491,a_pow_n
a,176,491,a_pow_n
a,176,491,a_pow_n
a,176,501,a_pow_n
a,176,501,a_pow_n
a,176,491,a_pow_n
a,184,491,a_pow_n
a,184,501,a_pow_n
a,184,491,a_pow_n
a,184,491,a_pow_n
a,184,491,a_pow_n
a,184,501,a_pow_n
a,184,491,a_pow_n
a,184,491,a_pow_n
a,184,491,a_pow_n
a,184,491,a_pow_n
a,192,491,a_pow_n
a,192,501,a_pow_n
a,192,501,a_pow_n
a,192,491,a_pow_n
a,192,501,a_pow_n
a,192,501,a_pow_n
a,192,491,a_pow_n
a,192,491,a_pow_n
a,192,491,a_pow_n
a,192,491,a_pow_n
a,200,491,a_pow_n
a,200,491,a_pow_n
a,200,491,a_pow_n
a,200,491,a_pow_n
a,200,491,a_pow_n
a,200,501,a_pow_n
a,200,491,a_pow_n
a,200,501,a_pow_n
a,200,491,a_pow_n
a,200,501,a_pow_n
a,208,501,a_pow_n
a,208,491,a_pow_n
a,208,491,a_pow_n
a,208,501,a_pow_n
a,208,491,a_pow_n
a,208,491,a_pow_n
a,208,491,a_pow_n
a,208,491,a_pow_n
a,208,491,a_pow_n
a,208,491,a_pow_n
a,216,491,a_pow_n
a,216,491,a_pow_n
a,216,491,a_pow_n
a,216,491,a_pow_n
a,216,491,a_pow_n
a,216,501,a_pow_n
a,216,491,a_pow_n
a,216,491,a_pow_n
a,216,491,a_pow_n
a,216,501,a_pow_n
a,224,501,a_pow_n
a,224,491,a_pow_n
a,224,501,a_pow_n
a,224,501,a_pow_n
a,224,501,a_pow_n
a,224,491,a_pow_n
a,224,491,a_pow_n
a,224,491,a_pow_n
a,224,491,a_pow_n
a,224,491,a_pow_n
a,232,501,a_pow_n
a,232,491,a_pow_n
a,232,501,a_pow_n
a,232,491,a_pow_n
a,232,491,a_pow_n
a,232,491,a_pow_n
a,232,491,a_pow_n
a,232,491,a_pow_n
a,232,491,a_pow_n
a,232,501,a_pow_n
a,240,491,a_pow_n
a,240,491,a_pow_n
a,240,491,a_pow_n
a,240,490,a_pow_n
a,240,491,a_pow_n
a,240,500,a_pow_n
a,240,491,a_pow_n
a,240,490,a_pow_n
a,240,491,a_pow_n
a,240,491,a_pow_n
a,248,491,a_pow_n
a,248,491,a_pow_n
a,248,491,a_pow_n
a,248,501,a_pow_n
a,248,491,a_pow_n
a,248,491,a_pow_n
a,248,501,a_pow_n
a,248,491,a_pow_n
a,248,491,a_pow_n
a,248,491,a_pow_n
a,256,501,a_pow_n
a,256,491,a_pow_n
a,256,491,a_pow_n
a,256,491,a_pow_n
a,256,491,a_pow_n
a,256,491,a_pow_n
a,256,500,a_pow_n
