param,value,time,tag
param_id_0,1,1312,add
param_id_0,1,751,add
param_id_0,1,621,add
param_id_0,1,862,add
param_id_0,1,711,add
param_id_0,1,812,add
param_id_0,1,932,add
param_id_0,1,721,add
param_id_0,1,1072,add
param_id_0,1,761,add
param_id_0,9,722,add
param_id_0,9,1072,add
param_id_0,9,1052,add
param_id_0,9,731,add
param_id_0,9,962,add
param_id_0,9,721,add
param_id_0,9,822,add
param_id_0,9,1082,add
param_id_0,9,742,add
param_id_0,9,691,add
param_id_0,17,962,add
param_id_0,17,741,add
param_id_0,17,1142,add
param_id_0,17,731,add
param_id_0,17,761,add
param_id_0,17,882,add
param_id_0,17,721,add
param_id_0,17,902,add
param_id_0,17,1012,add
param_id_0,17,1012,add
param_id_0,25,821,add
param_id_0,25,711,add
param_id_0,25,992,add
param_id_0,25,791,add
param_id_0,25,711,add
param_id_0,25,781,add
param_id_0,25,821,add
param_id_0,25,752,add
param_id_0,25,731,add
param_id_0,25,1113,add
param_id_0,33,741,add
param_id_0,33,741,add
param_id_0,33,731,add
param_id_0,33,1122,add
param_id_0,33,751,add
param_id_0,33,691,add
param_id_0,33,722,add
param_id_0,33,792,add
param_id_0,33,801,add
param_id_0,33,732,add
param_id_0,41,831,add
param_id_0,41,832,add
param_id_0,41,772,add
param_id_0,41,972,add
param_id_0,41,1052,add
param_id_0,41,751,add
param_id_0,41,1002,add
param_id_0,41,951,add
param_id_0,41,762,add
param_id_0,41,1072,add
param_id_0,49,851,add
param_id_0,49,751,add
param_id_0,49,791,add
param_id_0,49,721,add
param_id_0,49,721,add
param_id_0,49,811,add
param_id_0,49,752,add
param_id_0,49,1002,add
param_id_0,49,1011,add
param_id_0,49,762,add
param_id_0,57,772,add
param_id_0,57,872,add
param_id_0,57,831,add
param_id_0,57,1032,add
param_id_0,57,1162,add
param_id_0,57,761,add
param_id_0,57,882,add
param_id_0,57,741,add
param_id_0,57,802,add
param_id_0,57,762,add
param_id_0,65,722,add
param_id_0,65,741,add
param_id_0,65,751,add
param_id_0,65,712,add
param_id_0,65,922,add
param_id_0,65,722,add
param_id_0,65,711,add
param_id_0,65,812,add
param_id_0,65,701,add
param_id_0,65,672,add
param_id_0,73,721,add
param_id_0,73,702,add
param_id_0,73,672,add
param_id_0,73,712,add
param_id_0,73,682,add
param_id_0,73,802,add
param_id_0,73,701,add
param_id_0,73,681,add
param_id_0,73,722,add
param_id_0,73,731,add
param_id_0,81,621,add
param_id_0,81,802,add
param_id_0,81,942,add
param_id_0,81,741,add
param_id_0,81,671,add
param_id_0,81,952,add
param_id_0,81,691,add
param_id_0,81,661,add
param_id_0,81,762,add
param_id_0,81,741,add
param_id_0,89,742,add
param_id_0,89,651,add
param_id_0,89,762,add
param_id_0,89,721,add
param_id_0,89,792,add
param_id_0,89,702,add
