param,value,time,tag
n,0,621,array_prod
n,0,531,array_prod
n,0,622,array_prod
n,0,822,array_prod
n,0,511,array_prod
n,0,421,array_prod
n,0,531,array_prod
n,0,831,array_prod
n,0,541,array_prod
n,0,521,array_prod
n,8,1312,array_prod
n,8,711,array_prod
n,8,1403,array_prod
n,8,481,array_prod
n,8,1032,array_prod
n,8,932,array_prod
n,8,1213,array_prod
n,8,691,array_prod
n,8,1072,array_prod
n,8,1052,array_prod
n,16,1312,array_prod
n,16,1513,array_prod
n,16,911,array_prod
n,16,811,array_prod
n,16,1082,array_prod
n,16,1313,array_prod
n,16,832,array_prod
n,16,702,array_prod
n,16,721,array_prod
n,16,832,array_prod
n,24,721,array_prod
n,24,1112,array_prod
n,24,1773,array_prod
n,24,1022,array_prod
n,24,1072,array_prod
n,24,961,array_prod
n,24,941,array_prod
n,24,1093,array_prod
n,24,1082,array_prod
n,24,1122,array_prod
n,32,1683,array_prod
n,32,791,array_prod
n,32,1242,array_prod
n,32,1233,array_prod
n,32,1192,array_prod
n,32,1313,array_prod
n,32,1183,array_prod
n,32,1202,array_prod
n,32,1292,array_prod
n,32,1673,array_prod
n,40,1233,array_prod
n,40,1273,array_prod
n,40,1302,array_prod
n,40,1242,array_prod
n,40,1453,array_prod
n,40,1133,array_prod
n,40,1133,array_prod
n,40,1673,array_prod
n,40,1262,array_prod
n,40,1242,array_prod
n,48,1643,array_prod
n,48,1012,array_prod
n,48,1202,array_prod
n,48,1363,array_prod
n,48,1332,array_prod
n,48,1352,array_prod
n,48,1212,array_prod
n,48,1663,array_prod
n,48,962,array_prod
n,48,1633,array_prod
n,56,1262,array_prod
n,56,2164,array_prod
n,56,1904,array_prod
n,56,1934,array_prod
n,56,841,array_prod
n,56,1403,array_prod
n,56,1262,array_prod
n,56,1673,array_prod
n,56,1242,array_prod
n,56,1333,array_prod
n,64,1323,array_prod
n,64,1924,array_prod
n,64,1903,array_prod
n,64,1543,array_prod
n,64,1593,array_prod
n,64,1613,array_prod
n,64,1242,array_prod
n,64,1393,array_prod
n,64,1573,array_prod
n,64,1693,array_prod
n,72,1783,array_prod
n,72,1874,array_prod
n,72,1563,array_prod
n,72,2474,array_prod
n,72,1523,array_prod
n,72,1442,array_prod
n,72,1422,array_prod
n,72,1413,array_prod
n,72,1413,array_prod
n,72,1443,array_prod
n,80,1392,array_prod
n,80,1593,array_prod
n,80,1753,array_prod
n,80,1633,array_prod
n,80,1403,array_prod
n,80,1423,array_prod
n,80,1713,array_prod
n,80,1352,array_prod
n,80,1603,array_prod
n,80,911,array_prod
n,88,1764,array_prod
n,88,1292,array_prod
n,88,1212,array_prod
n,88,1303,array_prod
n,88,1082,array_prod
n,88,1303,array_prod
n,88,1172,array_prod
n,88,1673,array_prod
n,88,1312,array_prod
n,88,1243,array_prod
n,96,1343,array_prod
n,96,1002,array_prod
n,96,802,array_prod
n,96,1433,array_prod
n,96,1483,array_prod
n,96,1433,array_prod
n,96,1433,array_prod
n,96,1443,array_prod
n,96,1402,array_prod
n,96,1443,array_prod
n,104,1463,array_prod
n,104,1673,array_prod
n,104,1773,array_prod
n,104,1342,array_prod
n,104,962,array_prod
n,104,1443,array_prod
n,104,1984,array_prod
n,104,1452,array_prod
n,104,1753,array_prod
n,104,1954,array_prod
n,112,1353,array_prod
n,112,1894,array_prod
n,112,1873,array_prod
n,112,2204,array_prod
n,112,1052,array_prod
n,112,1332,array_prod
n,112,1493,array_prod
n,112,1523,array_prod
n,112,1974,array_prod
n,112,1794,array_prod
n,120,2034,array_prod
n,120,1483,array_prod
n,120,1583,array_prod
n,120,1604,array_prod
n,120,1132,array_prod
n,120,1773,array_prod
n,120,1973,array_prod
n,120,1483,array_prod
n,120,1523,array_prod
n,120,1132,array_prod
n,128,1283,array_prod
n,128,1112,array_prod
n,128,1483,array_prod
n,128,1072,array_prod
n,128,962,array_prod
n,128,1684,array_prod
n,128,1212,array_prod
n,128,1663,array_prod
n,128,1463,array_prod
n,128,1462,array_prod
n,136,1363,array_prod
n,136,1493,array_prod
n,136,1483,array_prod
n,136,1512,array_prod
n,136,1152,array_prod
n,136,1192,array_prod
n,136,1733,array_prod
n,136,1513,array_prod
n,136,1723,array_prod
n,136,1663,array_prod
n,144,1823,array_prod
n,144,1743,array_prod
n,144,1684,array_prod
n,144,1482,array_prod
n,144,1503,array_prod
n,144,1964,array_prod
n,144,1633,array_prod
n,144,1934,array_prod
n,144,1533,array_prod
n,144,1873,array_prod
n,152,1873,array_prod
n,152,1122,array_prod
n,152,2164,array_prod
n,152,2034,array_prod
n,152,1723,array_prod
n,152,1412,array_prod
n,152,1743,array_prod
n,152,981,array_prod
n,152,1353,array_prod
n,152,1412,array_prod
n,160,1543,array_prod
n,160,2154,array_prod
n,160,1593,array_prod
n,160,1332,array_prod
n,160,1723,array_prod
n,160,1843,array_prod
n,160,1543,array_prod
n,160,1573,array_prod
n,160,1482,array_prod
n,160,1462,array_prod
n,168,1664,array_prod
n,168,2084,array_prod
n,168,1403,array_prod
n,168,1272,array_prod
n,168,1452,array_prod
n,168,1072,array_prod
n,168,1303,array_prod
n,168,1453,array_prod
n,168,1553,array_prod
n,168,1804,array_prod
n,176,1523,array_prod
n,176,1483,array_prod
n,176,1202,array_prod
n,176,1453,array_prod
n,176,1453,array_prod
n,176,2034,array_prod
n,176,1283,array_prod
n,176,1653,array_prod
n,176,1904,array_prod
n,176,1273,array_prod
n,184,1172,array_prod
n,184,1764,array_prod
n,184,1543,array_prod
n,184,1613,array_prod
n,184,1573,array_prod
n,184,1813,array_prod
n,184,1483,array_prod
n,184,1553,array_prod
n,184,1543,array_prod
n,184,1593,array_prod
n,192,1222,array_prod
n,192,1614,array_prod
n,192,1173,array_prod
n,192,1252,array_prod
n,192,1633,array_prod
n,192,1783,array_prod
n,192,1873,array_prod
n,192,1593,array_prod
n,192,1914,array_prod
n,192,1223,array_prod
n,200,1724,array_prod
n,200,1844,array_prod
n,200,1082,array_prod
n,200,1493,array_prod
n,200,1493,array_prod
n,200,1864,array_prod
n,200,1513,array_prod
n,200,1593,array_prod
n,200,1563,array_prod
n,200,1162,array_prod
n,208,1403,array_prod
n,208,1012,array_prod
n,208,1643,array_prod
n,208,1203,array_prod
n,208,1693,array_prod
n,208,1263,array_prod
n,208,942,array_prod
n,208,1533,array_prod
n,208,1553,array_prod
n,208,1513,array_prod
n,216,1332,array_prod
n,216,1693,array_prod
n,216,1302,array_prod
n,216,1322,array_prod
n,216,871,array_prod
n,216,1383,array_prod
n,216,1452,array_prod
n,216,1082,array_prod
n,216,1593,array_prod
n,216,1583,array_prod
n,224,1122,array_prod
n,224,1512,array_prod
n,224,1272,array_prod
n,224,1272,array_prod
n,224,1272,array_prod
n,224,1012,array_prod
n,224,1382,array_prod
n,224,1152,array_prod
n,224,1523,array_prod
n,224,1563,array_prod
n,232,1343,array_prod
n,232,1664,array_prod
n,232,1373,array_prod
n,232,1212,array_prod
n,232,1713,array_prod
n,232,1633,array_prod
n,232,1343,array_prod
n,232,1322,array_prod
n,232,1703,array_prod
n,232,1433,array_prod
n,240,1342,array_prod
n,240,1052,array_prod
n,240,1202,array_prod
n,240,1693,array_prod
n,240,1283,array_prod
n,240,1733,array_prod
n,240,1373,array_prod
n,240,1523,array_prod
n,240,1553,array_prod
n,240,1703,array_prod
n,248,1733,array_prod
