param,value,time,tag
param_id_0,1,1032,kernel_cholesky
param_id_0,1,160,kernel_cholesky
param_id_0,1,191,kernel_cholesky
param_id_0,1,170,kernel_cholesky
param_id_0,1,130,kernel_cholesky
param_id_0,1,181,kernel_cholesky
param_id_0,1,140,kernel_cholesky
param_id_0,1,201,kernel_cholesky
param_id_0,1,201,kernel_cholesky
param_id_0,1,131,kernel_cholesky
param_id_0,9,1713,kernel_cholesky
param_id_0,9,1312,kernel_cholesky
param_id_0,9,952,kernel_cholesky
param_id_0,9,912,kernel_cholesky
param_id_0,9,961,kernel_cholesky
param_id_0,9,922,kernel_cholesky
param_id_0,9,922,kernel_cholesky
param_id_0,9,911,kernel_cholesky
param_id_0,9,942,kernel_cholesky
param_id_0,9,972,kernel_cholesky
param_id_0,17,4058,kernel_cholesky
param_id_0,17,3637,kernel_cholesky
param_id_0,17,3667,kernel_cholesky
param_id_0,17,3587,kernel_cholesky
param_id_0,17,3747,kernel_cholesky
param_id_0,17,3456,kernel_cholesky
param_id_0,17,3526,kernel_cholesky
param_id_0,17,3436,kernel_cholesky
param_id_0,17,3517,kernel_cholesky
param_id_0,17,3447,kernel_cholesky
param_id_0,25,9638,kernel_cholesky
param_id_0,25,9408,kernel_cholesky
param_id_0,25,9669,kernel_cholesky
param_id_0,25,9679,kernel_cholesky
param_id_0,25,9358,kernel_cholesky
param_id_0,25,9317,kernel_cholesky
param_id_0,25,9418,kernel_cholesky
param_id_0,25,9518,kernel_cholesky
param_id_0,25,9288,kernel_cholesky
param_id_0,25,9428,kernel_cholesky
param_id_0,33,21100,kernel_cholesky
param_id_0,33,20679,kernel_cholesky
param_id_0,33,20579,kernel_cholesky
param_id_0,33,20569,kernel_cholesky
param_id_0,33,20599,kernel_cholesky
param_id_0,33,20770,kernel_cholesky
param_id_0,33,20739,kernel_cholesky
param_id_0,33,20810,kernel_cholesky
param_id_0,33,20640,kernel_cholesky
param_id_0,33,20389,kernel_cholesky
param_id_0,41,39005,kernel_cholesky
param_id_0,41,38844,kernel_cholesky
param_id_0,41,38092,kernel_cholesky
param_id_0,41,38143,kernel_cholesky
param_id_0,41,38082,kernel_cholesky
param_id_0,41,38723,kernel_cholesky
param_id_0,41,38633,kernel_cholesky
param_id_0,41,38603,kernel_cholesky
param_id_0,41,38163,kernel_cholesky
param_id_0,41,38513,kernel_cholesky
param_id_0,49,65664,kernel_cholesky
param_id_0,49,67057,kernel_cholesky
param_id_0,49,66997,kernel_cholesky
param_id_0,49,67148,kernel_cholesky
param_id_0,49,66777,kernel_cholesky
param_id_0,49,67017,kernel_cholesky
param_id_0,49,66667,kernel_cholesky
param_id_0,49,67138,kernel_cholesky
param_id_0,49,64853,kernel_cholesky
param_id_0,49,66937,kernel_cholesky
param_id_0,57,103407,kernel_cholesky
param_id_0,57,102786,kernel_cholesky
param_id_0,57,102254,kernel_cholesky
param_id_0,57,102755,kernel_cholesky
param_id_0,57,101473,kernel_cholesky
param_id_0,57,103507,kernel_cholesky
param_id_0,57,102555,kernel_cholesky
param_id_0,57,101924,kernel_cholesky
param_id_0,57,102956,kernel_cholesky
param_id_0,57,104068,kernel_cholesky
param_id_0,65,152119,kernel_cholesky
param_id_0,65,152870,kernel_cholesky
param_id_0,65,153452,kernel_cholesky
param_id_0,65,152510,kernel_cholesky
param_id_0,65,151739,kernel_cholesky
param_id_0,65,150386,kernel_cholesky
param_id_0,65,151017,kernel_cholesky
param_id_0,65,152880,kernel_cholesky
param_id_0,65,153552,kernel_cholesky
param_id_0,65,150997,kernel_cholesky
param_id_0,73,213085,kernel_cholesky
param_id_0,73,212734,kernel_cholesky
param_id_0,73,214748,kernel_cholesky
param_id_0,73,212554,kernel_cholesky
param_id_0,73,215800,kernel_cholesky
param_id_0,73,215469,kernel_cholesky
param_id_0,73,213646,kernel_cholesky
param_id_0,73,214288,kernel_cholesky
param_id_0,73,213686,kernel_cholesky
param_id_0,73,216291,kernel_cholesky
param_id_0,81,291343,kernel_cholesky
param_id_0,81,294390,kernel_cholesky
param_id_0,81,292666,kernel_cholesky
param_id_0,81,292245,kernel_cholesky
param_id_0,81,296353,kernel_cholesky
param_id_0,81,293939,kernel_cholesky
param_id_0,81,292075,kernel_cholesky
param_id_0,81,292286,kernel_cholesky
param_id_0,81,291414,kernel_cholesky
param_id_0,81,297476,kernel_cholesky
param_id_0,89,387076,kernel_cholesky
param_id_0,89,385462,kernel_cholesky
param_id_0,89,385332,kernel_cholesky
param_id_0,89,385433,kernel_cholesky
param_id_0,89,385523,kernel_cholesky
param_id_0,89,386535,kernel_cholesky
param_id_0,89,387296,kernel_cholesky
param_id_0,89,390212,kernel_cholesky
param_id_0,89,388087,kernel_cholesky
param_id_0,89,387356,kernel_cholesky
param_id_0,97,505711,kernel_cholesky
param_id_0,97,499730,kernel_cholesky
param_id_0,97,499048,kernel_cholesky
param_id_0,97,499750,kernel_cholesky
param_id_0,97,502976,kernel_cholesky
param_id_0,97,499670,kernel_cholesky
param_id_0,97,499439,kernel_cholesky
param_id_0,97,499690,kernel_cholesky
param_id_0,97,501092,kernel_cholesky
param_id_0,97,498297,kernel_cholesky
param_id_0,105,632973,kernel_cholesky
param_id_0,105,633804,kernel_cholesky
param_id_0,105,633304,kernel_cholesky
param_id_0,105,634185,kernel_cholesky
param_id_0,105,632682,kernel_cholesky
param_id_0,105,632963,kernel_cholesky
param_id_0,105,633934,kernel_cholesky
param_id_0,105,632923,kernel_cholesky
param_id_0,105,641719,kernel_cholesky
param_id_0,105,632772,kernel_cholesky
param_id_0,113,791604,kernel_cholesky
param_id_0,113,797686,kernel_cholesky
param_id_0,113,790342,kernel_cholesky
param_id_0,113,789561,kernel_cholesky
param_id_0,113,790422,kernel_cholesky
param_id_0,113,794681,kernel_cholesky
param_id_0,113,789691,kernel_cholesky
param_id_0,113,790181,kernel_cholesky
param_id_0,113,790362,kernel_cholesky
param_id_0,113,789991,kernel_cholesky
param_id_0,121,968431,kernel_cholesky
param_id_0,121,970074,kernel_cholesky
param_id_0,121,976355,kernel_cholesky
param_id_0,121,975264,kernel_cholesky
param_id_0,121,974622,kernel_cholesky
param_id_0,121,973851,kernel_cholesky
param_id_0,121,974031,kernel_cholesky
param_id_0,121,975594,kernel_cholesky
param_id_0,121,973780,kernel_cholesky
param_id_0,121,969212,kernel_cholesky
param_id_0,129,1182848,kernel_cholesky
param_id_0,129,1180162,kernel_cholesky
param_id_0,129,1186194,kernel_cholesky
param_id_0,129,1179812,kernel_cholesky
param_id_0,129,1188919,kernel_cholesky
param_id_0,129,1188408,kernel_cholesky
param_id_0,129,1184641,kernel_cholesky
param_id_0,129,1186915,kernel_cholesky
param_id_0,129,1188048,kernel_cholesky
param_id_0,129,1192897,kernel_cholesky
param_id_0,137,1414368,kernel_cholesky
param_id_0,137,1417584,kernel_cholesky
param_id_0,137,1414478,kernel_cholesky
param_id_0,137,1421592,kernel_cholesky
param_id_0,137,1417273,kernel_cholesky
param_id_0,137,1420600,kernel_cholesky
param_id_0,137,1418386,kernel_cholesky
param_id_0,137,1420960,kernel_cholesky
param_id_0,137,1414839,kernel_cholesky
param_id_0,137,1418035,kernel_cholesky
param_id_0,145,1691995,kernel_cholesky
param_id_0,145,1684301,kernel_cholesky
param_id_0,145,1686996,kernel_cholesky
param_id_0,145,1689671,kernel_cholesky
param_id_0,145,1684120,kernel_cholesky
param_id_0,145,1687717,kernel_cholesky
param_id_0,145,1681415,kernel_cholesky
param_id_0,145,1680424,kernel_cholesky
param_id_0,145,1678479,kernel_cholesky
param_id_0,145,1678620,kernel_cholesky
param_id_0,153,1978700,kernel_cholesky
param_id_0,153,1983680,kernel_cholesky
param_id_0,153,1974002,kernel_cholesky
param_id_0,153,1974162,kernel_cholesky
param_id_0,153,1972939,kernel_cholesky
param_id_0,153,1972559,kernel_cholesky
param_id_0,153,1972198,kernel_cholesky
param_id_0,153,1970515,kernel_cholesky
