param,value,time,tag
param_id_0,0,221,clamp
param_id_0,0,80,clamp
param_id_0,0,71,clamp
param_id_0,0,70,clamp
param_id_0,0,60,clamp
param_id_0,32,311,clamp
param_id_0,32,210,clamp
param_id_0,32,210,clamp
param_id_0,32,210,clamp
param_id_0,32,201,clamp
param_id_0,64,360,clamp
param_id_0,64,330,clamp
param_id_0,64,321,clamp
param_id_0,64,310,clamp
param_id_0,64,311,clamp
param_id_0,96,421,clamp
param_id_0,96,421,clamp
param_id_0,96,420,clamp
param_id_0,96,431,clamp
param_id_0,96,421,clamp
param_id_0,128,592,clamp
param_id_0,128,581,clamp
param_id_0,128,551,clamp
param_id_0,128,561,clamp
param_id_0,128,561,clamp
param_id_0,160,701,clamp
param_id_0,160,722,clamp
param_id_0,160,701,clamp
param_id_0,160,702,clamp
param_id_0,160,701,clamp
param_id_0,192,842,clamp
param_id_0,192,851,clamp
param_id_0,192,862,clamp
param_id_0,192,841,clamp
param_id_0,192,841,clamp
param_id_0,224,961,clamp
param_id_0,224,932,clamp
param_id_0,224,942,clamp
param_id_0,224,932,clamp
param_id_0,224,942,clamp
param_id_0,256,1032,clamp
param_id_0,256,1042,clamp
param_id_0,256,1022,clamp
param_id_0,256,1042,clamp
param_id_0,256,1032,clamp
param_id_0,288,1122,clamp
param_id_0,288,1123,clamp
param_id_0,288,1122,clamp
param_id_0,288,1112,clamp
param_id_0,288,1112,clamp
param_id_0,320,1202,clamp
param_id_0,320,1212,clamp
param_id_0,320,1212,clamp
param_id_0,320,1212,clamp
param_id_0,320,1202,clamp
param_id_0,352,1283,clamp
param_id_0,352,1283,clamp
param_id_0,352,1293,clamp
param_id_0,352,1293,clamp
param_id_0,352,1292,clamp
param_id_0,384,1423,clamp
param_id_0,384,1432,clamp
param_id_0,384,1423,clamp
param_id_0,384,1423,clamp
param_id_0,384,1413,clamp
param_id_0,416,1523,clamp
param_id_0,416,1533,clamp
param_id_0,416,1523,clamp
param_id_0,416,1523,clamp
param_id_0,416,1523,clamp
param_id_0,448,1654,clamp
param_id_0,448,1663,clamp
param_id_0,448,1663,clamp
param_id_0,448,1663,clamp
param_id_0,448,1653,clamp
param_id_0,480,1793,clamp
param_id_0,480,1773,clamp
param_id_0,480,1774,clamp
param_id_0,480,1774,clamp
param_id_0,480,1774,clamp
