param,value,time,tag
param_id_0,0,111,collatz
param_id_0,0,30,collatz
param_id_0,0,30,collatz
param_id_0,0,30,collatz
param_id_0,0,20,collatz
param_id_0,32,80,collatz
param_id_0,32,40,collatz
param_id_0,32,30,collatz
param_id_0,32,30,collatz
param_id_0,32,30,collatz
param_id_0,64,51,collatz
param_id_0,64,60,collatz
param_id_0,64,60,collatz
param_id_0,64,50,collatz
param_id_0,64,40,collatz
param_id_0,96,80,collatz
param_id_0,96,51,collatz
param_id_0,96,50,collatz
param_id_0,96,50,collatz
param_id_0,96,50,collatz
param_id_0,128,71,collatz
param_id_0,128,80,collatz
param_id_0,128,70,collatz
param_id_0,128,70,collatz
param_id_0,128,40,collatz
param_id_0,160,80,collatz
param_id_0,160,70,collatz
param_id_0,160,60,collatz
param_id_0,160,60,collatz
param_id_0,160,50,collatz
param_id_0,192,90,collatz
param_id_0,192,70,collatz
param_id_0,192,70,collatz
param_id_0,192,70,collatz
param_id_0,192,51,collatz
param_id_0,224,150,collatz
param_id_0,224,90,collatz
param_id_0,224,70,collatz
param_id_0,224,70,collatz
param_id_0,224,70,collatz
param_id_0,256,90,collatz
param_id_0,256,80,collatz
param_id_0,256,80,collatz
param_id_0,256,70,collatz
param_id_0,256,50,collatz
param_id_0,288,140,collatz
param_id_0,288,120,collatz
param_id_0,288,100,collatz
param_id_0,288,90,collatz
param_id_0,288,80,collatz
param_id_0,320,100,collatz
param_id_0,320,70,collatz
param_id_0,320,70,collatz
param_id_0,320,61,collatz
param_id_0,320,50,collatz
param_id_0,352,110,collatz
param_id_0,352,111,collatz
param_id_0,352,80,collatz
param_id_0,352,70,collatz
param_id_0,352,60,collatz
param_id_0,384,101,collatz
param_id_0,384,80,collatz
param_id_0,384,80,collatz
param_id_0,384,80,collatz
param_id_0,384,60,collatz
param_id_0,416,110,collatz
param_id_0,416,90,collatz
param_id_0,416,70,collatz
param_id_0,416,60,collatz
param_id_0,416,50,collatz
param_id_0,448,100,collatz
param_id_0,448,80,collatz
param_id_0,448,70,collatz
param_id_0,448,71,collatz
param_id_0,448,50,collatz
param_id_0,480,100,collatz
param_id_0,480,100,collatz
param_id_0,480,71,collatz
param_id_0,480,50,collatz
param_id_0,480,50,collatz
