param,value,time,tag
param_id_0,1,592,dct
param_id_0,1,1092,dct
param_id_0,1,460,dct
param_id_0,1,1764,dct
param_id_0,1,1974,dct
param_id_0,1,1753,dct
param_id_0,1,562,dct
param_id_0,1,1904,dct
param_id_0,1,1613,dct
param_id_0,1,451,dct
param_id_0,9,6763,dct
param_id_0,9,5821,dct
param_id_0,9,5751,dct
param_id_0,9,6082,dct
param_id_0,9,6362,dct
param_id_0,9,6502,dct
param_id_0,9,6362,dct
param_id_0,9,6352,dct
param_id_0,9,6573,dct
param_id_0,9,6813,dct
param_id_0,17,33273,dct
param_id_0,17,31640,dct
param_id_0,17,32271,dct
param_id_0,17,32131,dct
param_id_0,17,32211,dct
param_id_0,17,32361,dct
param_id_0,17,33374,dct
param_id_0,17,32292,dct
param_id_0,17,32101,dct
param_id_0,17,38323,dct
param_id_0,25,102384,dct
param_id_0,25,101342,dct
param_id_0,25,101643,dct
param_id_0,25,102274,dct
param_id_0,25,102585,dct
param_id_0,25,103156,dct
param_id_0,25,104329,dct
param_id_0,25,103517,dct
param_id_0,25,101814,dct
param_id_0,25,103045,dct
param_id_0,33,246027,dct
param_id_0,33,232932,dct
param_id_0,33,234245,dct
param_id_0,33,234596,dct
param_id_0,33,234706,dct
param_id_0,33,234135,dct
param_id_0,33,235447,dct
param_id_0,33,235888,dct
param_id_0,33,234416,dct
param_id_0,33,234215,dct
param_id_0,41,450657,dct
param_id_0,41,455696,dct
param_id_0,41,459653,dct
param_id_0,41,459754,dct
param_id_0,41,453071,dct
param_id_0,41,453101,dct
param_id_0,41,539696,dct
param_id_0,41,452039,dct
param_id_0,41,453071,dct
param_id_0,41,451327,dct
param_id_0,49,772427,dct
param_id_0,49,770674,dct
param_id_0,49,768891,dct
param_id_0,49,770023,dct
param_id_0,49,776816,dct
param_id_0,49,777337,dct
param_id_0,49,776606,dct
param_id_0,49,777326,dct
param_id_0,49,778068,dct
param_id_0,49,878299,dct
param_id_0,57,1228635,dct
param_id_0,57,1213495,dct
param_id_0,57,1215259,dct
param_id_0,57,1215219,dct
param_id_0,57,1219677,dct
param_id_0,57,1223905,dct
param_id_0,57,1212784,dct
param_id_0,57,1214397,dct
param_id_0,57,1214587,dct
param_id_0,57,1213827,dct
param_id_0,65,1807715,dct
param_id_0,65,1807565,dct
param_id_0,65,1806582,dct
param_id_0,65,1812584,dct
param_id_0,65,1808656,dct
param_id_0,65,1804488,dct
param_id_0,65,1806673,dct
param_id_0,65,1806863,dct
param_id_0,65,1802515,dct
param_id_0,65,1892285,dct
param_id_0,73,2561256,dct
param_id_0,73,2564302,dct
param_id_0,73,2562058,dct
param_id_0,73,2622784,dct
param_id_0,73,2653662,dct
param_id_0,73,2660064,dct
param_id_0,73,2613605,dct
param_id_0,73,2622192,dct
param_id_0,73,2664502,dct
param_id_0,73,2567929,dct
param_id_0,81,3503276,dct
param_id_0,81,3515419,dct
param_id_0,81,3513465,dct
param_id_0,81,3621351,dct
param_id_0,81,3572037,dct
param_id_0,81,3645796,dct
param_id_0,81,3523374,dct
param_id_0,81,3505690,dct
param_id_0,81,3504718,dct
param_id_0,81,3555214,dct
param_id_0,89,4747249,dct
param_id_0,89,4656737,dct
param_id_0,89,4635507,dct
param_id_0,89,4646398,dct
param_id_0,89,4644193,dct
param_id_0,89,4653882,dct
param_id_0,89,4760275,dct
param_id_0,89,4639575,dct
param_id_0,89,4654633,dct
param_id_0,89,4650005,dct
param_id_0,97,6041188,dct
param_id_0,97,6034816,dct
param_id_0,97,6020407,dct
param_id_0,97,6034274,dct
param_id_0,97,6072567,dct
param_id_0,97,6032110,dct
param_id_0,97,6055154,dct
param_id_0,97,6124085,dct
param_id_0,97,6128735,dct
param_id_0,97,6042310,dct
param_id_0,105,7655224,dct
param_id_0,105,7638533,dct
param_id_0,105,7656096,dct
param_id_0,105,7773730,dct
param_id_0,105,7851017,dct
param_id_0,105,7753201,dct
param_id_0,105,7825268,dct
param_id_0,105,7782446,dct
param_id_0,105,7746067,dct
param_id_0,105,7642460,dct
param_id_0,113,9528723,dct
param_id_0,113,9640787,dct
param_id_0,113,9812693,dct
param_id_0,113,9833834,dct
param_id_0,113,9844604,dct
param_id_0,113,9802654,dct
param_id_0,113,9833162,dct
param_id_0,113,9812113,dct
param_id_0,113,9834765,dct
param_id_0,113,9724715,dct
param_id_0,121,12082135,dct
param_id_0,121,11692064,dct
param_id_0,121,11920969,dct
param_id_0,121,11998947,dct
param_id_0,121,11894949,dct
param_id_0,121,12043822,dct
param_id_0,121,12004587,dct
param_id_0,121,12017172,dct
param_id_0,121,11686584,dct
param_id_0,121,11691002,dct
param_id_0,129,14161264,dct
param_id_0,129,14155544,dct
param_id_0,129,14146928,dct
param_id_0,129,14156246,dct
param_id_0,129,14152769,dct
param_id_0,129,14168950,dct
param_id_0,129,14164611,dct
param_id_0,129,14149333,dct
param_id_0,129,14153330,dct
param_id_0,129,14166705,dct
param_id_0,137,17132420,dct
param_id_0,137,17521570,dct
param_id_0,137,17492855,dct
param_id_0,137,17282154,dct
param_id_0,137,16944684,dct
param_id_0,137,16944894,dct
param_id_0,137,16955885,dct
param_id_0,137,16952619,dct
param_id_0,137,17410768,dct
param_id_0,137,16952889,dct
param_id_0,145,20100269,dct
param_id_0,145,20112713,dct
param_id_0,145,20097855,dct
param_id_0,145,20094969,dct
param_id_0,145,20097273,dct
param_id_0,145,20663098,dct
param_id_0,145,20392473,dct
param_id_0,145,20641026,dct
param_id_0,145,20616139,dct
param_id_0,145,20668388,dct
param_id_0,153,24272947,dct
param_id_0,153,24469971,dct
param_id_0,153,24316980,dct
param_id_0,153,24373717,dct
param_id_0,153,23619706,dct
param_id_0,153,23616951,dct
param_id_0,153,24230245,dct
param_id_0,153,24366805,dct
param_id_0,153,24346907,dct
param_id_0,153,24089317,dct
param_id_0,161,27511740,dct
param_id_0,161,27512101,dct
param_id_0,161,27532890,dct
param_id_0,161,27523994,dct
param_id_0,161,27513804,dct
param_id_0,161,28000668,dct
param_id_0,161,27859871,dct
param_id_0,161,27515668,dct
param_id_0,161,27528802,dct
param_id_0,161,27513414,dct
param_id_0,169,31925185,dct
param_id_0,169,32006258,dct
param_id_0,169,31800418,dct
param_id_0,169,31870091,dct
param_id_0,169,32751996,dct
param_id_0,169,32841656,dct
param_id_0,169,32588665,dct
param_id_0,169,31844893,dct
param_id_0,169,31833611,dct
param_id_0,169,31801741,dct
param_id_0,177,36601250,dct
param_id_0,177,36606338,dct
param_id_0,177,36605607,dct
param_id_0,177,36629924,dct
param_id_0,177,36584117,dct
param_id_0,177,36613162,dct
param_id_0,177,36687051,dct
param_id_0,177,37625616,dct
param_id_0,177,37740474,dct
param_id_0,177,36797492,dct
param_id_0,185,42985499,dct
param_id_0,185,42300608,dct
param_id_0,185,41834241,dct
param_id_0,185,41851614,dct
param_id_0,185,41847046,dct
param_id_0,185,41815264,dct
param_id_0,185,41800948,dct
param_id_0,185,42675069,dct
