param,value,time,tag
M,0,1192,convol
M,0,842,convol
M,0,1513,convol
M,0,832,convol
M,0,601,convol
M,0,1553,convol
M,0,831,convol
M,0,1022,convol
M,0,602,convol
M,0,722,convol
M,8,14748,convol
M,8,15209,convol
M,8,14698,convol
M,8,15650,convol
M,8,14748,convol
M,8,14708,convol
M,8,15219,convol
M,8,15439,convol
M,8,15490,convol
M,8,14557,convol
M,16,28204,convol
M,16,28083,convol
M,16,28834,convol
M,16,28575,convol
M,16,28514,convol
M,16,28144,convol
M,16,28424,convol
M,16,34155,convol
M,16,28314,convol
M,16,28343,convol
M,24,42430,convol
M,24,42230,convol
M,24,41609,convol
M,24,42431,convol
M,24,41799,convol
M,24,42581,convol
M,24,43332,convol
M,24,43864,convol
M,24,42822,convol
M,24,41739,convol
M,32,62990,convol
M,32,56187,convol
M,32,55816,convol
M,32,55917,convol
M,32,55265,convol
M,32,55265,convol
M,32,55305,convol
M,32,56226,convol
M,32,55225,convol
M,32,56498,convol
M,40,70374,convol
M,40,77217,convol
M,40,68871,convol
M,40,68500,convol
M,40,68751,convol
M,40,69512,convol
M,40,69021,convol
M,40,68921,convol
M,40,69652,convol
M,40,68630,convol
M,48,83238,convol
M,48,83248,convol
M,48,82377,convol
M,48,83038,convol
M,48,83569,convol
M,48,82116,convol
M,48,83779,convol
M,48,82557,convol
M,48,83118,convol
M,48,82968,convol
M,56,96403,convol
M,56,103507,convol
M,56,96143,convol
M,56,96914,convol
M,56,96103,convol
M,56,96994,convol
M,56,95652,convol
M,56,97235,convol
M,56,96403,convol
M,56,95852,convol
M,64,111171,convol
M,64,109579,convol
M,64,110991,convol
M,64,109759,convol
M,64,111662,convol
M,64,110189,convol
M,64,109738,convol
M,64,109458,convol
M,64,110720,convol
M,64,109458,convol
M,72,123445,convol
M,72,124356,convol
M,72,123294,convol
M,72,123074,convol
M,72,124908,convol
M,72,124977,convol
M,72,123284,convol
M,72,123915,convol
M,72,131470,convol
M,72,124256,convol
M,80,137792,convol
M,80,137842,convol
M,80,137101,convol
M,80,137802,convol
M,80,136910,convol
M,80,137702,convol
M,80,136810,convol
M,80,137692,convol
M,80,136820,convol
M,80,137171,convol
M,88,151578,convol
M,88,150265,convol
M,88,150916,convol
M,88,150496,convol
M,88,151969,convol
M,88,151188,convol
M,88,150436,convol
M,88,150465,convol
M,88,151598,convol
M,88,151608,convol
M,96,163842,convol
M,96,171035,convol
M,96,165705,convol
M,96,164152,convol
M,96,165625,convol
M,96,164152,convol
M,96,164183,convol
M,96,164542,convol
M,96,171936,convol
M,96,164492,convol
M,104,177898,convol
M,104,177728,convol
M,104,179591,convol
M,104,177878,convol
M,104,178018,convol
M,104,185873,convol
M,104,179160,convol
M,104,177978,convol
M,104,178459,convol
M,104,178730,convol
M,112,192065,convol
M,112,191494,convol
M,112,201002,convol
M,112,192666,convol
M,112,193478,convol
M,112,191534,convol
M,112,191685,convol
M,112,191564,convol
M,112,192005,convol
M,112,192756,convol
M,120,206442,convol
M,120,205480,convol
M,120,206192,convol
M,120,205951,convol
M,120,206723,convol
M,120,206272,convol
M,120,204980,convol
M,120,206362,convol
M,120,205300,convol
M,120,205601,convol
M,128,219237,convol
M,128,219978,convol
M,128,219046,convol
M,128,219317,convol
M,128,220359,convol
M,128,219988,convol
M,128,218916,convol
M,128,219527,convol
M,128,219618,convol
M,128,220920,convol
M,136,232913,convol
M,136,234245,convol
M,136,232482,convol
M,136,233263,convol
M,136,234555,convol
M,136,234035,convol
M,136,232863,convol
M,136,234275,convol
M,136,240577,convol
M,136,234045,convol
M,144,246719,convol
M,144,247551,convol
M,144,248262,convol
M,144,246468,convol
M,144,246829,convol
M,144,247971,convol
M,144,247110,convol
M,144,247851,convol
M,144,247190,convol
M,144,247250,convol
M,152,260074,convol
M,152,261517,convol
M,152,261598,convol
M,152,260445,convol
M,152,261337,convol
M,152,260685,convol
M,152,260525,convol
M,152,261838,convol
M,152,261828,convol
M,152,261637,convol
M,160,275032,convol
M,160,274131,convol
M,160,274542,convol
M,160,274432,convol
M,160,275023,convol
M,160,281966,convol
M,160,274381,convol
M,160,274252,convol
M,160,273970,convol
M,160,275223,convol
M,168,295672,convol
M,168,289210,convol
M,168,289510,convol
M,168,287847,convol
M,168,287646,convol
M,168,295491,convol
M,168,287877,convol
M,168,288388,convol
M,168,289871,convol
M,168,288538,convol
M,176,309639,convol
M,176,302936,convol
M,176,303286,convol
M,176,301943,convol
M,176,302104,convol
M,176,302134,convol
M,176,302194,convol
M,176,302215,convol
M,176,302655,convol
