param,value,time,tag
param_id_0,0,320,convolution
param_id_0,0,201,convolution
param_id_0,0,120,convolution
param_id_0,0,70,convolution
param_id_0,0,70,convolution
param_id_0,32,190,convolution
param_id_0,32,221,convolution
param_id_0,32,221,convolution
param_id_0,32,230,convolution
param_id_0,32,231,convolution
param_id_0,64,280,convolution
param_id_0,64,331,convolution
param_id_0,64,281,convolution
param_id_0,64,320,convolution
param_id_0,64,291,convolution
param_id_0,96,431,convolution
param_id_0,96,380,convolution
param_id_0,96,430,convolution
param_id_0,96,411,convolution
param_id_0,96,451,convolution
param_id_0,128,521,convolution
param_id_0,128,571,convolution
param_id_0,128,521,convolution
param_id_0,128,571,convolution
param_id_0,128,481,convolution
param_id_0,160,632,convolution
param_id_0,160,631,convolution
param_id_0,160,682,convolution
param_id_0,160,631,convolution
param_id_0,160,672,convolution
param_id_0,192,741,convolution
param_id_0,192,802,convolution
param_id_0,192,752,convolution
param_id_0,192,802,convolution
param_id_0,192,742,convolution
param_id_0,224,841,convolution
param_id_0,224,862,convolution
param_id_0,224,841,convolution
param_id_0,224,861,convolution
param_id_0,224,842,convolution
param_id_0,256,982,convolution
param_id_0,256,901,convolution
param_id_0,256,1021,convolution
param_id_0,256,991,convolution
param_id_0,256,951,convolution
param_id_0,288,1092,convolution
param_id_0,288,1062,convolution
param_id_0,288,1133,convolution
param_id_0,288,1052,convolution
param_id_0,288,1142,convolution
param_id_0,320,1252,convolution
param_id_0,320,1202,convolution
param_id_0,320,1212,convolution
param_id_0,320,1202,convolution
param_id_0,320,1122,convolution
param_id_0,352,1322,convolution
param_id_0,352,1322,convolution
param_id_0,352,1323,convolution
param_id_0,352,1322,convolution
param_id_0,352,1313,convolution
param_id_0,384,1433,convolution
param_id_0,384,1442,convolution
param_id_0,384,1332,convolution
param_id_0,384,1433,convolution
param_id_0,384,1432,convolution
param_id_0,416,1553,convolution
param_id_0,416,1433,convolution
param_id_0,416,1433,convolution
param_id_0,416,1433,convolution
param_id_0,416,1433,convolution
param_id_0,448,1673,convolution
param_id_0,448,1664,convolution
param_id_0,448,1663,convolution
param_id_0,448,1663,convolution
param_id_0,448,1664,convolution
param_id_0,480,1774,convolution
param_id_0,480,1783,convolution
param_id_0,480,1783,convolution
param_id_0,480,1774,convolution
param_id_0,480,1783,convolution
