param,value,time,tag
n,0,450,cube_in_place
n,0,401,cube_in_place
n,0,431,cube_in_place
n,0,321,cube_in_place
n,0,421,cube_in_place
n,0,421,cube_in_place
n,0,641,cube_in_place
n,0,310,cube_in_place
n,0,411,cube_in_place
n,0,311,cube_in_place
n,8,1263,cube_in_place
n,8,982,cube_in_place
n,8,571,cube_in_place
n,8,691,cube_in_place
n,8,611,cube_in_place
n,8,691,cube_in_place
n,8,571,cube_in_place
n,8,521,cube_in_place
n,8,701,cube_in_place
n,8,702,cube_in_place
n,16,420,cube_in_place
n,16,1083,cube_in_place
n,16,922,cube_in_place
n,16,1713,cube_in_place
n,16,731,cube_in_place
n,16,701,cube_in_place
n,16,722,cube_in_place
n,16,721,cube_in_place
n,16,1543,cube_in_place
n,16,1152,cube_in_place
n,24,1483,cube_in_place
n,24,901,cube_in_place
n,24,1162,cube_in_place
n,24,741,cube_in_place
n,24,601,cube_in_place
n,24,711,cube_in_place
n,24,972,cube_in_place
n,24,732,cube_in_place
n,24,1022,cube_in_place
n,24,852,cube_in_place
n,32,1503,cube_in_place
n,32,802,cube_in_place
n,32,1082,cube_in_place
n,32,871,cube_in_place
n,32,741,cube_in_place
n,32,852,cube_in_place
n,32,1082,cube_in_place
n,32,842,cube_in_place
n,32,1182,cube_in_place
n,32,862,cube_in_place
n,40,1313,cube_in_place
n,40,1132,cube_in_place
n,40,741,cube_in_place
n,40,1143,cube_in_place
n,40,1262,cube_in_place
n,40,862,cube_in_place
n,40,771,cube_in_place
n,40,651,cube_in_place
n,40,1353,cube_in_place
n,40,1754,cube_in_place
n,48,792,cube_in_place
n,48,672,cube_in_place
n,48,812,cube_in_place
n,48,882,cube_in_place
n,48,1022,cube_in_place
n,48,661,cube_in_place
n,48,671,cube_in_place
n,48,1252,cube_in_place
n,48,1062,cube_in_place
n,48,1232,cube_in_place
n,56,982,cube_in_place
n,56,2234,cube_in_place
n,56,1062,cube_in_place
n,56,1333,cube_in_place
n,56,1122,cube_in_place
n,56,902,cube_in_place
n,56,1213,cube_in_place
n,56,1042,cube_in_place
n,56,1613,cube_in_place
n,56,1222,cube_in_place
n,64,932,cube_in_place
n,64,911,cube_in_place
n,64,1122,cube_in_place
n,64,912,cube_in_place
n,64,1032,cube_in_place
n,64,992,cube_in_place
n,64,992,cube_in_place
n,64,711,cube_in_place
n,64,741,cube_in_place
n,64,982,cube_in_place
n,72,1333,cube_in_place
n,72,1343,cube_in_place
n,72,821,cube_in_place
n,72,1272,cube_in_place
n,72,952,cube_in_place
n,72,1143,cube_in_place
n,72,902,cube_in_place
n,72,942,cube_in_place
n,72,1433,cube_in_place
n,72,1182,cube_in_place
n,80,591,cube_in_place
n,80,1933,cube_in_place
n,80,1903,cube_in_place
n,80,1352,cube_in_place
n,80,842,cube_in_place
n,80,1272,cube_in_place
n,80,1282,cube_in_place
n,80,1313,cube_in_place
n,80,932,cube_in_place
n,80,1212,cube_in_place
n,88,1643,cube_in_place
n,88,1212,cube_in_place
n,88,1232,cube_in_place
n,88,762,cube_in_place
n,88,981,cube_in_place
