param,value,time,tag
n,0,611,dag_src
n,0,732,dag_src
n,0,952,dag_src
n,0,732,dag_src
n,0,702,dag_src
n,0,751,dag_src
n,0,471,dag_src
n,0,451,dag_src
n,0,471,dag_src
n,0,611,dag_src
n,8,2064,dag_src
n,8,1072,dag_src
n,8,1293,dag_src
n,8,1072,dag_src
n,8,1543,dag_src
n,8,1302,dag_src
n,8,1272,dag_src
n,8,1363,dag_src
n,8,1212,dag_src
n,8,1102,dag_src
n,16,1883,dag_src
n,16,1613,dag_src
n,16,1573,dag_src
n,16,1683,dag_src
n,16,1714,dag_src
n,16,1864,dag_src
n,16,1563,dag_src
n,16,1623,dag_src
n,16,1844,dag_src
n,16,1673,dag_src
n,24,2675,dag_src
n,24,3086,dag_src
n,24,2535,dag_src
n,24,2515,dag_src
n,24,2545,dag_src
n,24,2925,dag_src
n,24,2454,dag_src
n,24,2775,dag_src
n,24,2665,dag_src
n,24,2686,dag_src
n,32,3877,dag_src
n,32,3918,dag_src
n,32,4699,dag_src
n,32,4088,dag_src
n,32,3757,dag_src
n,32,3837,dag_src
n,32,3647,dag_src
n,32,4048,dag_src
n,32,3797,dag_src
n,32,3787,dag_src
n,40,5530,dag_src
n,40,5541,dag_src
n,40,5200,dag_src
n,40,5280,dag_src
n,40,5320,dag_src
n,40,5290,dag_src
n,40,5189,dag_src
n,40,5220,dag_src
n,40,5420,dag_src
n,40,5590,dag_src
n,48,7174,dag_src
n,48,7133,dag_src
n,48,7544,dag_src
n,48,7114,dag_src
n,48,7214,dag_src
n,48,7043,dag_src
n,48,7444,dag_src
n,48,7123,dag_src
n,48,6924,dag_src
n,48,7113,dag_src
n,56,9328,dag_src
n,56,9659,dag_src
n,56,9158,dag_src
n,56,9689,dag_src
n,56,9458,dag_src
n,56,9228,dag_src
n,56,9007,dag_src
n,56,9367,dag_src
n,56,9608,dag_src
n,56,9127,dag_src
n,64,11452,dag_src
n,64,11612,dag_src
n,64,11491,dag_src
n,64,14869,dag_src
n,64,11673,dag_src
n,64,11431,dag_src
n,64,12103,dag_src
n,64,14918,dag_src
n,64,11642,dag_src
n,64,11582,dag_src
n,72,14708,dag_src
n,72,14477,dag_src
n,72,14327,dag_src
n,72,14638,dag_src
n,72,14398,dag_src
n,72,14648,dag_src
n,72,14147,dag_src
n,72,14227,dag_src
n,72,14197,dag_src
n,72,14418,dag_src
n,80,17343,dag_src
n,80,17333,dag_src
n,80,17233,dag_src
n,80,17242,dag_src
n,80,17513,dag_src
n,80,17173,dag_src
n,80,17624,dag_src
n,80,17403,dag_src
n,80,17433,dag_src
n,80,17233,dag_src
n,88,20860,dag_src
n,88,20770,dag_src
n,88,20609,dag_src
n,88,21019,dag_src
n,88,20529,dag_src
n,88,21200,dag_src
n,88,21090,dag_src
n,88,20660,dag_src
n,88,20769,dag_src
n,88,21060,dag_src
n,96,30308,dag_src
n,96,24556,dag_src
n,96,24707,dag_src
n,96,24407,dag_src
n,96,30177,dag_src
n,96,24326,dag_src
n,96,24287,dag_src
n,96,24677,dag_src
n,96,23995,dag_src
n,96,24486,dag_src
n,104,28033,dag_src
n,104,28344,dag_src
n,104,28374,dag_src
n,104,28173,dag_src
n,104,35618,dag_src
n,104,28224,dag_src
n,104,28293,dag_src
n,104,28344,dag_src
n,104,28354,dag_src
n,104,28334,dag_src
n,112,32602,dag_src
n,112,32652,dag_src
n,112,32932,dag_src
n,112,32582,dag_src
n,112,32472,dag_src
n,112,32792,dag_src
n,112,32562,dag_src
n,112,32432,dag_src
n,112,32662,dag_src
n,112,32863,dag_src
n,120,37411,dag_src
n,120,38033,dag_src
n,120,37571,dag_src
n,120,37521,dag_src
n,120,37521,dag_src
n,120,37291,dag_src
n,120,37181,dag_src
n,120,44174,dag_src
n,120,37200,dag_src
n,120,37371,dag_src
n,128,42430,dag_src
n,128,42311,dag_src
n,128,42390,dag_src
n,128,42401,dag_src
n,128,42220,dag_src
n,128,42181,dag_src
n,128,42090,dag_src
n,128,42000,dag_src
n,128,42171,dag_src
n,128,42310,dag_src
n,136,47360,dag_src
n,136,48031,dag_src
n,136,47159,dag_src
n,136,47270,dag_src
n,136,47290,dag_src
n,136,47250,dag_src
n,136,47720,dag_src
n,136,47320,dag_src
n,136,47270,dag_src
n,136,47690,dag_src
n,144,52811,dag_src
n,144,52510,dag_src
n,144,52741,dag_src
n,144,52530,dag_src
n,144,52500,dag_src
n,144,52660,dag_src
n,144,52740,dag_src
n,144,52871,dag_src
n,144,52610,dag_src
n,144,52509,dag_src
n,152,58441,dag_src
n,152,58782,dag_src
n,152,58431,dag_src
n,152,58942,dag_src
n,152,58331,dag_src
n,152,58301,dag_src
n,152,58321,dag_src
n,152,58541,dag_src
n,152,58721,dag_src
n,152,58631,dag_src
n,160,64813,dag_src
n,160,64763,dag_src
n,160,64683,dag_src
n,160,65093,dag_src
n,160,64412,dag_src
n,160,64613,dag_src
n,160,64743,dag_src
n,160,72138,dag_src
n,160,64873,dag_src
n,160,64703,dag_src
n,168,71426,dag_src
n,168,71856,dag_src
n,168,71366,dag_src
n,168,78189,dag_src
n,168,71245,dag_src
n,168,88939,dag_src
n,168,71486,dag_src
n,168,71126,dag_src
n,168,71095,dag_src
n,168,70914,dag_src
n,176,78058,dag_src
n,176,78098,dag_src
n,176,83108,dag_src
n,176,97165,dag_src
n,176,77768,dag_src
n,176,77737,dag_src
n,176,77738,dag_src
n,176,77758,dag_src
n,176,78209,dag_src
n,176,77727,dag_src
n,184,84902,dag_src
n,184,105290,dag_src
n,184,85022,dag_src
n,184,90552,dag_src
n,184,84962,dag_src
n,184,84802,dag_src
n,184,85131,dag_src
n,184,85262,dag_src
n,184,84911,dag_src
n,184,96594,dag_src
n,192,92827,dag_src
n,192,92826,dag_src
n,192,92446,dag_src
n,192,92115,dag_src
n,192,91944,dag_src
n,192,92425,dag_src
n,192,92435,dag_src
n,192,92135,dag_src
n,192,92706,dag_src
n,192,92586,dag_src
n,200,100140,dag_src
n,200,100211,dag_src
n,200,100150,dag_src
n,200,99680,dag_src
n,200,99820,dag_src
n,200,100120,dag_src
n,200,99649,dag_src
n,200,99900,dag_src
n,200,99689,dag_src
n,200,99960,dag_src
n,208,108396,dag_src
n,208,108186,dag_src
n,208,108085,dag_src
n,208,107665,dag_src
n,208,107715,dag_src
n,208,107875,dag_src
n,208,107926,dag_src
n,208,107965,dag_src
n,208,107685,dag_src
n,208,107634,dag_src
n,216,116341,dag_src
n,216,116441,dag_src
n,216,121110,dag_src
n,216,120990,dag_src
n,216,116511,dag_src
n,216,116181,dag_src
n,216,116271,dag_src
n,216,116181,dag_src
n,216,116201,dag_src
n,216,116130,dag_src
n,224,124938,dag_src
n,224,125379,dag_src
n,224,124868,dag_src
n,224,124898,dag_src
n,224,125408,dag_src
n,224,125137,dag_src
n,224,124857,dag_src
n,224,126050,dag_src
n,224,125969,dag_src
n,224,125939,dag_src
n,232,134496,dag_src
n,232,133814,dag_src
n,232,133925,dag_src
n,232,133834,dag_src
n,232,133583,dag_src
n,232,133945,dag_src
n,232,133835,dag_src
n,232,134145,dag_src
n,232,134064,dag_src
n,232,133584,dag_src
n,240,142791,dag_src
n,240,142962,dag_src
n,240,142721,dag_src
n,240,142992,dag_src
n,240,151298,dag_src
n,240,143142,dag_src
n,240,142951,dag_src
n,240,142982,dag_src
n,240,142771,dag_src
n,240,142932,dag_src
n,248,152610,dag_src
n,248,152911,dag_src
n,248,153051,dag_src
n,248,152690,dag_src
n,248,152470,dag_src
n,248,152710,dag_src
n,248,152209,dag_src
n,248,152490,dag_src
n,248,152610,dag_src
n,248,152259,dag_src
n,256,162539,dag_src
n,256,162759,dag_src
n,256,162659,dag_src
n,256,162549,dag_src
n,256,162028,dag_src
n,256,162499,dag_src
n,256,162438,dag_src
n,256,162579,dag_src
n,256,162199,dag_src
n,256,162449,dag_src
n,264,172758,dag_src
n,264,172538,dag_src
n,264,172889,dag_src
n,264,172819,dag_src
n,264,172859,dag_src
n,264,172388,dag_src
n,264,172448,dag_src
n,264,172287,dag_src
n,264,172408,dag_src
n,264,172237,dag_src
n,272,183519,dag_src
n,272,183228,dag_src
n,272,183007,dag_src
n,272,182938,dag_src
n,272,185242,dag_src
n,272,182828,dag_src
n,272,182737,dag_src
n,272,182637,dag_src
n,272,190862,dag_src
n,272,191524,dag_src
n,280,201713,dag_src
n,280,196514,dag_src
n,280,194650,dag_src
n,280,193929,dag_src
n,280,193488,dag_src
n,280,193518,dag_src
n,280,193417,dag_src
n,280,193698,dag_src
n,280,193498,dag_src
n,280,193347,dag_src
n,288,204919,dag_src
n,288,205019,dag_src
n,288,204749,dag_src
n,288,205010,dag_src
n,288,210160,dag_src
n,288,204609,dag_src
n,288,238584,dag_src
n,288,245547,dag_src
n,288,204479,dag_src
n,288,244655,dag_src
n,296,260986,dag_src
n,296,216251,dag_src
n,296,221281,dag_src
n,296,215760,dag_src
n,296,255255,dag_src
n,296,263221,dag_src
n,296,216332,dag_src
n,296,216151,dag_src
n,296,215840,dag_src
n,296,216091,dag_src
n,304,228214,dag_src
n,304,228564,dag_src
n,304,228103,dag_src
n,304,227833,dag_src
n,304,227974,dag_src
n,304,227793,dag_src
n,304,228154,dag_src
n,304,228084,dag_src
n,304,227803,dag_src
n,304,227502,dag_src
n,312,239825,dag_src
n,312,239816,dag_src
n,312,240056,dag_src
n,312,240377,dag_src
n,312,239896,dag_src
n,312,254053,dag_src
n,312,247010,dag_src
n,312,239655,dag_src
n,312,246930,dag_src
n,312,239946,dag_src
n,320,252540,dag_src
n,320,252480,dag_src
n,320,252439,dag_src
n,320,252159,dag_src
n,320,252390,dag_src
n,320,252039,dag_src
n,320,252130,dag_src
n,320,252009,dag_src
n,320,251869,dag_src
n,320,252049,dag_src
n,328,265054,dag_src
n,328,264823,dag_src
n,328,264773,dag_src
n,328,264723,dag_src
n,328,264393,dag_src
n,328,264733,dag_src
n,328,272929,dag_src
n,328,271656,dag_src
n,328,272458,dag_src
n,328,272768,dag_src
n,336,286044,dag_src
n,336,305280,dag_src
n,336,283328,dag_src
n,336,278129,dag_src
n,336,278049,dag_src
n,336,278639,dag_src
n,336,277788,dag_src
n,336,278088,dag_src
n,336,277948,dag_src
n,336,284881,dag_src
n,344,292005,dag_src
n,344,291614,dag_src
n,344,292015,dag_src
n,344,291735,dag_src
n,344,291264,dag_src
n,344,291444,dag_src
n,344,290903,dag_src
n,344,291895,dag_src
n,344,291353,dag_src
n,344,328514,dag_src
n,352,311152,dag_src
n,352,304800,dag_src
n,352,310270,dag_src
n,352,305190,dag_src
n,352,304890,dag_src
n,352,305000,dag_src
n,352,304859,dag_src
n,352,304599,dag_src
n,352,304599,dag_src
n,352,304970,dag_src
n,360,319016,dag_src
n,360,319577,dag_src
n,360,319227,dag_src
n,360,319377,dag_src
n,360,319006,dag_src
n,360,319287,dag_src
n,360,318535,dag_src
n,360,319197,dag_src
n,360,318785,dag_src
n,360,319026,dag_src
n,368,333083,dag_src
n,368,339486,dag_src
n,368,333203,dag_src
n,368,363370,dag_src
n,368,332522,dag_src
n,368,333674,dag_src
n,368,333183,dag_src
n,368,332692,dag_src
n,368,333023,dag_src
n,368,333674,dag_src
n,376,361737,dag_src
n,376,348182,dag_src
n,376,352841,dag_src
n,376,392266,dag_src
n,376,356708,dag_src
n,376,348201,dag_src
n,376,347631,dag_src
n,376,347741,dag_src
n,376,347250,dag_src
n,376,347711,dag_src
n,384,362829,dag_src
n,384,362910,dag_src
n,384,362959,dag_src
n,384,363210,dag_src
n,384,363310,dag_src
n,384,363000,dag_src
n,384,363231,dag_src
n,384,362640,dag_src
n,384,363380,dag_src
n,384,362829,dag_src
n,392,377879,dag_src
n,392,421301,dag_src
n,392,425007,dag_src
n,392,377888,dag_src
n,392,377868,dag_src
n,392,378459,dag_src
n,392,402275,dag_src
n,392,378379,dag_src
n,392,414137,dag_src
n,392,378439,dag_src
n,400,393999,dag_src
n,400,393147,dag_src
n,400,427042,dag_src
n,400,456538,dag_src
n,400,393097,dag_src
n,400,393938,dag_src
n,400,392767,dag_src
n,400,393488,dag_src
n,400,392977,dag_src
n,400,393267,dag_src
n,408,408887,dag_src
n,408,409258,dag_src
n,408,409478,dag_src
n,408,408757,dag_src
n,408,408376,dag_src
n,408,408847,dag_src
n,408,408606,dag_src
n,408,458441,dag_src
n,408,408827,dag_src
n,408,408487,dag_src
n,416,425468,dag_src
n,416,425048,dag_src
n,416,434325,dag_src
n,416,430478,dag_src
n,416,425548,dag_src
n,416,440808,dag_src
n,416,434315,dag_src
n,416,437411,dag_src
n,416,424767,dag_src
n,416,468641,dag_src
n,424,448983,dag_src
n,424,442180,dag_src
n,424,483018,dag_src
n,424,494289,dag_src
n,424,441740,dag_src
n,424,441559,dag_src
n,424,475344,dag_src
n,424,442050,dag_src
n,424,472087,dag_src
n,424,441960,dag_src
n,432,458311,dag_src
n,432,458432,dag_src
n,432,458261,dag_src
n,432,466116,dag_src
n,432,468831,dag_src
n,432,458091,dag_src
n,432,458181,dag_src
n,432,459383,dag_src
n,432,458522,dag_src
n,432,458471,dag_src
n,440,475353,dag_src
n,440,475433,dag_src
n,440,475704,dag_src
n,440,480734,dag_src
n,440,480634,dag_src
n,440,475454,dag_src
n,440,475794,dag_src
n,440,476075,dag_src
n,440,480333,dag_src
n,440,481034,dag_src
n,448,493589,dag_src
