param,value,time,tag
param_id_0,0,571,darken
param_id_0,0,50,darken
param_id_0,0,40,darken
param_id_0,0,40,darken
param_id_0,0,40,darken
param_id_0,32,7384,darken
param_id_0,32,7264,darken
param_id_0,32,6793,darken
param_id_0,32,7374,darken
param_id_0,32,7344,darken
param_id_0,64,14728,darken
param_id_0,64,14518,darken
param_id_0,64,14708,darken
param_id_0,64,14768,darken
param_id_0,64,13516,darken
param_id_0,96,21861,darken
param_id_0,96,19978,darken
param_id_0,96,21872,darken
param_id_0,96,19888,darken
param_id_0,96,20098,darken
param_id_0,128,29165,darken
param_id_0,128,29526,darken
param_id_0,128,26841,darken
param_id_0,128,29416,darken
param_id_0,128,31189,darken
param_id_0,160,45656,darken
param_id_0,160,45737,darken
param_id_0,160,41729,darken
param_id_0,160,41910,darken
param_id_0,160,45667,darken
param_id_0,192,39766,darken
param_id_0,192,44054,darken
param_id_0,192,43953,darken
param_id_0,192,44094,darken
param_id_0,192,40166,darken
param_id_0,224,46729,darken
param_id_0,224,46849,darken
param_id_0,224,46158,darken
param_id_0,224,51388,darken
param_id_0,224,51057,darken
param_id_0,256,58431,darken
param_id_0,256,52960,darken
param_id_0,256,58672,darken
param_id_0,256,72919,darken
param_id_0,256,72928,darken
param_id_0,288,71917,darken
param_id_0,288,66215,darken
param_id_0,288,66196,darken
param_id_0,288,65915,darken
param_id_0,288,66006,darken
param_id_0,320,73139,darken
param_id_0,320,73489,darken
param_id_0,320,66817,darken
param_id_0,320,66246,darken
param_id_0,320,73530,darken
param_id_0,352,73630,darken
param_id_0,352,80754,darken
param_id_0,352,80573,darken
param_id_0,352,80583,darken
param_id_0,352,73950,darken
param_id_0,384,88068,darken
param_id_0,384,81265,darken
param_id_0,384,81455,darken
param_id_0,384,87757,darken
param_id_0,384,87677,darken
param_id_0,416,95221,darken
param_id_0,416,104558,darken
param_id_0,416,119106,darken
param_id_0,416,108186,darken
param_id_0,416,94910,darken
param_id_0,448,93818,darken
param_id_0,448,92425,darken
param_id_0,448,93728,darken
param_id_0,448,102294,darken
param_id_0,448,102785,darken
param_id_0,480,131700,darken
param_id_0,480,120208,darken
param_id_0,480,109979,darken
param_id_0,480,99719,darken
param_id_0,480,109599,darken
param_id_1,0,140,darken
param_id_1,0,30,darken
param_id_1,0,40,darken
param_id_1,0,40,darken
param_id_1,0,40,darken
param_id_1,32,7445,darken
param_id_1,32,7374,darken
param_id_1,32,7364,darken
param_id_1,32,7334,darken
param_id_1,32,7274,darken
param_id_1,64,14678,darken
param_id_1,64,14638,darken
param_id_1,64,13415,darken
param_id_1,64,13045,darken
param_id_1,64,13376,darken
param_id_1,96,21982,darken
param_id_1,96,22002,darken
param_id_1,96,22072,darken
param_id_1,96,21912,darken
param_id_1,96,21911,darken
param_id_1,128,29406,darken
param_id_1,128,26360,darken
param_id_1,128,26971,darken
param_id_1,128,26280,darken
param_id_1,128,26691,darken
param_id_1,160,33063,darken
param_id_1,160,33594,darken
param_id_1,160,33554,darken
param_id_1,160,32872,darken
param_id_1,160,32932,darken
param_id_1,192,39776,darken
param_id_1,192,39926,darken
param_id_1,192,40808,darken
param_id_1,192,40637,darken
param_id_1,192,49854,darken
param_id_1,224,58000,darken
param_id_1,224,57639,darken
param_id_1,224,56678,darken
param_id_1,224,46488,darken
param_id_1,224,47260,darken
param_id_1,256,52830,darken
param_id_1,256,53291,darken
param_id_1,256,58952,darken
param_id_1,256,58661,darken
param_id_1,256,58842,darken
param_id_1,288,66126,darken
param_id_1,288,59994,darken
param_id_1,288,59513,darken
param_id_1,288,69502,darken
param_id_1,288,85953,darken
param_id_1,320,91103,darken
param_id_1,320,73199,darken
param_id_1,320,73309,darken
param_id_1,320,73510,darken
param_id_1,320,67007,darken
param_id_1,352,80393,darken
param_id_1,352,80473,darken
param_id_1,352,80172,darken
param_id_1,352,72879,darken
param_id_1,352,73149,darken
param_id_1,384,80212,darken
param_id_1,384,87867,darken
param_id_1,384,80443,darken
param_id_1,384,88077,darken
param_id_1,384,80604,darken
param_id_1,416,95081,darken
param_id_1,416,95091,darken
param_id_1,416,95171,darken
param_id_1,416,94991,darken
param_id_1,416,95111,darken
param_id_1,448,108586,darken
param_id_1,448,128073,darken
param_id_1,448,115470,darken
param_id_1,448,102645,darken
param_id_1,448,103116,darken
param_id_1,480,109588,darken
param_id_1,480,110039,darken
param_id_1,480,99429,darken
param_id_1,480,115790,darken
param_id_1,480,125228,darken
