param,value,time,tag
n,0,451,digit_prod
n,0,30,digit_prod
n,0,30,digit_prod
n,0,30,digit_prod
n,0,30,digit_prod
n,0,30,digit_prod
n,0,20,digit_prod
n,0,30,digit_prod
n,0,30,digit_prod
n,0,20,digit_prod
n,8,40,digit_prod
n,8,30,digit_prod
n,8,30,digit_prod
n,8,30,digit_prod
n,8,30,digit_prod
n,8,30,digit_prod
n,8,30,digit_prod
n,8,30,digit_prod
n,8,30,digit_prod
n,8,30,digit_prod
n,16,20,digit_prod
n,16,30,digit_prod
n,16,30,digit_prod
n,16,30,digit_prod
n,16,30,digit_prod
n,16,30,digit_prod
n,16,30,digit_prod
n,16,20,digit_prod
n,16,30,digit_prod
n,16,30,digit_prod
n,24,40,digit_prod
n,24,30,digit_prod
n,24,40,digit_prod
n,24,30,digit_prod
n,24,30,digit_prod
n,24,30,digit_prod
n,24,30,digit_prod
n,24,30,digit_prod
n,24,30,digit_prod
n,24,30,digit_prod
n,32,30,digit_prod
n,32,30,digit_prod
n,32,30,digit_prod
n,32,30,digit_prod
n,32,30,digit_prod
n,32,30,digit_prod
n,32,30,digit_prod
n,32,31,digit_prod
n,32,30,digit_prod
n,32,30,digit_prod
n,40,30,digit_prod
n,40,30,digit_prod
n,40,30,digit_prod
n,40,30,digit_prod
n,40,30,digit_prod
n,40,30,digit_prod
n,40,30,digit_prod
n,40,30,digit_prod
n,40,30,digit_prod
n,40,31,digit_prod
n,48,30,digit_prod
n,48,30,digit_prod
n,48,30,digit_prod
n,48,30,digit_prod
n,48,30,digit_prod
n,48,30,digit_prod
n,48,30,digit_prod
n,48,30,digit_prod
n,48,30,digit_prod
n,48,30,digit_prod
n,56,30,digit_prod
n,56,30,digit_prod
n,56,30,digit_prod
n,56,30,digit_prod
n,56,31,digit_prod
n,56,30,digit_prod
n,56,30,digit_prod
n,56,30,digit_prod
n,56,30,digit_prod
n,56,30,digit_prod
n,64,30,digit_prod
n,64,30,digit_prod
n,64,30,digit_prod
n,64,30,digit_prod
n,64,30,digit_prod
n,64,30,digit_prod
n,64,30,digit_prod
n,64,30,digit_prod
n,64,30,digit_prod
n,64,30,digit_prod
n,72,30,digit_prod
n,72,30,digit_prod
n,72,30,digit_prod
n,72,30,digit_prod
n,72,30,digit_prod
n,72,30,digit_prod
n,72,31,digit_prod
n,72,30,digit_prod
n,72,30,digit_prod
n,72,30,digit_prod
n,80,30,digit_prod
n,80,30,digit_prod
n,80,30,digit_prod
n,80,30,digit_prod
n,80,30,digit_prod
n,80,30,digit_prod
n,80,30,digit_prod
n,80,31,digit_prod
n,80,30,digit_prod
n,80,30,digit_prod
n,88,30,digit_prod
n,88,30,digit_prod
n,88,30,digit_prod
n,88,30,digit_prod
n,88,30,digit_prod
n,88,30,digit_prod
n,88,30,digit_prod
n,88,30,digit_prod
n,88,30,digit_prod
n,88,30,digit_prod
n,96,30,digit_prod
n,96,30,digit_prod
n,96,30,digit_prod
n,96,30,digit_prod
n,96,30,digit_prod
