param,value,time,tag
param_id_0,0,70,digits
param_id_0,0,40,digits
param_id_0,0,30,digits
param_id_0,0,30,digits
param_id_0,0,30,digits
param_id_0,32,51,digits
param_id_0,32,60,digits
param_id_0,32,50,digits
param_id_0,32,50,digits
param_id_0,32,40,digits
param_id_0,64,30,digits
param_id_0,64,41,digits
param_id_0,64,50,digits
param_id_0,64,40,digits
param_id_0,64,40,digits
param_id_0,96,30,digits
param_id_0,96,40,digits
param_id_0,96,40,digits
param_id_0,96,40,digits
param_id_0,96,41,digits
param_id_0,128,50,digits
param_id_0,128,50,digits
param_id_0,128,40,digits
param_id_0,128,40,digits
param_id_0,128,40,digits
param_id_0,160,30,digits
param_id_0,160,40,digits
param_id_0,160,40,digits
param_id_0,160,40,digits
param_id_0,160,40,digits
param_id_0,192,31,digits
param_id_0,192,50,digits
param_id_0,192,40,digits
param_id_0,192,40,digits
param_id_0,192,40,digits
param_id_0,224,30,digits
param_id_0,224,40,digits
param_id_0,224,40,digits
param_id_0,224,51,digits
param_id_0,224,40,digits
param_id_0,256,30,digits
param_id_0,256,40,digits
param_id_0,256,40,digits
param_id_0,256,40,digits
param_id_0,256,40,digits
param_id_0,288,30,digits
param_id_0,288,40,digits
param_id_0,288,40,digits
param_id_0,288,50,digits
param_id_0,288,40,digits
param_id_0,320,30,digits
param_id_0,320,41,digits
param_id_0,320,51,digits
param_id_0,320,40,digits
param_id_0,320,40,digits
param_id_0,352,30,digits
param_id_0,352,50,digits
param_id_0,352,40,digits
param_id_0,352,40,digits
param_id_0,352,41,digits
param_id_0,384,30,digits
param_id_0,384,40,digits
param_id_0,384,50,digits
param_id_0,384,40,digits
param_id_0,384,40,digits
param_id_0,416,30,digits
param_id_0,416,40,digits
param_id_0,416,40,digits
param_id_0,416,40,digits
param_id_0,416,40,digits
param_id_0,448,30,digits
param_id_0,448,40,digits
param_id_0,448,41,digits
param_id_0,448,50,digits
param_id_0,448,50,digits
param_id_0,480,30,digits
param_id_0,480,40,digits
param_id_0,480,40,digits
param_id_0,480,40,digits
param_id_0,480,51,digits
