param,value,time,tag
param_id_0,1,1964,diveq_sca
param_id_0,1,1333,diveq_sca
param_id_0,1,1323,diveq_sca
param_id_0,1,1232,diveq_sca
param_id_0,1,1232,diveq_sca
param_id_0,1,1222,diveq_sca
param_id_0,1,1462,diveq_sca
param_id_0,1,1383,diveq_sca
param_id_0,1,1322,diveq_sca
param_id_0,1,1272,diveq_sca
param_id_0,9,1332,diveq_sca
param_id_0,9,1293,diveq_sca
param_id_0,9,1623,diveq_sca
param_id_0,9,1212,diveq_sca
param_id_0,9,1583,diveq_sca
param_id_0,9,1623,diveq_sca
param_id_0,9,1373,diveq_sca
param_id_0,9,1253,diveq_sca
param_id_0,9,1242,diveq_sca
param_id_0,9,1183,diveq_sca
param_id_0,17,1242,diveq_sca
param_id_0,17,1273,diveq_sca
param_id_0,17,1322,diveq_sca
param_id_0,17,1313,diveq_sca
param_id_0,17,1222,diveq_sca
param_id_0,17,1262,diveq_sca
param_id_0,17,1203,diveq_sca
param_id_0,17,1553,diveq_sca
param_id_0,17,1292,diveq_sca
param_id_0,17,1312,diveq_sca
param_id_0,25,1433,diveq_sca
param_id_0,25,1203,diveq_sca
param_id_0,25,1293,diveq_sca
param_id_0,25,1213,diveq_sca
param_id_0,25,1263,diveq_sca
param_id_0,25,1242,diveq_sca
param_id_0,25,1563,diveq_sca
param_id_0,25,1282,diveq_sca
param_id_0,25,1232,diveq_sca
param_id_0,25,1312,diveq_sca
param_id_0,33,1232,diveq_sca
param_id_0,33,1292,diveq_sca
param_id_0,33,1413,diveq_sca
param_id_0,33,1293,diveq_sca
param_id_0,33,1212,diveq_sca
param_id_0,33,1243,diveq_sca
param_id_0,33,1232,diveq_sca
param_id_0,33,1182,diveq_sca
param_id_0,33,1282,diveq_sca
param_id_0,33,1293,diveq_sca
param_id_0,41,1293,diveq_sca
param_id_0,41,1283,diveq_sca
param_id_0,41,1223,diveq_sca
param_id_0,41,1192,diveq_sca
param_id_0,41,1182,diveq_sca
param_id_0,41,1293,diveq_sca
param_id_0,41,1203,diveq_sca
param_id_0,41,1273,diveq_sca
param_id_0,41,1292,diveq_sca
param_id_0,41,1192,diveq_sca
param_id_0,49,1242,diveq_sca
param_id_0,49,1242,diveq_sca
param_id_0,49,1283,diveq_sca
param_id_0,49,1293,diveq_sca
param_id_0,49,1253,diveq_sca
param_id_0,49,1172,diveq_sca
param_id_0,49,1233,diveq_sca
param_id_0,49,1212,diveq_sca
param_id_0,49,1352,diveq_sca
param_id_0,49,1422,diveq_sca
param_id_0,57,1423,diveq_sca
param_id_0,57,1202,diveq_sca
param_id_0,57,1242,diveq_sca
param_id_0,57,1172,diveq_sca
param_id_0,57,1533,diveq_sca
param_id_0,57,1272,diveq_sca
param_id_0,57,1543,diveq_sca
param_id_0,57,1283,diveq_sca
param_id_0,57,1203,diveq_sca
param_id_0,57,1283,diveq_sca
param_id_0,65,1292,diveq_sca
param_id_0,65,1333,diveq_sca
param_id_0,65,1292,diveq_sca
param_id_0,65,1233,diveq_sca
param_id_0,65,1313,diveq_sca
param_id_0,65,1183,diveq_sca
param_id_0,65,1192,diveq_sca
param_id_0,65,1232,diveq_sca
param_id_0,65,1312,diveq_sca
param_id_0,65,1223,diveq_sca
param_id_0,73,1252,diveq_sca
param_id_0,73,1202,diveq_sca
param_id_0,73,1202,diveq_sca
param_id_0,73,1543,diveq_sca
param_id_0,73,1202,diveq_sca
param_id_0,73,1182,diveq_sca
param_id_0,73,1283,diveq_sca
param_id_0,73,1292,diveq_sca
param_id_0,73,1272,diveq_sca
param_id_0,73,1262,diveq_sca
param_id_0,81,1212,diveq_sca
param_id_0,81,1262,diveq_sca
param_id_0,81,1402,diveq_sca
param_id_0,81,1272,diveq_sca
param_id_0,81,1272,diveq_sca
param_id_0,81,1183,diveq_sca
param_id_0,81,1182,diveq_sca
param_id_0,81,1563,diveq_sca
param_id_0,81,1292,diveq_sca
param_id_0,81,1272,diveq_sca
param_id_0,89,1183,diveq_sca
param_id_0,89,1172,diveq_sca
param_id_0,89,1252,diveq_sca
param_id_0,89,1202,diveq_sca
param_id_0,89,1423,diveq_sca
param_id_0,89,1222,diveq_sca
param_id_0,89,1293,diveq_sca
param_id_0,89,1533,diveq_sca
param_id_0,89,1213,diveq_sca
param_id_0,89,1222,diveq_sca
param_id_0,97,1252,diveq_sca
param_id_0,97,1363,diveq_sca
param_id_0,97,1292,diveq_sca
param_id_0,97,1293,diveq_sca
param_id_0,97,1253,diveq_sca
param_id_0,97,1212,diveq_sca
param_id_0,97,1283,diveq_sca
param_id_0,97,1232,diveq_sca
param_id_0,97,1292,diveq_sca
param_id_0,97,1423,diveq_sca
param_id_0,105,1293,diveq_sca
param_id_0,105,1283,diveq_sca
param_id_0,105,1553,diveq_sca
param_id_0,105,1192,diveq_sca
param_id_0,105,1173,diveq_sca
param_id_0,105,1193,diveq_sca
param_id_0,105,1563,diveq_sca
param_id_0,105,1523,diveq_sca
param_id_0,105,1172,diveq_sca
param_id_0,105,1283,diveq_sca
param_id_0,113,1202,diveq_sca
param_id_0,113,1332,diveq_sca
param_id_0,113,1263,diveq_sca
param_id_0,113,1283,diveq_sca
param_id_0,113,1553,diveq_sca
param_id_0,113,1302,diveq_sca
param_id_0,113,1302,diveq_sca
param_id_0,113,1423,diveq_sca
param_id_0,113,1183,diveq_sca
param_id_0,113,1203,diveq_sca
param_id_0,121,1222,diveq_sca
param_id_0,121,1553,diveq_sca
param_id_0,121,1222,diveq_sca
param_id_0,121,1272,diveq_sca
param_id_0,121,1282,diveq_sca
param_id_0,121,1222,diveq_sca
param_id_0,121,1252,diveq_sca
param_id_0,121,1182,diveq_sca
param_id_0,121,1182,diveq_sca
param_id_0,121,1172,diveq_sca
param_id_0,129,1242,diveq_sca
param_id_0,129,1232,diveq_sca
param_id_0,129,1292,diveq_sca
param_id_0,129,1673,diveq_sca
param_id_0,129,1533,diveq_sca
param_id_0,129,1843,diveq_sca
param_id_0,129,1263,diveq_sca
param_id_0,129,1273,diveq_sca
param_id_0,129,1402,diveq_sca
param_id_0,129,1253,diveq_sca
param_id_0,137,1263,diveq_sca
param_id_0,137,1202,diveq_sca
param_id_0,137,1563,diveq_sca
param_id_0,137,1303,diveq_sca
param_id_0,137,1282,diveq_sca
param_id_0,137,1282,diveq_sca
param_id_0,137,1242,diveq_sca
param_id_0,137,1232,diveq_sca
param_id_0,137,1283,diveq_sca
param_id_0,137,1303,diveq_sca
param_id_0,145,1292,diveq_sca
param_id_0,145,1283,diveq_sca
param_id_0,145,1262,diveq_sca
param_id_0,145,1212,diveq_sca
param_id_0,145,1383,diveq_sca
param_id_0,145,1212,diveq_sca
param_id_0,145,1293,diveq_sca
param_id_0,145,1212,diveq_sca
param_id_0,145,1282,diveq_sca
param_id_0,145,1193,diveq_sca
param_id_0,153,1242,diveq_sca
param_id_0,153,1282,diveq_sca
param_id_0,153,1242,diveq_sca
param_id_0,153,1212,diveq_sca
param_id_0,153,1232,diveq_sca
param_id_0,153,1193,diveq_sca
param_id_0,153,1483,diveq_sca
param_id_0,153,1333,diveq_sca
param_id_0,153,1263,diveq_sca
param_id_0,153,1283,diveq_sca
param_id_0,161,1182,diveq_sca
param_id_0,161,1263,diveq_sca
param_id_0,161,1302,diveq_sca
param_id_0,161,1352,diveq_sca
param_id_0,161,1583,diveq_sca
param_id_0,161,1243,diveq_sca
param_id_0,161,1283,diveq_sca
param_id_0,161,1503,diveq_sca
param_id_0,161,1543,diveq_sca
param_id_0,161,1212,diveq_sca
param_id_0,169,1193,diveq_sca
param_id_0,169,1183,diveq_sca
param_id_0,169,1333,diveq_sca
param_id_0,169,1303,diveq_sca
param_id_0,169,1272,diveq_sca
param_id_0,169,1293,diveq_sca
param_id_0,169,1292,diveq_sca
param_id_0,169,1603,diveq_sca
param_id_0,169,1563,diveq_sca
param_id_0,169,1173,diveq_sca
param_id_0,177,1252,diveq_sca
param_id_0,177,1182,diveq_sca
param_id_0,177,1182,diveq_sca
param_id_0,177,1172,diveq_sca
param_id_0,177,1422,diveq_sca
param_id_0,177,1232,diveq_sca
param_id_0,177,1293,diveq_sca
param_id_0,177,1212,diveq_sca
param_id_0,177,1232,diveq_sca
param_id_0,177,1193,diveq_sca
param_id_0,185,1243,diveq_sca
param_id_0,185,1283,diveq_sca
param_id_0,185,1242,diveq_sca
param_id_0,185,1242,diveq_sca
param_id_0,185,1333,diveq_sca
