param,value,time,tag
param_id_0,0,201,dot
param_id_0,0,100,dot
param_id_0,0,110,dot
param_id_0,0,60,dot
param_id_0,0,50,dot
param_id_0,32,220,dot
param_id_0,32,110,dot
param_id_0,32,120,dot
param_id_0,32,171,dot
param_id_0,32,121,dot
param_id_0,64,191,dot
param_id_0,64,180,dot
param_id_0,64,230,dot
param_id_0,64,291,dot
param_id_0,64,270,dot
param_id_0,96,240,dot
param_id_0,96,261,dot
param_id_0,96,251,dot
param_id_0,96,301,dot
param_id_0,96,240,dot
param_id_0,128,371,dot
param_id_0,128,390,dot
param_id_0,128,351,dot
param_id_0,128,301,dot
param_id_0,128,311,dot
param_id_0,160,371,dot
param_id_0,160,351,dot
param_id_0,160,371,dot
param_id_0,160,360,dot
param_id_0,160,361,dot
param_id_0,192,471,dot
param_id_0,192,421,dot
param_id_0,192,431,dot
param_id_0,192,421,dot
param_id_0,192,411,dot
param_id_0,224,531,dot
param_id_0,224,481,dot
param_id_0,224,490,dot
param_id_0,224,521,dot
param_id_0,224,491,dot
param_id_0,256,591,dot
param_id_0,256,541,dot
param_id_0,256,731,dot
param_id_0,256,551,dot
param_id_0,256,531,dot
param_id_0,288,591,dot
param_id_0,288,582,dot
param_id_0,288,591,dot
param_id_0,288,662,dot
param_id_0,288,611,dot
param_id_0,320,691,dot
param_id_0,320,711,dot
param_id_0,320,702,dot
param_id_0,320,682,dot
param_id_0,320,711,dot
param_id_0,352,711,dot
param_id_0,352,712,dot
param_id_0,352,892,dot
param_id_0,352,721,dot
param_id_0,352,711,dot
param_id_0,384,831,dot
param_id_0,384,821,dot
param_id_0,384,832,dot
param_id_0,384,771,dot
param_id_0,384,1032,dot
param_id_0,416,822,dot
param_id_0,416,872,dot
param_id_0,416,832,dot
param_id_0,416,882,dot
param_id_0,416,811,dot
param_id_0,448,942,dot
param_id_0,448,871,dot
param_id_0,448,911,dot
param_id_0,448,892,dot
param_id_0,448,891,dot
param_id_0,480,962,dot
param_id_0,480,922,dot
param_id_0,480,951,dot
param_id_0,480,1172,dot
param_id_0,480,1182,dot
