param,value,time,tag
param_id_0,1,1213,kernel_durbin
param_id_0,1,871,kernel_durbin
param_id_0,1,591,kernel_durbin
param_id_0,1,852,kernel_durbin
param_id_0,1,1663,kernel_durbin
param_id_0,1,942,kernel_durbin
param_id_0,1,632,kernel_durbin
param_id_0,1,641,kernel_durbin
param_id_0,1,761,kernel_durbin
param_id_0,1,922,kernel_durbin
param_id_0,9,1783,kernel_durbin
param_id_0,9,1643,kernel_durbin
param_id_0,9,1844,kernel_durbin
param_id_0,9,1733,kernel_durbin
param_id_0,9,1312,kernel_durbin
param_id_0,9,1423,kernel_durbin
param_id_0,9,1353,kernel_durbin
param_id_0,9,1333,kernel_durbin
param_id_0,9,1373,kernel_durbin
param_id_0,9,1363,kernel_durbin
param_id_0,17,3346,kernel_durbin
param_id_0,17,2715,kernel_durbin
param_id_0,17,2485,kernel_durbin
param_id_0,17,2656,kernel_durbin
param_id_0,17,2414,kernel_durbin
param_id_0,17,2826,kernel_durbin
param_id_0,17,2454,kernel_durbin
param_id_0,17,2364,kernel_durbin
param_id_0,17,2785,kernel_durbin
param_id_0,17,2655,kernel_durbin
param_id_0,25,4369,kernel_durbin
param_id_0,25,5180,kernel_durbin
param_id_0,25,3977,kernel_durbin
param_id_0,25,4278,kernel_durbin
param_id_0,25,4148,kernel_durbin
param_id_0,25,4659,kernel_durbin
param_id_0,25,4328,kernel_durbin
param_id_0,25,4038,kernel_durbin
param_id_0,25,4518,kernel_durbin
param_id_0,25,4358,kernel_durbin
param_id_0,33,6632,kernel_durbin
param_id_0,33,6312,kernel_durbin
param_id_0,33,6543,kernel_durbin
param_id_0,33,6282,kernel_durbin
param_id_0,33,7174,kernel_durbin
param_id_0,33,6352,kernel_durbin
param_id_0,33,5841,kernel_durbin
param_id_0,33,6993,kernel_durbin
param_id_0,33,6282,kernel_durbin
param_id_0,33,6332,kernel_durbin
param_id_0,41,9798,kernel_durbin
param_id_0,41,8997,kernel_durbin
param_id_0,41,9839,kernel_durbin
param_id_0,41,9618,kernel_durbin
param_id_0,41,9258,kernel_durbin
param_id_0,41,9147,kernel_durbin
param_id_0,41,9398,kernel_durbin
param_id_0,41,9228,kernel_durbin
param_id_0,41,9097,kernel_durbin
param_id_0,41,8847,kernel_durbin
param_id_0,49,14477,kernel_durbin
param_id_0,49,12865,kernel_durbin
param_id_0,49,17053,kernel_durbin
param_id_0,49,12714,kernel_durbin
param_id_0,49,15129,kernel_durbin
param_id_0,49,14448,kernel_durbin
param_id_0,49,14428,kernel_durbin
param_id_0,49,15790,kernel_durbin
param_id_0,49,12885,kernel_durbin
param_id_0,49,12884,kernel_durbin
param_id_0,57,17403,kernel_durbin
param_id_0,57,17774,kernel_durbin
param_id_0,57,17393,kernel_durbin
param_id_0,57,16161,kernel_durbin
param_id_0,57,16091,kernel_durbin
param_id_0,57,18685,kernel_durbin
param_id_0,57,17563,kernel_durbin
param_id_0,57,17033,kernel_durbin
param_id_0,57,17083,kernel_durbin
param_id_0,57,16832,kernel_durbin
param_id_0,65,24396,kernel_durbin
param_id_0,65,21101,kernel_durbin
param_id_0,65,22803,kernel_durbin
param_id_0,65,22903,kernel_durbin
param_id_0,65,20919,kernel_durbin
param_id_0,65,20980,kernel_durbin
param_id_0,65,20700,kernel_durbin
param_id_0,65,25479,kernel_durbin
param_id_0,65,21641,kernel_durbin
param_id_0,65,21040,kernel_durbin
param_id_0,73,27081,kernel_durbin
param_id_0,73,30297,kernel_durbin
param_id_0,73,32932,kernel_durbin
param_id_0,73,30037,kernel_durbin
param_id_0,73,31981,kernel_durbin
param_id_0,73,29576,kernel_durbin
param_id_0,73,29235,kernel_durbin
param_id_0,73,26009,kernel_durbin
param_id_0,73,27642,kernel_durbin
param_id_0,73,29927,kernel_durbin
param_id_0,81,34095,kernel_durbin
param_id_0,81,41809,kernel_durbin
param_id_0,81,38433,kernel_durbin
param_id_0,81,44295,kernel_durbin
param_id_0,81,40607,kernel_durbin
param_id_0,81,40167,kernel_durbin
param_id_0,81,37471,kernel_durbin
param_id_0,81,43472,kernel_durbin
param_id_0,81,45026,kernel_durbin
param_id_0,81,45717,kernel_durbin
param_id_0,89,50055,kernel_durbin
param_id_0,89,52179,kernel_durbin
param_id_0,89,52470,kernel_durbin
param_id_0,89,51838,kernel_durbin
param_id_0,89,50085,kernel_durbin
param_id_0,89,53933,kernel_durbin
param_id_0,89,51247,kernel_durbin
param_id_0,89,51618,kernel_durbin
param_id_0,89,52019,kernel_durbin
param_id_0,89,52741,kernel_durbin
param_id_0,97,65655,kernel_durbin
param_id_0,97,68400,kernel_durbin
param_id_0,97,71516,kernel_durbin
param_id_0,97,70985,kernel_durbin
param_id_0,97,67368,kernel_durbin
param_id_0,97,70304,kernel_durbin
param_id_0,97,69121,kernel_durbin
param_id_0,97,67699,kernel_durbin
param_id_0,97,71957,kernel_durbin
param_id_0,97,69913,kernel_durbin
param_id_0,105,79070,kernel_durbin
param_id_0,105,81786,kernel_durbin
param_id_0,105,76927,kernel_durbin
param_id_0,105,77437,kernel_durbin
param_id_0,105,81936,kernel_durbin
param_id_0,105,80392,kernel_durbin
param_id_0,105,79631,kernel_durbin
param_id_0,105,77788,kernel_durbin
param_id_0,105,78198,kernel_durbin
param_id_0,105,77828,kernel_durbin
param_id_0,113,92796,kernel_durbin
param_id_0,113,91655,kernel_durbin
param_id_0,113,89901,kernel_durbin
param_id_0,113,89701,kernel_durbin
param_id_0,113,93237,kernel_durbin
param_id_0,113,91033,kernel_durbin
param_id_0,113,94961,kernel_durbin
param_id_0,113,92085,kernel_durbin
param_id_0,113,96594,kernel_durbin
param_id_0,113,95221,kernel_durbin
param_id_0,121,104779,kernel_durbin
param_id_0,121,97225,kernel_durbin
param_id_0,121,97105,kernel_durbin
param_id_0,121,100171,kernel_durbin
param_id_0,121,96383,kernel_durbin
param_id_0,121,97465,kernel_durbin
param_id_0,121,99179,kernel_durbin
param_id_0,121,97966,kernel_durbin
param_id_0,121,100451,kernel_durbin
param_id_0,121,97917,kernel_durbin
param_id_0,129,124216,kernel_durbin
param_id_0,129,124787,kernel_durbin
param_id_0,129,121641,kernel_durbin
param_id_0,129,117794,kernel_durbin
param_id_0,129,118706,kernel_durbin
param_id_0,129,120549,kernel_durbin
param_id_0,129,121661,kernel_durbin
param_id_0,129,122974,kernel_durbin
param_id_0,129,119557,kernel_durbin
param_id_0,129,118445,kernel_durbin
param_id_0,137,131360,kernel_durbin
param_id_0,137,124447,kernel_durbin
param_id_0,137,124226,kernel_durbin
param_id_0,137,127102,kernel_durbin
param_id_0,137,126240,kernel_durbin
param_id_0,137,125809,kernel_durbin
param_id_0,137,128244,kernel_durbin
param_id_0,137,129797,kernel_durbin
param_id_0,137,121301,kernel_durbin
param_id_0,137,124056,kernel_durbin
param_id_0,145,155034,kernel_durbin
param_id_0,145,150827,kernel_durbin
param_id_0,145,152951,kernel_durbin
param_id_0,145,153683,kernel_durbin
param_id_0,145,156728,kernel_durbin
param_id_0,145,154513,kernel_durbin
param_id_0,145,152911,kernel_durbin
param_id_0,145,155205,kernel_durbin
param_id_0,145,153783,kernel_durbin
param_id_0,145,150215,kernel_durbin
param_id_0,153,152951,kernel_durbin
param_id_0,153,151347,kernel_durbin
param_id_0,153,158311,kernel_durbin
param_id_0,153,158020,kernel_durbin
param_id_0,153,159564,kernel_durbin
param_id_0,153,153391,kernel_durbin
param_id_0,153,153963,kernel_durbin
param_id_0,153,152920,kernel_durbin
param_id_0,153,154684,kernel_durbin
param_id_0,153,159513,kernel_durbin
param_id_0,161,189810,kernel_durbin
param_id_0,161,190162,kernel_durbin
param_id_0,161,187476,kernel_durbin
param_id_0,161,193207,kernel_durbin
param_id_0,161,182947,kernel_durbin
param_id_0,161,184381,kernel_durbin
param_id_0,161,184741,kernel_durbin
param_id_0,161,182166,kernel_durbin
param_id_0,161,185222,kernel_durbin
param_id_0,161,185503,kernel_durbin
param_id_0,169,189430,kernel_durbin
param_id_0,169,183328,kernel_durbin
param_id_0,169,189160,kernel_durbin
param_id_0,169,188178,kernel_durbin
