param,value,time,tag
param_id_0,1,129366,convolve2d
param_id_0,1,131089,convolve2d
param_id_0,1,123825,convolve2d
param_id_0,1,131529,convolve2d
param_id_0,1,115549,convolve2d
param_id_0,1,133674,convolve2d
param_id_0,1,132111,convolve2d
param_id_0,1,130818,convolve2d
param_id_0,1,134265,convolve2d
param_id_0,1,131159,convolve2d
param_id_0,9,133654,convolve2d
param_id_0,9,132672,convolve2d
param_id_0,9,131099,convolve2d
param_id_0,9,131640,convolve2d
param_id_0,9,133544,convolve2d
param_id_0,9,133384,convolve2d
param_id_0,9,130828,convolve2d
param_id_0,9,121661,convolve2d
param_id_0,9,133734,convolve2d
param_id_0,9,130588,convolve2d
param_id_0,17,132001,convolve2d
param_id_0,17,134786,convolve2d
param_id_0,17,133474,convolve2d
param_id_0,17,134576,convolve2d
param_id_0,17,134976,convolve2d
param_id_0,17,132471,convolve2d
param_id_0,17,127232,convolve2d
param_id_0,17,114648,convolve2d
param_id_0,17,126410,convolve2d
param_id_0,17,115168,convolve2d
param_id_0,25,116040,convolve2d
param_id_0,25,115008,convolve2d
param_id_0,25,131480,convolve2d
param_id_0,25,115319,convolve2d
param_id_0,25,131450,convolve2d
param_id_0,25,132702,convolve2d
param_id_0,25,140547,convolve2d
param_id_0,25,143733,convolve2d
param_id_0,25,149244,convolve2d
param_id_0,25,130618,convolve2d
param_id_0,33,133623,convolve2d
param_id_0,33,117403,convolve2d
param_id_0,33,133433,convolve2d
param_id_0,33,131379,convolve2d
param_id_0,33,132802,convolve2d
param_id_0,33,131880,convolve2d
param_id_0,33,131530,convolve2d
param_id_0,33,132932,convolve2d
param_id_0,33,131550,convolve2d
param_id_0,33,133433,convolve2d
param_id_0,41,134225,convolve2d
param_id_0,41,115780,convolve2d
param_id_0,41,114587,convolve2d
param_id_0,41,130407,convolve2d
param_id_0,41,116090,convolve2d
param_id_0,41,115970,convolve2d
param_id_0,41,133143,convolve2d
param_id_0,41,131700,convolve2d
param_id_0,41,115239,convolve2d
param_id_0,41,137551,convolve2d
param_id_0,49,117273,convolve2d
param_id_0,49,114107,convolve2d
param_id_0,49,115640,convolve2d
param_id_0,49,114518,convolve2d
param_id_0,49,115620,convolve2d
param_id_0,49,115329,convolve2d
param_id_0,49,115429,convolve2d
param_id_0,49,118976,convolve2d
param_id_0,49,131840,convolve2d
param_id_0,49,129736,convolve2d
param_id_0,57,132892,convolve2d
param_id_0,57,115960,convolve2d
param_id_0,57,133464,convolve2d
param_id_0,57,131831,convolve2d
