param,value,time,tag
param_id_0,1,1553,elementwise_sum_of_negated_sum_and_max
param_id_0,1,1062,elementwise_sum_of_negated_sum_and_max
param_id_0,1,782,elementwise_sum_of_negated_sum_and_max
param_id_0,1,290,elementwise_sum_of_negated_sum_and_max
param_id_0,1,1242,elementwise_sum_of_negated_sum_and_max
param_id_0,1,1113,elementwise_sum_of_negated_sum_and_max
param_id_0,1,1242,elementwise_sum_of_negated_sum_and_max
param_id_0,1,781,elementwise_sum_of_negated_sum_and_max
param_id_0,1,481,elementwise_sum_of_negated_sum_and_max
param_id_0,1,190,elementwise_sum_of_negated_sum_and_max
param_id_0,9,862,elementwise_sum_of_negated_sum_and_max
param_id_0,9,952,elementwise_sum_of_negated_sum_and_max
param_id_0,9,290,elementwise_sum_of_negated_sum_and_max
param_id_0,9,962,elementwise_sum_of_negated_sum_and_max
param_id_0,9,812,elementwise_sum_of_negated_sum_and_max
param_id_0,9,591,elementwise_sum_of_negated_sum_and_max
param_id_0,9,1393,elementwise_sum_of_negated_sum_and_max
param_id_0,9,581,elementwise_sum_of_negated_sum_and_max
param_id_0,9,291,elementwise_sum_of_negated_sum_and_max
param_id_0,9,1102,elementwise_sum_of_negated_sum_and_max
param_id_0,17,1172,elementwise_sum_of_negated_sum_and_max
param_id_0,17,1292,elementwise_sum_of_negated_sum_and_max
param_id_0,17,371,elementwise_sum_of_negated_sum_and_max
param_id_0,17,782,elementwise_sum_of_negated_sum_and_max
param_id_0,17,481,elementwise_sum_of_negated_sum_and_max
param_id_0,17,300,elementwise_sum_of_negated_sum_and_max
param_id_0,17,361,elementwise_sum_of_negated_sum_and_max
param_id_0,17,1193,elementwise_sum_of_negated_sum_and_max
param_id_0,17,441,elementwise_sum_of_negated_sum_and_max
param_id_0,17,722,elementwise_sum_of_negated_sum_and_max
param_id_0,25,1143,elementwise_sum_of_negated_sum_and_max
param_id_0,25,1563,elementwise_sum_of_negated_sum_and_max
param_id_0,25,1573,elementwise_sum_of_negated_sum_and_max
param_id_0,25,430,elementwise_sum_of_negated_sum_and_max
param_id_0,25,802,elementwise_sum_of_negated_sum_and_max
param_id_0,25,421,elementwise_sum_of_negated_sum_and_max
