param,value,time,tag
param_id_0,0,190,eq
param_id_0,0,111,eq
param_id_0,0,70,eq
param_id_0,0,70,eq
param_id_0,0,70,eq
param_id_0,32,241,eq
param_id_0,32,150,eq
param_id_0,32,140,eq
param_id_0,32,190,eq
param_id_0,32,141,eq
param_id_0,64,361,eq
param_id_0,64,271,eq
param_id_0,64,261,eq
param_id_0,64,211,eq
param_id_0,64,230,eq
param_id_0,96,360,eq
param_id_0,96,341,eq
param_id_0,96,321,eq
param_id_0,96,311,eq
param_id_0,96,300,eq
param_id_0,128,421,eq
param_id_0,128,380,eq
param_id_0,128,361,eq
param_id_0,128,350,eq
param_id_0,128,351,eq
param_id_0,160,501,eq
param_id_0,160,440,eq
param_id_0,160,420,eq
param_id_0,160,421,eq
param_id_0,160,411,eq
param_id_0,192,562,eq
param_id_0,192,521,eq
param_id_0,192,461,eq
param_id_0,192,471,eq
param_id_0,192,461,eq
param_id_0,224,521,eq
param_id_0,224,501,eq
param_id_0,224,491,eq
param_id_0,224,491,eq
param_id_0,224,471,eq
param_id_0,256,591,eq
param_id_0,256,571,eq
param_id_0,256,581,eq
param_id_0,256,531,eq
param_id_0,256,531,eq
param_id_0,288,651,eq
param_id_0,288,601,eq
param_id_0,288,591,eq
param_id_0,288,601,eq
param_id_0,288,592,eq
param_id_0,320,701,eq
param_id_0,320,661,eq
param_id_0,320,641,eq
param_id_0,320,652,eq
param_id_0,320,641,eq
param_id_0,352,762,eq
param_id_0,352,741,eq
param_id_0,352,711,eq
param_id_0,352,691,eq
param_id_0,352,711,eq
param_id_0,384,811,eq
param_id_0,384,792,eq
param_id_0,384,772,eq
param_id_0,384,762,eq
param_id_0,384,772,eq
param_id_0,416,882,eq
param_id_0,416,852,eq
param_id_0,416,832,eq
param_id_0,416,832,eq
param_id_0,416,812,eq
param_id_0,448,942,eq
param_id_0,448,912,eq
param_id_0,448,892,eq
param_id_0,448,882,eq
param_id_0,448,872,eq
param_id_0,480,1012,eq
param_id_0,480,962,eq
param_id_0,480,932,eq
param_id_0,480,962,eq
param_id_0,480,922,eq
