param,value,time,tag
param_id_0,0,211,evens
param_id_0,0,110,evens
param_id_0,0,60,evens
param_id_0,0,111,evens
param_id_0,0,120,evens
param_id_0,32,1022,evens
param_id_0,32,351,evens
param_id_0,32,411,evens
param_id_0,32,331,evens
param_id_0,32,390,evens
param_id_0,64,631,evens
param_id_0,64,631,evens
param_id_0,64,621,evens
param_id_0,64,611,evens
param_id_0,64,562,evens
param_id_0,96,912,evens
param_id_0,96,892,evens
param_id_0,96,882,evens
param_id_0,96,872,evens
param_id_0,96,882,evens
param_id_0,128,1122,evens
param_id_0,128,1063,evens
param_id_0,128,1052,evens
param_id_0,128,1052,evens
param_id_0,128,1032,evens
param_id_0,160,1373,evens
param_id_0,160,1352,evens
param_id_0,160,1302,evens
param_id_0,160,1343,evens
param_id_0,160,1342,evens
param_id_0,192,1664,evens
param_id_0,192,1603,evens
param_id_0,192,1603,evens
param_id_0,192,1633,evens
param_id_0,192,1633,evens
param_id_0,224,1834,evens
param_id_0,224,1884,evens
param_id_0,224,1864,evens
param_id_0,224,1864,evens
param_id_0,224,1853,evens
param_id_0,256,2144,evens
param_id_0,256,2145,evens
param_id_0,256,2114,evens
param_id_0,256,2104,evens
param_id_0,256,2084,evens
param_id_0,288,2425,evens
param_id_0,288,2374,evens
param_id_0,288,2395,evens
param_id_0,288,2374,evens
param_id_0,288,2385,evens
param_id_0,320,2655,evens
param_id_0,320,2665,evens
param_id_0,320,2645,evens
param_id_0,320,2635,evens
param_id_0,320,2625,evens
param_id_0,352,2906,evens
param_id_0,352,2885,evens
param_id_0,352,2936,evens
param_id_0,352,2936,evens
param_id_0,352,2895,evens
param_id_0,384,3206,evens
param_id_0,384,3216,evens
param_id_0,384,3156,evens
param_id_0,384,3988,evens
param_id_0,384,3216,evens
param_id_0,416,3536,evens
param_id_0,416,3557,evens
param_id_0,416,3487,evens
param_id_0,416,3487,evens
param_id_0,416,3487,evens
param_id_0,448,3837,evens
param_id_0,448,3818,evens
param_id_0,448,3747,evens
param_id_0,448,3788,evens
param_id_0,448,3787,evens
param_id_0,480,4098,evens
param_id_0,480,4128,evens
param_id_0,480,5069,evens
param_id_0,480,5050,evens
param_id_0,480,4058,evens
