param,value,time,tag
param_id_0,0,80,fact
param_id_0,0,30,fact
param_id_0,0,30,fact
param_id_0,0,30,fact
param_id_0,0,30,fact
param_id_0,32,120,fact
param_id_0,32,60,fact
param_id_0,32,60,fact
param_id_0,32,70,fact
param_id_0,32,50,fact
param_id_0,64,90,fact
param_id_0,64,101,fact
param_id_0,64,80,fact
param_id_0,64,90,fact
param_id_0,64,80,fact
param_id_0,96,130,fact
param_id_0,96,130,fact
param_id_0,96,121,fact
param_id_0,96,121,fact
param_id_0,96,120,fact
param_id_0,128,151,fact
param_id_0,128,150,fact
param_id_0,128,150,fact
param_id_0,128,150,fact
param_id_0,128,150,fact
param_id_0,160,180,fact
param_id_0,160,190,fact
param_id_0,160,180,fact
param_id_0,160,181,fact
param_id_0,160,180,fact
param_id_0,192,211,fact
param_id_0,192,221,fact
param_id_0,192,210,fact
param_id_0,192,210,fact
param_id_0,192,211,fact
param_id_0,224,240,fact
param_id_0,224,241,fact
param_id_0,224,240,fact
param_id_0,224,241,fact
param_id_0,224,241,fact
param_id_0,256,271,fact
param_id_0,256,270,fact
param_id_0,256,271,fact
param_id_0,256,271,fact
param_id_0,256,270,fact
param_id_0,288,300,fact
param_id_0,288,311,fact
param_id_0,288,311,fact
param_id_0,288,300,fact
param_id_0,288,301,fact
param_id_0,320,331,fact
param_id_0,320,340,fact
param_id_0,320,331,fact
param_id_0,320,330,fact
param_id_0,320,331,fact
param_id_0,352,361,fact
param_id_0,352,361,fact
param_id_0,352,361,fact
param_id_0,352,361,fact
param_id_0,352,360,fact
param_id_0,384,390,fact
param_id_0,384,391,fact
param_id_0,384,401,fact
param_id_0,384,390,fact
param_id_0,384,391,fact
param_id_0,416,431,fact
param_id_0,416,431,fact
param_id_0,416,420,fact
param_id_0,416,421,fact
param_id_0,416,421,fact
param_id_0,448,451,fact
param_id_0,448,461,fact
param_id_0,448,461,fact
param_id_0,448,461,fact
param_id_0,448,451,fact
param_id_0,480,481,fact
param_id_0,480,481,fact
param_id_0,480,491,fact
param_id_0,480,481,fact
param_id_0,480,481,fact
