param,value,time,tag
n,0,210,fact_fact
n,0,30,fact_fact
n,0,30,fact_fact
n,0,30,fact_fact
n,0,50,fact_fact
n,0,30,fact_fact
n,0,50,fact_fact
n,0,30,fact_fact
n,0,41,fact_fact
n,0,30,fact_fact
n,8,80,fact_fact
n,8,40,fact_fact
n,8,40,fact_fact
n,8,30,fact_fact
n,8,40,fact_fact
n,8,30,fact_fact
n,8,40,fact_fact
n,8,30,fact_fact
n,8,40,fact_fact
n,8,30,fact_fact
n,16,51,fact_fact
n,16,40,fact_fact
n,16,40,fact_fact
n,16,40,fact_fact
n,16,50,fact_fact
n,16,30,fact_fact
n,16,40,fact_fact
n,16,30,fact_fact
n,16,40,fact_fact
n,16,30,fact_fact
n,24,50,fact_fact
n,24,30,fact_fact
n,24,50,fact_fact
n,24,30,fact_fact
n,24,40,fact_fact
n,24,30,fact_fact
n,24,50,fact_fact
n,24,30,fact_fact
n,24,40,fact_fact
n,24,30,fact_fact
n,32,60,fact_fact
n,32,40,fact_fact
n,32,50,fact_fact
n,32,40,fact_fact
n,32,50,fact_fact
n,32,40,fact_fact
n,32,50,fact_fact
n,32,40,fact_fact
n,32,50,fact_fact
n,32,40,fact_fact
n,40,60,fact_fact
n,40,40,fact_fact
n,40,60,fact_fact
n,40,40,fact_fact
n,40,50,fact_fact
n,40,40,fact_fact
n,40,50,fact_fact
n,40,30,fact_fact
n,40,50,fact_fact
n,40,40,fact_fact
n,48,60,fact_fact
n,48,40,fact_fact
n,48,51,fact_fact
n,48,40,fact_fact
n,48,50,fact_fact
n,48,40,fact_fact
n,48,50,fact_fact
n,48,40,fact_fact
n,48,50,fact_fact
n,48,40,fact_fact
n,56,60,fact_fact
n,56,50,fact_fact
n,56,50,fact_fact
n,56,40,fact_fact
n,56,50,fact_fact
n,56,50,fact_fact
n,56,60,fact_fact
n,56,40,fact_fact
n,56,61,fact_fact
n,56,40,fact_fact
n,64,60,fact_fact
n,64,50,fact_fact
n,64,60,fact_fact
n,64,51,fact_fact
n,64,60,fact_fact
n,64,50,fact_fact
n,64,60,fact_fact
n,64,50,fact_fact
n,64,60,fact_fact
n,64,50,fact_fact
n,72,70,fact_fact
n,72,50,fact_fact
n,72,60,fact_fact
n,72,50,fact_fact
n,72,60,fact_fact
n,72,50,fact_fact
n,72,70,fact_fact
n,72,50,fact_fact
n,72,70,fact_fact
n,72,51,fact_fact
n,80,70,fact_fact
n,80,60,fact_fact
n,80,70,fact_fact
n,80,50,fact_fact
n,80,71,fact_fact
n,80,60,fact_fact
n,80,70,fact_fact
n,80,60,fact_fact
n,80,70,fact_fact
n,80,60,fact_fact
n,88,70,fact_fact
n,88,60,fact_fact
n,88,70,fact_fact
n,88,60,fact_fact
n,88,70,fact_fact
n,88,60,fact_fact
n,88,70,fact_fact
n,88,60,fact_fact
n,88,70,fact_fact
n,88,60,fact_fact
n,96,80,fact_fact
n,96,70,fact_fact
n,96,70,fact_fact
n,96,70,fact_fact
n,96,80,fact_fact
n,96,70,fact_fact
n,96,80,fact_fact
n,96,60,fact_fact
n,96,70,fact_fact
n,96,71,fact_fact
n,104,80,fact_fact
n,104,70,fact_fact
n,104,80,fact_fact
n,104,70,fact_fact
n,104,80,fact_fact
n,104,60,fact_fact
n,104,70,fact_fact
n,104,70,fact_fact
n,104,70,fact_fact
n,104,70,fact_fact
n,112,80,fact_fact
n,112,80,fact_fact
n,112,80,fact_fact
n,112,70,fact_fact
n,112,90,fact_fact
n,112,70,fact_fact
n,112,80,fact_fact
n,112,70,fact_fact
n,112,81,fact_fact
n,112,71,fact_fact
n,120,90,fact_fact
n,120,80,fact_fact
n,120,90,fact_fact
n,120,80,fact_fact
n,120,90,fact_fact
n,120,70,fact_fact
n,120,90,fact_fact
n,120,70,fact_fact
n,120,90,fact_fact
n,120,70,fact_fact
n,128,100,fact_fact
n,128,80,fact_fact
n,128,90,fact_fact
n,128,80,fact_fact
n,128,90,fact_fact
n,128,80,fact_fact
n,128,90,fact_fact
n,128,80,fact_fact
n,128,90,fact_fact
n,128,80,fact_fact
n,136,100,fact_fact
n,136,90,fact_fact
n,136,90,fact_fact
n,136,80,fact_fact
n,136,100,fact_fact
n,136,80,fact_fact
n,136,100,fact_fact
n,136,80,fact_fact
n,136,90,fact_fact
n,136,80,fact_fact
n,144,101,fact_fact
n,144,91,fact_fact
n,144,101,fact_fact
n,144,91,fact_fact
n,144,101,fact_fact
n,144,81,fact_fact
n,144,91,fact_fact
n,144,91,fact_fact
n,144,100,fact_fact
n,144,90,fact_fact
n,152,110,fact_fact
n,152,90,fact_fact
n,152,100,fact_fact
n,152,90,fact_fact
n,152,100,fact_fact
n,152,90,fact_fact
n,152,100,fact_fact
n,152,90,fact_fact
n,152,100,fact_fact
n,152,90,fact_fact
n,160,110,fact_fact
n,160,100,fact_fact
n,160,100,fact_fact
n,160,100,fact_fact
n,160,110,fact_fact
n,160,100,fact_fact
n,160,110,fact_fact
n,160,90,fact_fact
n,160,100,fact_fact
n,160,91,fact_fact
n,168,110,fact_fact
n,168,110,fact_fact
n,168,110,fact_fact
n,168,90,fact_fact
n,168,110,fact_fact
n,168,100,fact_fact
n,168,110,fact_fact
n,168,100,fact_fact
n,168,110,fact_fact
n,168,100,fact_fact
n,176,110,fact_fact
n,176,101,fact_fact
n,176,110,fact_fact
