param,value,time,tag
param_id_0,0,681,kernel_fdtd_2d
param_id_0,0,91,kernel_fdtd_2d
param_id_0,0,100,kernel_fdtd_2d
param_id_0,0,90,kernel_fdtd_2d
param_id_0,0,141,kernel_fdtd_2d
param_id_0,32,1959725,kernel_fdtd_2d
param_id_0,32,1967380,kernel_fdtd_2d
param_id_0,32,1963001,kernel_fdtd_2d
param_id_0,32,1967529,kernel_fdtd_2d
param_id_0,32,1958954,kernel_fdtd_2d
param_id_0,64,3936562,kernel_fdtd_2d
param_id_0,64,3944558,kernel_fdtd_2d
param_id_0,64,4037422,kernel_fdtd_2d
param_id_0,64,4095664,kernel_fdtd_2d
param_id_0,64,4054746,kernel_fdtd_2d
param_id_0,96,5979294,kernel_fdtd_2d
param_id_0,96,6099453,kernel_fdtd_2d
param_id_0,96,6086748,kernel_fdtd_2d
param_id_0,96,5899963,kernel_fdtd_2d
param_id_0,96,5892950,kernel_fdtd_2d
param_id_0,128,7872523,kernel_fdtd_2d
param_id_0,128,7865991,kernel_fdtd_2d
param_id_0,128,7877923,kernel_fdtd_2d
param_id_0,128,8108611,kernel_fdtd_2d
param_id_0,128,8068586,kernel_fdtd_2d
param_id_0,160,10106218,kernel_fdtd_2d
param_id_0,160,10110836,kernel_fdtd_2d
param_id_0,160,10133640,kernel_fdtd_2d
param_id_0,160,10167535,kernel_fdtd_2d
param_id_0,160,10161522,kernel_fdtd_2d
param_id_0,192,12111560,kernel_fdtd_2d
param_id_0,192,12162646,kernel_fdtd_2d
param_id_0,192,12145664,kernel_fdtd_2d
param_id_0,192,12181032,kernel_fdtd_2d
param_id_0,192,12239442,kernel_fdtd_2d
param_id_0,224,14063891,kernel_fdtd_2d
param_id_0,224,14110628,kernel_fdtd_2d
param_id_0,224,14175562,kernel_fdtd_2d
param_id_0,224,14002172,kernel_fdtd_2d
param_id_0,224,13755605,kernel_fdtd_2d
param_id_0,256,16096763,kernel_fdtd_2d
param_id_0,256,16231941,kernel_fdtd_2d
param_id_0,256,16158921,kernel_fdtd_2d
param_id_0,256,16183408,kernel_fdtd_2d
param_id_0,256,16292525,kernel_fdtd_2d
param_id_0,288,18247552,kernel_fdtd_2d
param_id_0,288,17889430,kernel_fdtd_2d
param_id_0,288,17701683,kernel_fdtd_2d
param_id_0,288,17796594,kernel_fdtd_2d
param_id_0,288,17690873,kernel_fdtd_2d
param_id_0,320,19663473,kernel_fdtd_2d
param_id_0,320,19664474,kernel_fdtd_2d
param_id_0,320,19685524,kernel_fdtd_2d
param_id_0,320,19934088,kernel_fdtd_2d
param_id_0,320,20020360,kernel_fdtd_2d
param_id_0,352,21867952,kernel_fdtd_2d
param_id_0,352,21657723,kernel_fdtd_2d
param_id_0,352,21642924,kernel_fdtd_2d
param_id_0,352,21950149,kernel_fdtd_2d
param_id_0,352,22194513,kernel_fdtd_2d
param_id_0,384,24293351,kernel_fdtd_2d
param_id_0,384,23856482,kernel_fdtd_2d
param_id_0,384,23595876,kernel_fdtd_2d
param_id_0,384,23693492,kernel_fdtd_2d
param_id_0,384,23638297,kernel_fdtd_2d
param_id_0,416,25685218,kernel_fdtd_2d
param_id_0,416,26008862,kernel_fdtd_2d
param_id_0,416,26217930,kernel_fdtd_2d
param_id_0,416,26384677,kernel_fdtd_2d
param_id_0,416,26196690,kernel_fdtd_2d
param_id_0,448,28325466,kernel_fdtd_2d
param_id_0,448,28336536,kernel_fdtd_2d
param_id_0,448,28014355,kernel_fdtd_2d
param_id_0,448,27551354,kernel_fdtd_2d
param_id_0,448,27537668,kernel_fdtd_2d
param_id_0,480,29502883,kernel_fdtd_2d
param_id_0,480,30133561,kernel_fdtd_2d
param_id_0,480,29952037,kernel_fdtd_2d
param_id_0,480,29498435,kernel_fdtd_2d
param_id_0,480,29900438,kernel_fdtd_2d
param_id_1,0,14688,kernel_fdtd_2d
param_id_1,0,16741,kernel_fdtd_2d
param_id_1,0,16472,kernel_fdtd_2d
param_id_1,0,16701,kernel_fdtd_2d
param_id_1,0,16731,kernel_fdtd_2d
param_id_1,32,1945217,kernel_fdtd_2d
param_id_1,32,1950187,kernel_fdtd_2d
param_id_1,32,1944365,kernel_fdtd_2d
param_id_1,32,1953844,kernel_fdtd_2d
param_id_1,32,1944346,kernel_fdtd_2d
param_id_1,64,3930140,kernel_fdtd_2d
param_id_1,64,4000463,kernel_fdtd_2d
param_id_1,64,3987258,kernel_fdtd_2d
param_id_1,64,4043745,kernel_fdtd_2d
param_id_1,64,4089883,kernel_fdtd_2d
param_id_1,96,6118509,kernel_fdtd_2d
param_id_1,96,6061961,kernel_fdtd_2d
param_id_1,96,6095506,kernel_fdtd_2d
param_id_1,96,6110103,kernel_fdtd_2d
param_id_1,96,5931213,kernel_fdtd_2d
param_id_1,128,8128799,kernel_fdtd_2d
param_id_1,128,8092952,kernel_fdtd_2d
param_id_1,128,7932758,kernel_fdtd_2d
param_id_1,128,7887541,kernel_fdtd_2d
param_id_1,128,7884795,kernel_fdtd_2d
param_id_1,160,9867635,kernel_fdtd_2d
param_id_1,160,9854730,kernel_fdtd_2d
param_id_1,160,9865469,kernel_fdtd_2
