param,value,time,tag
param_id_0,0,91,fib_n
param_id_0,0,30,fib_n
param_id_0,0,41,fib_n
param_id_0,0,30,fib_n
param_id_0,0,30,fib_n
param_id_0,32,130,fib_n
param_id_0,32,60,fib_n
param_id_0,32,60,fib_n
param_id_0,32,70,fib_n
param_id_0,32,71,fib_n
param_id_0,64,110,fib_n
param_id_0,64,120,fib_n
param_id_0,64,111,fib_n
param_id_0,64,110,fib_n
param_id_0,64,100,fib_n
param_id_0,96,160,fib_n
param_id_0,96,150,fib_n
param_id_0,96,160,fib_n
param_id_0,96,151,fib_n
param_id_0,96,160,fib_n
param_id_0,128,201,fib_n
param_id_0,128,190,fib_n
param_id_0,128,191,fib_n
param_id_0,128,191,fib_n
param_id_0,128,190,fib_n
param_id_0,160,230,fib_n
param_id_0,160,240,fib_n
param_id_0,160,231,fib_n
param_id_0,160,240,fib_n
param_id_0,160,241,fib_n
param_id_0,192,281,fib_n
param_id_0,192,270,fib_n
param_id_0,192,281,fib_n
param_id_0,192,280,fib_n
param_id_0,192,281,fib_n
param_id_0,224,321,fib_n
param_id_0,224,320,fib_n
param_id_0,224,321,fib_n
param_id_0,224,320,fib_n
param_id_0,224,321,fib_n
param_id_0,256,361,fib_n
param_id_0,256,351,fib_n
param_id_0,256,360,fib_n
param_id_0,256,351,fib_n
param_id_0,256,360,fib_n
param_id_0,288,401,fib_n
param_id_0,288,390,fib_n
param_id_0,288,401,fib_n
param_id_0,288,401,fib_n
param_id_0,288,401,fib_n
param_id_0,320,431,fib_n
param_id_0,320,441,fib_n
param_id_0,320,440,fib_n
param_id_0,320,431,fib_n
param_id_0,320,441,fib_n
param_id_0,352,481,fib_n
param_id_0,352,481,fib_n
param_id_0,352,481,fib_n
param_id_0,352,481,fib_n
param_id_0,352,481,fib_n
param_id_0,384,521,fib_n
param_id_0,384,521,fib_n
param_id_0,384,521,fib_n
param_id_0,384,521,fib_n
param_id_0,384,521,fib_n
param_id_0,416,561,fib_n
param_id_0,416,561,fib_n
param_id_0,416,561,fib_n
param_id_0,416,561,fib_n
param_id_0,416,561,fib_n
param_id_0,448,601,fib_n
param_id_0,448,601,fib_n
param_id_0,448,601,fib_n
param_id_0,448,612,fib_n
param_id_0,448,601,fib_n
param_id_0,480,641,fib_n
param_id_0,480,641,fib_n
param_id_0,480,642,fib_n
param_id_0,480,641,fib_n
param_id_0,480,641,fib_n
