param,value,time,tag
param_id_0,1,721,fir_small
param_id_0,1,1924,fir_small
param_id_0,1,571,fir_small
param_id_0,1,1593,fir_small
param_id_0,1,451,fir_small
param_id_0,1,561,fir_small
param_id_0,1,401,fir_small
param_id_0,1,1372,fir_small
param_id_0,1,160,fir_small
param_id_0,1,1052,fir_small
param_id_0,9,1312,fir_small
param_id_0,9,1462,fir_small
param_id_0,9,1383,fir_small
param_id_0,9,1674,fir_small
param_id_0,9,420,fir_small
param_id_0,9,1743,fir_small
param_id_0,9,290,fir_small
param_id_0,9,1483,fir_small
param_id_0,9,481,fir_small
param_id_0,9,1683,fir_small
param_id_0,17,872,fir_small
param_id_0,17,601,fir_small
param_id_0,17,310,fir_small
param_id_0,17,551,fir_small
param_id_0,17,2114,fir_small
param_id_0,17,300,fir_small
param_id_0,17,992,fir_small
param_id_0,17,631,fir_small
param_id_0,17,731,fir_small
param_id_0,17,622,fir_small
param_id_0,25,982,fir_small
param_id_0,25,1312,fir_small
param_id_0,25,771,fir_small
param_id_0,25,401,fir_small
param_id_0,25,982,fir_small
param_id_0,25,872,fir_small
param_id_0,25,1402,fir_small
param_id_0,25,622,fir_small
param_id_0,25,531,fir_small
param_id_0,25,340,fir_small
param_id_0,33,1653,fir_small
param_id_0,33,772,fir_small
param_id_0,33,741,fir_small
param_id_0,33,621,fir_small
param_id_0,33,1022,fir_small
param_id_0,33,702,fir_small
param_id_0,33,1383,fir_small
param_id_0,33,811,fir_small
param_id_0,33,441,fir_small
param_id_0,33,772,fir_small
param_id_0,41,1874,fir_small
param_id_0,41,812,fir_small
param_id_0,41,1062,fir_small
param_id_0,41,822,fir_small
param_id_0,41,761,fir_small
param_id_0,41,1603,fir_small
param_id_0,41,981,fir_small
param_id_0,41,401,fir_small
param_id_0,41,1653,fir_small
param_id_0,41,751,fir_small
param_id_0,49,1493,fir_small
param_id_0,49,821,fir_small
param_id_0,49,1382,fir_small
param_id_0,49,1463,fir_small
param_id_0,49,912,fir_small
param_id_0,49,481,fir_small
param_id_0,49,982,fir_small
param_id_0,49,1112,fir_small
param_id_0,49,851,fir_small
param_id_0,49,982,fir_small
param_id_0,57,1553,fir_small
param_id_0,57,1213,fir_small
param_id_0,57,892,fir_small
param_id_0,57,1583,fir_small
param_id_0,57,461,fir_small
param_id_0,57,571,fir_small
param_id_0,57,881,fir_small
param_id_0,57,1603,fir_small
param_id_0,57,741,fir_small
param_id_0,57,872,fir_small
param_id_0,65,972,fir_small
param_id_0,65,802,fir_small
param_id_0,65,1152,fir_small
param_id_0,65,892,fir_small
param_id_0,65,922,fir_small
param_id_0,65,1382,fir_small
param_id_0,65,741,fir_small
param_id_0,65,1763,fir_small
param_id_0,65,1733,fir_small
param_id_0,65,2425,fir_small
param_id_0,73,701,fir_small
param_id_0,73,1904,fir_small
param_id_0,73,491,fir_small
param_id_0,73,2184,fir_small
param_id_0,73,1032,fir_small
param_id_0,73,1012,fir_small
param_id_0,73,992,fir_small
param_id_0,73,1152,fir_small
param_id_0,73,1282,fir_small
param_id_0,73,511,fir_small
param_id_0,81,1022,fir_small
param_id_0,81,822,fir_small
param_id_0,81,1393,fir_small
param_id_0,81,1082,fir_small
param_id_0,81,541,fir_small
param_id_0,81,1323,fir_small
param_id_0,81,2004,fir_small
param_id_0,81,821,fir_small
param_id_0,81,1372,fir_small
param_id_0,81,1633,fir_small
param_id_0,89,601,fir_small
param_id_0,89,1262,fir_small
param_id_0,89,1102,fir_small
param_id_0,89,1703,fir_small
param_id_0,89,1062,fir_small
param_id_0,89,862,fir_small
param_id_0,89,1032,fir_small
param_id_0,89,2064,fir_small
param_id_0,89,932,fir_small
param_id_0,89,1583,fir_small
param_id_0,97,1062,fir_small
param_id_0,97,711,fir_small
param_id_0,97,2014,fir_small
param_id_0,97,1092,fir_small
param_id_0,97,1042,fir_small
param_id_0,97,921,fir_small
param_id_0,97,1102,fir_small
param_id_0,97,1172,fir_small
param_id_0,97,1964,fir_small
param_id_0,97,942,fir_small
param_id_0,105,1864,fir_small
param_id_0,105,931,fir_small
param_id_0,105,1733,fir_small
param_id_0,105,1674,fir_small
param_id_0,105,1583,fir_small
param_id_0,105,1032,fir_small
param_id_0,105,821,fir_small
param_id_0,105,712,fir_small
param_id_0,105,1073,fir_small
param_id_0,105,1453,fir_small
param_id_0,113,1853,fir_small
param_id_0,113,962,fir_small
param_id_0,113,1563,fir_small
param_id_0,113,1062,fir_small
param_id_0,113,1433,fir_small
param_id_0,113,1273,fir_small
param_id_0,113,1302,fir_small
param_id_0,113,891,fir_small
param_id_0,113,681,fir_small
param_id_0,113,1482,fir_small
param_id_0,121,1563,fir_small
param_id_0,121,1042,fir_small
param_id_0,121,761,fir_small
param_id_0,121,721,fir_small
param_id_0,121,881,fir_small
param_id_0,121,722,fir_small
param_id_0,121,2265,fir_small
param_id_0,121,1102,fir_small
param_id_0,121,1383,fir_small
param_id_0,121,982,fir_small
param_id_0,129,762,fir_small
param_id_0,129,1643,fir_small
param_id_0,129,921,fir_small
param_id_0,129,1593,fir_small
param_id_0,129,1634,fir_small
param_id_0,129,1864,fir_small
param_id_0,129,1072,fir_small
param_id_0,129,771,fir_small
param_id_0,129,961,fir_small
param_id_0,129,1012,fir_small
param_id_0,137,1152,fir_small
param_id_0,137,1133,fir_small
param_id_0,137,1062,fir_small
param_id_0,137,1693,fir_small
param_id_0,137,862,fir_small
param_id_0,137,2104,fir_small
param_id_0,137,1072,fir_small
param_id_0,137,1422,fir_small
param_id_0,137,1162,fir_small
param_id_0,137,1643,fir_small
param_id_0,145,1603,fir_small
param_id_0,145,1302,fir_small
param_id_0,145,1543,fir_small
param_id_0,145,1723,fir_small
param_id_0,145,1253,fir_small
param_id_0,145,1183,fir_small
param_id_0,145,1614,fir_small
param_id_0,145,1583,fir_small
param_id_0,145,1102,fir_small
param_id_0,145,1583,fir_small
param_id_0,153,2275,fir_small
param_id_0,153,1122,fir_small
param_id_0,153,972,fir_small
param_id_0,153,1934,fir_small
param_id_0,153,812,fir_small
param_id_0,153,1403,fir_small
param_id_0,153,872,fir_small
param_id_0,153,1312,fir_small
param_id_0,153,1172,fir_small
param_id_0,153,1282,fir_small
param_id_0,161,1984,fir_small
param_id_0,161,972,fir_small
param_id_0,161,1152,fir_small
param_id_0,161,1853,fir_small
param_id_0,161,1203,fir_small
param_id_0,161,2194,fir_small
param_id_0,161,1242,fir_small
param_id_0,161,1824,fir_small
param_id_0,161,1763,fir_small
param_id_0,161,1713,fir_small
param_id_0,169,1213,fir_small
param_id_0,169,1202,fir_small
param_id_0,169,1332,fir_small
param_id_0,169,2284,fir_small
param_id_0,169,1332,fir_small
param_id_0,169,1162,fir_small
param_id_0,169,1583,fir_small
param_id_0,169,1312,fir_small
param_id_0,169,1533,fir_small
param_id_0,169,1183,fir_small
