param,value,time,tag
N,0,852,fir
N,0,561,fir
N,0,1813,fir
N,0,741,fir
N,0,762,fir
N,0,591,fir
N,0,962,fir
N,0,641,fir
N,0,672,fir
N,0,1382,fir
N,8,2234,fir
N,8,1563,fir
N,8,2044,fir
N,8,1412,fir
N,8,2735,fir
N,8,2415,fir
N,8,1663,fir
N,8,2385,fir
N,8,1874,fir
N,8,2474,fir
N,16,3327,fir
N,16,4478,fir
N,16,3035,fir
N,16,3366,fir
N,16,4408,fir
N,16,3667,fir
N,16,3807,fir
N,16,3006,fir
N,16,3026,fir
N,16,3476,fir
N,24,5540,fir
N,24,5380,fir
N,24,6503,fir
N,24,6102,fir
N,24,5992,fir
N,24,5952,fir
N,24,6191,fir
N,24,5711,fir
N,24,6242,fir
N,24,5461,fir
N,32,9899,fir
N,32,8577,fir
N,32,8436,fir
N,32,8716,fir
N,32,8606,fir
N,32,9247,fir
N,32,8967,fir
N,32,9618,fir
N,32,8776,fir
N,32,9578,fir
N,40,13225,fir
N,40,14337,fir
N,40,13757,fir
N,40,13586,fir
N,40,13225,fir
N,40,14237,fir
N,40,12884,fir
N,40,12774,fir
N,40,12985,fir
N,40,13345,fir
N,48,17473,fir
N,48,17854,fir
N,48,19688,fir
N,48,18295,fir
N,48,18436,fir
N,48,18896,fir
N,48,17774,fir
N,48,17874,fir
N,48,17694,fir
N,48,18675,fir
N,56,24006,fir
N,56,23905,fir
N,56,23925,fir
N,56,24186,fir
N,56,23726,fir
N,56,24216,fir
N,56,24676,fir
N,56,23755,fir
N,56,23936,fir
N,56,24447,fir
N,64,31450,fir
N,64,30828,fir
N,64,31349,fir
N,64,31509,fir
N,64,30839,fir
N,64,30718,fir
N,64,30237,fir
N,64,31390,fir
N,64,30789,fir
N,64,31410,fir
N,72,38824,fir
N,72,39465,fir
N,72,39204,fir
N,72,39816,fir
N,72,38223,fir
N,72,38773,fir
N,72,38183,fir
N,72,38984,fir
N,72,38724,fir
N,72,38203,fir
N,80,47771,fir
N,80,46969,fir
N,80,46809,fir
N,80,58572,fir
N,80,46559,fir
N,80,47330,fir
N,80,47851,fir
N,80,46729,fir
N,80,57620,fir
N,80,46628,fir
N,88,56317,fir
N,88,55936,fir
N,88,56657,fir
N,88,57299,fir
N,88,55936,fir
N,88,55966,fir
N,88,56307,fir
N,88,55916,fir
N,88,56187,fir
N,88,56097,fir
N,96,66567,fir
N,96,66927,fir
N,96,66887,fir
N,96,66186,fir
N,96,67318,fir
N,96,67128,fir
N,96,67097,fir
N,96,66366,fir
N,96,67569,fir
N,96,66867,fir
N,104,77317,fir
