param,value,time,tag
param_id_0,1,731,fir2dim
param_id_0,1,541,fir2dim
param_id_0,1,521,fir2dim
param_id_0,1,371,fir2dim
param_id_0,1,831,fir2dim
param_id_0,1,321,fir2dim
param_id_0,1,301,fir2dim
param_id_0,1,330,fir2dim
param_id_0,1,541,fir2dim
param_id_0,1,371,fir2dim
param_id_0,9,4098,fir2dim
param_id_0,9,3367,fir2dim
param_id_0,9,4188,fir2dim
param_id_0,9,3587,fir2dim
param_id_0,9,3697,fir2dim
param_id_0,9,3426,fir2dim
param_id_0,9,3446,fir2dim
param_id_0,9,3987,fir2dim
param_id_0,9,3567,fir2dim
param_id_0,9,3656,fir2dim
param_id_0,17,9398,fir2dim
param_id_0,17,9047,fir2dim
param_id_0,17,9438,fir2dim
param_id_0,17,9078,fir2dim
param_id_0,17,9278,fir2dim
param_id_0,17,9167,fir2dim
param_id_0,17,9157,fir2dim
param_id_0,17,9107,fir2dim
param_id_0,17,9328,fir2dim
param_id_0,17,9137,fir2dim
param_id_0,25,20349,fir2dim
param_id_0,25,17834,fir2dim
param_id_0,25,18264,fir2dim
param_id_0,25,18105,fir2dim
param_id_0,25,17714,fir2dim
param_id_0,25,17613,fir2dim
param_id_0,25,17754,fir2dim
param_id_0,25,17934,fir2dim
param_id_0,25,17704,fir2dim
param_id_0,25,17904,fir2dim
param_id_0,33,29335,fir2dim
param_id_0,33,31881,fir2dim
param_id_0,33,29376,fir2dim
param_id_0,33,29406,fir2dim
param_id_0,33,29056,fir2dim
param_id_0,33,29286,fir2dim
param_id_0,33,29296,fir2dim
param_id_0,33,29366,fir2dim
param_id_0,33,29376,fir2dim
param_id_0,33,29426,fir2dim
param_id_0,41,47000,fir2dim
param_id_0,41,43403,fir2dim
param_id_0,41,43032,fir2dim
param_id_0,41,43323,fir2dim
param_id_0,41,43082,fir2dim
param_id_0,41,43733,fir2dim
param_id_0,41,43062,fir2dim
param_id_0,41,43512,fir2dim
param_id_0,41,43703,fir2dim
param_id_0,41,43623,fir2dim
param_id_0,49,60725,fir2dim
param_id_0,49,60195,fir2dim
param_id_0,49,60485,fir2dim
param_id_0,49,60995,fir2dim
param_id_0,49,60355,fir2dim
param_id_0,49,60906,fir2dim
param_id_0,49,60455,fir2dim
param_id_0,49,60675,fir2dim
param_id_0,49,60896,fir2dim
param_id_0,49,60455,fir2dim
param_id_0,57,82497,fir2dim
param_id_0,57,80723,fir2dim
param_id_0,57,80803,fir2dim
param_id_0,57,80243,fir2dim
param_id_0,57,80343,fir2dim
param_id_0,57,81234,fir2dim
param_id_0,57,80493,fir2dim
param_id_0,57,80503,fir2dim
param_id_0,57,80854,fir2dim
param_id_0,57,81996,fir2dim
param_id_0,65,103737,fir2dim
param_id_0,65,103006,fir2dim
param_id_0,65,103597,fir2dim
param_id_0,65,103898,fir2dim
param_id_0,65,103838,fir2dim
param_id_0,65,103367,fir2dim
param_id_0,65,103276,fir2dim
param_id_0,65,104198,fir2dim
param_id_0,65,103216,fir2dim
param_id_0,65,103988,fir2dim
param_id_0,73,138583,fir2dim
param_id_0,73,133053,fir2dim
param_id_0,73,132823,fir2dim
param_id_0,73,132592,fir2dim
param_id_0,73,129526,fir2dim
param_id_0,73,133183,fir2dim
param_id_0,73,132001,fir2dim
param_id_0,73,136951,fir2dim
param_id_0,73,132653,fir2dim
param_id_0,73,133053,fir2dim
param_id_0,81,163180,fir2dim
param_id_0,81,164162,fir2dim
param_id_0,81,164312,fir2dim
param_id_0,81,163731,fir2dim
param_id_0,81,162108,fir2dim
param_id_0,81,164813,fir2dim
param_id_0,81,163010,fir2dim
param_id_0,81,163350,fir2dim
param_id_0,81,163721,fir2dim
param_id_0,81,162910,fir2dim
param_id_0,89,193658,fir2dim
param_id_0,89,182687,fir2dim
param_id_0,89,183609,fir2dim
param_id_0,89,182557,fir2dim
param_id_0,89,183078,fir2dim
param_id_0,89,183138,fir2dim
param_id_0,89,183168,fir2dim
param_id_0,89,182487,fir2dim
param_id_0,89,182757,fir2dim
param_id_0,89,182907,fir2dim
param_id_0,97,217524,fir2dim
param_id_0,97,217514,fir2dim
param_id_0,97,217033,fir2dim
param_id_0,97,216712,fir2dim
param_id_0,97,217063,fir2dim
param_id_0,97,216451,fir2dim
param_id_0,97,221812,fir2dim
param_id_0,97,216672,fir2dim
param_id_0,97,216261,fir2dim
param_id_0,97,232642,fir2dim
param_id_0,105,253041,fir2dim
param_id_0,105,267058,fir2dim
param_id_0,105,253312,fir2dim
param_id_0,105,268991,fir2dim
param_id_0,105,252871,fir2dim
param_id_0,105,255585,fir2dim
param_id_0,105,252951,fir2dim
param_id_0,105,253352,fir2dim
param_id_0,105,269492,fir2dim
param_id_0,105,253121,fir2dim
param_id_0,113,292827,fir2dim
param_id_0,113,292757,fir2dim
param_id_0,113,295461,fir2dim
param_id_0,113,292917,fir2dim
param_id_0,113,292806,fir2dim
param_id_0,113,293217,fir2dim
param_id_0,113,292906,fir2dim
param_id_0,113,293859,fir2dim
param_id_0,113,291885,fir2dim
param_id_0,113,292556,fir2dim
param_id_0,121,334466,fir2dim
param_id_0,121,339826,fir2dim
param_id_0,121,334475,fir2dim
param_id_0,121,335618,fir2dim
param_id_0,121,334536,fir2dim
param_id_0,121,339486,fir2dim
param_id_0,121,334245,fir2dim
param_id_0,121,334967,fir2dim
param_id_0,121,335378,fir2dim
param_id_0,121,335288,fir2dim
param_id_0,129,378920,fir2dim
param_id_0,129,384220,fir2dim
param_id_0,129,378529,fir2dim
param_id_0,129,377998,fir2dim
param_id_0,129,378950,fir2dim
param_id_0,129,379240,fir2dim
param_id_0,129,379872,fir2dim
param_id_0,129,379341,fir2dim
param_id_0,129,378830,fir2dim
param_id_0,129,383920,fir2dim
param_id_0,137,425789,fir2dim
param_id_0,137,425529,fir2dim
param_id_0,137,426130,fir2dim
