param,value,time,tag
param_id_0,0,611,fourth_in_place
param_id_0,0,50,fourth_in_place
param_id_0,0,50,fourth_in_place
param_id_0,0,50,fourth_in_place
param_id_0,0,40,fourth_in_place
param_id_0,32,581,fourth_in_place
param_id_0,32,381,fourth_in_place
param_id_0,32,370,fourth_in_place
param_id_0,32,361,fourth_in_place
param_id_0,32,351,fourth_in_place
param_id_0,64,661,fourth_in_place
param_id_0,64,691,fourth_in_place
param_id_0,64,621,fourth_in_place
param_id_0,64,671,fourth_in_place
param_id_0,64,671,fourth_in_place
param_id_0,96,852,fourth_in_place
param_id_0,96,812,fourth_in_place
param_id_0,96,861,fourth_in_place
param_id_0,96,862,fourth_in_place
param_id_0,96,842,fourth_in_place
param_id_0,128,1002,fourth_in_place
param_id_0,128,1001,fourth_in_place
param_id_0,128,1062,fourth_in_place
param_id_0,128,1052,fourth_in_place
param_id_0,128,1093,fourth_in_place
param_id_0,160,1292,fourth_in_place
param_id_0,160,1553,fourth_in_place
param_id_0,160,1603,fourth_in_place
param_id_0,160,1322,fourth_in_place
param_id_0,160,1253,fourth_in_place
param_id_0,192,1412,fourth_in_place
param_id_0,192,1493,fourth_in_place
param_id_0,192,1462,fourth_in_place
param_id_0,192,1393,fourth_in_place
param_id_0,192,1443,fourth_in_place
param_id_0,224,1623,fourth_in_place
param_id_0,224,1664,fourth_in_place
param_id_0,224,2074,fourth_in_place
param_id_0,224,1994,fourth_in_place
param_id_0,224,1573,fourth_in_place
param_id_0,256,1753,fourth_in_place
param_id_0,256,1804,fourth_in_place
param_id_0,256,1803,fourth_in_place
param_id_0,256,1933,fourth_in_place
param_id_0,256,1853,fourth_in_place
param_id_0,288,2114,fourth_in_place
param_id_0,288,1953,fourth_in_place
param_id_0,288,2003,fourth_in_place
param_id_0,288,1973,fourth_in_place
param_id_0,288,2164,fourth_in_place
param_id_0,320,2184,fourth_in_place
param_id_0,320,2144,fourth_in_place
param_id_0,320,2254,fourth_in_place
param_id_0,320,2144,fourth_in_place
param_id_0,320,2144,fourth_in_place
param_id_0,352,2424,fourth_in_place
param_id_0,352,2395,fourth_in_place
param_id_0,352,2374,fourth_in_place
param_id_0,352,2344,fourth_in_place
param_id_0,352,2365,fourth_in_place
param_id_0,384,2855,fourth_in_place
param_id_0,384,2916,fourth_in_place
param_id_0,384,2565,fourth_in_place
param_id_0,384,2535,fourth_in_place
param_id_0,384,2605,fourth_in_place
param_id_0,416,2825,fourth_in_place
param_id_0,416,2785,fourth_in_place
param_id_0,416,2796,fourth_in_place
param_id_0,416,2725,fourth_in_place
param_id_0,416,2746,fourth_in_place
param_id_0,448,3006,fourth_in_place
param_id_0,448,3045,fourth_in_place
param_id_0,448,3737,fourth_in_place
param_id_0,448,3687,fourth_in_place
param_id_0,448,2976,fourth_in_place
param_id_0,480,3236,fourth_in_place
param_id_0,480,3176,fourth_in_place
param_id_0,480,3206,fourth_in_place
param_id_0,480,3196,fourth_in_place
param_id_0,480,3126,fourth_in_place
