param,value,time,tag
param_id_0,1,31680,gaussian_blur
param_id_0,1,30738,gaussian_blur
param_id_0,1,30638,gaussian_blur
param_id_0,1,33013,gaussian_blur
param_id_0,1,30679,gaussian_blur
param_id_0,1,30367,gaussian_blur
param_id_0,1,30468,gaussian_blur
param_id_0,1,30418,gaussian_blur
param_id_0,1,30357,gaussian_blur
param_id_0,1,30388,gaussian_blur
param_id_0,9,287606,gaussian_blur
param_id_0,9,281284,gaussian_blur
param_id_0,9,285733,gaussian_blur
param_id_0,9,280403,gaussian_blur
param_id_0,9,280524,gaussian_blur
param_id_0,9,280443,gaussian_blur
param_id_0,9,280613,gaussian_blur
param_id_0,9,280874,gaussian_blur
param_id_0,9,280473,gaussian_blur
param_id_0,9,293137,gaussian_blur
param_id_0,17,530488,gaussian_blur
param_id_0,17,531831,gaussian_blur
param_id_0,17,535578,gaussian_blur
param_id_0,17,530618,gaussian_blur
param_id_0,17,536189,gaussian_blur
param_id_0,17,530508,gaussian_blur
param_id_0,17,535888,gaussian_blur
param_id_0,17,530568,gaussian_blur
param_id_0,17,530408,gaussian_blur
param_id_0,17,530187,gaussian_blur
param_id_0,25,785613,gaussian_blur
param_id_0,25,781254,gaussian_blur
param_id_0,25,780383,gaussian_blur
param_id_0,25,785302,gaussian_blur
param_id_0,25,781385,gaussian_blur
param_id_0,25,780343,gaussian_blur
param_id_0,25,780333,gaussian_blur
param_id_0,25,790382,gaussian_blur
param_id_0,25,780353,gaussian_blur
param_id_0,25,780292,gaussian_blur
param_id_0,33,1035328,gaussian_blur
param_id_0,33,1070765,gaussian_blur
param_id_0,33,1030869,gaussian_blur
param_id_0,33,1035778,gaussian_blur
param_id_0,33,1059884,gaussian_blur
param_id_0,33,1035488,gaussian_blur
param_id_0,33,1040337,gaussian_blur
param_id_0,33,1059273,gaussian_blur
param_id_0,33,1035177,gaussian_blur
param_id_0,33,1030378,gaussian_blur
param_id_0,41,1316342,gaussian_blur
param_id_0,41,1280904,gaussian_blur
param_id_0,41,1285774,gaussian_blur
param_id_0,41,1339766,gaussian_blur
param_id_0,41,1285292,gaussian_blur
param_id_0,41,1304950,gaussian_blur
param_id_0,41,1285602,gaussian_blur
param_id_0,41,1285733,gaussian_blur
param_id_0,41,1327142,gaussian_blur
param_id_0,41,1286786,gaussian_blur
param_id_0,49,1551639,gaussian_blur
param_id_0,49,1535578,gaussian_blur
param_id_0,49,1530328,gaussian_blur
param_id_0,49,1540637,gaussian_blur
param_id_0,49,1535939,gaussian_blur
param_id_0,49,1588188,gaussian_blur
param_id_0,49,1535468,gaussian_blur
param_id_0,49,1567609,gaussian_blur
param_id_0,49,1540568,gaussian_blur
param_id_0,49,1556378,gaussian_blur
param_id_0,57,1787998,gaussian_blur
param_id_0,57,1817815,gaussian_blur
param_id_0,57,1791033,gaussian_blur
param_id_0,57,1814558,gaussian_blur
param_id_0,57,1790493,gaussian_blur
param_id_0,57,1819628,gaussian_blur
param_id_0,57,1785052,gaussian_blur
param_id_0,57,1825960,gaussian_blur
param_id_0,57,1787035,gaussian_blur
param_id_0,57,1825298,gaussian_blur
param_id_0,65,2040077,gaussian_blur
param_id_0,65,2104640,gaussian_blur
param_id_0,65,2039957,gaussian_blur
param_id_0,65,2040047,gaussian_blur
param_id_0,65,2061998,gaussian_blur
param_id_0,65,2040177,gaussian_blur
param_id_0,65,2080233,gaussian_blur
param_id_0,65,2038153,gaussian_blur
param_id_0,65,2103568,gaussian_blur
param_id_0,65,2043964,gaussian_blur
