param,value,time,tag
param_id_0,1,1684,kernel_gemver
param_id_0,1,1263,kernel_gemver
param_id_0,1,1884,kernel_gemver
param_id_0,1,922,kernel_gemver
param_id_0,1,1863,kernel_gemver
param_id_0,1,962,kernel_gemver
param_id_0,1,1673,kernel_gemver
param_id_0,1,1573,kernel_gemver
param_id_0,1,1843,kernel_gemver
param_id_0,1,1733,kernel_gemver
param_id_0,9,3927,kernel_gemver
param_id_0,9,3467,kernel_gemver
param_id_0,9,3146,kernel_gemver
param_id_0,9,3156,kernel_gemver
param_id_0,9,2395,kernel_gemver
param_id_0,9,3758,kernel_gemver
param_id_0,9,3297,kernel_gemver
param_id_0,9,3637,kernel_gemver
param_id_0,9,3577,kernel_gemver
param_id_0,9,3347,kernel_gemver
param_id_0,17,5541,kernel_gemver
param_id_0,17,6072,kernel_gemver
param_id_0,17,6031,kernel_gemver
param_id_0,17,5861,kernel_gemver
param_id_0,17,6252,kernel_gemver
param_id_0,17,5781,kernel_gemver
param_id_0,17,6432,kernel_gemver
param_id_0,17,6423,kernel_gemver
param_id_0,17,5791,kernel_gemver
param_id_0,17,5852,kernel_gemver
param_id_0,25,10670,kernel_gemver
param_id_0,25,9698,kernel_gemver
param_id_0,25,9267,kernel_gemver
param_id_0,25,10490,kernel_gemver
param_id_0,25,10049,kernel_gemver
param_id_0,25,9658,kernel_gemver
param_id_0,25,9908,kernel_gemver
param_id_0,25,10229,kernel_gemver
param_id_0,25,10269,kernel_gemver
param_id_0,25,9688,kernel_gemver
param_id_0,33,15520,kernel_gemver
param_id_0,33,15840,kernel_gemver
param_id_0,33,15349,kernel_gemver
param_id_0,33,15339,kernel_gemver
param_id_0,33,15730,kernel_gemver
param_id_0,33,15198,kernel_gemver
param_id_0,33,15680,kernel_gemver
param_id_0,33,15039,kernel_gemver
param_id_0,33,14898,kernel_gemver
param_id_0,33,15740,kernel_gemver
param_id_0,41,23565,kernel_gemver
param_id_0,41,23285,kernel_gemver
param_id_0,41,22803,kernel_gemver
param_id_0,41,22803,kernel_gemver
param_id_0,41,24006,kernel_gemver
param_id_0,41,23044,kernel_gemver
param_id_0,41,23194,kernel_gemver
param_id_0,41,23274,kernel_gemver
param_id_0,41,22643,kernel_gemver
param_id_0,41,22463,kernel_gemver
param_id_0,49,31159,kernel_gemver
param_id_0,49,31149,kernel_gemver
param_id_0,49,29837,kernel_gemver
param_id_0,49,30578,kernel_gemver
param_id_0,49,30748,kernel_gemver
param_id_0,49,31129,kernel_gemver
param_id_0,49,31209,kernel_gemver
param_id_0,49,31069,kernel_gemver
param_id_0,49,30828,kernel_gemver
param_id_0,49,31419,kernel_gemver
param_id_0,57,41559,kernel_gemver
param_id_0,57,41268,kernel_gemver
param_id_0,57,40858,kernel_gemver
param_id_0,57,40357,kernel_gemver
param_id_0,57,40798,kernel_gemver
param_id_0,57,42180,kernel_gemver
param_id_0,57,40758,kernel_gemver
param_id_0,57,40608,kernel_gemver
param_id_0,57,41048,kernel_gemver
param_id_0,57,40948,kernel_gemver
param_id_0,65,51398,kernel_gemver
param_id_0,65,53562,kernel_gemver
param_id_0,65,50866,kernel_gemver
param_id_0,65,51177,kernel_gemver
param_id_0,65,50956,kernel_gemver
param_id_0,65,52519,kernel_gemver
param_id_0,65,51918,kernel_gemver
param_id_0,65,51618,kernel_gemver
param_id_0,65,51798,kernel_gemver
param_id_0,65,51898,kernel_gemver
param_id_0,73,65635,kernel_gemver
param_id_0,73,65013,kernel_gemver
param_id_0,73,65324,kernel_gemver
param_id_0,73,64182,kernel_gemver
param_id_0,73,64332,kernel_gemver
param_id_0,73,64814,kernel_gemver
param_id_0,73,68491,kernel_gemver
param_id_0,73,64242,kernel_gemver
param_id_0,73,64633,kernel_gemver
param_id_0,73,64583,kernel_gemver
param_id_0,81,80263,kernel_gemver
param_id_0,81,78830,kernel_gemver
param_id_0,81,79892,kernel_gemver
param_id_0,81,80142,kernel_gemver
param_id_0,81,78780,kernel_gemver
param_id_0,81,79311,kernel_gemver
param_id_0,81,80543,kernel_gemver
param_id_0,81,79421,kernel_gemver
param_id_0,81,79080,kernel_gemver
param_id_0,81,79201,kernel_gemver
param_id_0,89,94921,kernel_gemver
param_id_0,89,96423,kernel_gemver
param_id_0,89,95221,kernel_gemver
param_id_0,89,95171,kernel_gemver
param_id_0,89,94359,kernel_gemver
param_id_0,89,94750,kernel_gemver
param_id_0,89,94600,kernel_gemver
param_id_0,89,94609,kernel_gemver
param_id_0,89,94450,kernel_gemver
param_id_0,89,95442,kernel_gemver
param_id_0,97,114728,kernel_gemver
param_id_0,97,113986,kernel_gemver
param_id_0,97,113987,kernel_gemver
param_id_0,97,114227,kernel_gemver
param_id_0,97,113987,kernel_gemver
param_id_0,97,114378,kernel_gemver
param_id_0,97,113506,kernel_gemver
