param,value,time,tag
param_id_0,0,1052,ger
param_id_0,0,121,ger
param_id_0,0,120,ger
param_id_0,0,120,ger
param_id_0,0,80,ger
param_id_0,32,13626,ger
param_id_0,32,13416,ger
param_id_0,32,13405,ger
param_id_0,32,13385,ger
param_id_0,32,13416,ger
param_id_0,64,26651,ger
param_id_0,64,26651,ger
param_id_0,64,26711,ger
param_id_0,64,26651,ger
param_id_0,64,26651,ger
param_id_0,96,39915,ger
param_id_0,96,39966,ger
param_id_0,96,39915,ger
param_id_0,96,39956,ger
param_id_0,96,39896,ger
param_id_0,128,53191,ger
param_id_0,128,53171,ger
param_id_0,128,53191,ger
param_id_0,128,53161,ger
param_id_0,128,53211,ger
param_id_0,160,66446,ger
param_id_0,160,66416,ger
param_id_0,160,66406,ger
param_id_0,160,66447,ger
param_id_0,160,66476,ger
param_id_0,192,79692,ger
param_id_0,192,79691,ger
param_id_0,192,79692,ger
param_id_0,192,79692,ger
param_id_0,192,79672,ger
param_id_0,224,92937,ger
param_id_0,224,92997,ger
param_id_0,224,92936,ger
param_id_0,224,92927,ger
param_id_0,224,92967,ger
param_id_0,256,106192,ger
param_id_0,256,106202,ger
param_id_0,256,106192,ger
param_id_0,256,106192,ger
param_id_0,256,106322,ger
param_id_0,288,119437,ger
param_id_0,288,119517,ger
param_id_0,288,119447,ger
param_id_0,288,119457,ger
param_id_0,288,119467,ger
param_id_0,320,132882,ger
param_id_0,320,132712,ger
param_id_0,320,132782,ger
param_id_0,320,132732,ger
param_id_0,320,132762,ger
param_id_0,352,146028,ger
param_id_0,352,146088,ger
param_id_0,352,147250,ger
param_id_0,352,145997,ger
param_id_0,352,145998,ger
param_id_0,384,159253,ger
param_id_0,384,159273,ger
param_id_0,384,159222,ger
param_id_0,384,161838,ger
param_id_0,384,159252,ger
param_id_0,416,172508,ger
param_id_0,416,172508,ger
param_id_0,416,172728,ger
param_id_0,416,172598,ger
param_id_0,416,177517,ger
param_id_0,448,185823,ger
param_id_0,448,185784,ger
param_id_0,448,185763,ger
param_id_0,448,185773,ger
param_id_0,448,185753,ger
param_id_0,480,199048,ger
param_id_0,480,199239,ger
param_id_0,480,199049,ger
param_id_0,480,199158,ger
param_id_0,480,199038,ger
param_id_1,0,250,ger
param_id_1,0,190,ger
param_id_1,0,190,ger
param_id_1,0,190,ger
param_id_1,0,221,ger
param_id_1,32,13897,ger
param_id_1,32,13837,ger
param_id_1,32,13787,ger
param_id_1,32,13777,ger
param_id_1,32,13766,ger
param_id_1,64,30368,ger
param_id_1,64,33323,ger
param_id_1,64,26721,ger
param_id_1,64,26661,ger
param_id_1,64,26671,ger
param_id_1,96,39575,ger
param_id_1,96,39525,ger
param_id_1,96,39515,ger
param_id_1,96,43733,ger
param_id_1,96,39505,ger
param_id_1,128,52380,ger
param_id_1,128,52440,ger
param_id_1,128,52370,ger
param_id_1,128,52370,ger
param_id_1,128,52440,ger
param_id_1,160,69693,ger
param_id_1,160,65234,ger
param_id_1,160,65554,ger
param_id_1,160,65244,ger
param_id_1,160,65224,ger
param_id_1,192,78168,ger
param_id_1,192,78118,ger
param_id_1,192,78099,ger
param_id_1,192,78219,ger
param_id_1,192,78099,ger
param_id_1,224,90973,ger
param_id_1,224,91013,ger
param_id_1,224,90983,ger
param_id_1,224,90973,ger
param_id_1,224,91023,ger
param_id_1,256,103827,ger
param_id_1,256,103807,ger
param_id_1,256,123384,ger
param_id_1,256,119277,ger
param_id_1,256,103847,ger
param_id_1,288,116732,ger
param_id_1,288,116692,ger
param_id_1,288,145997,ger
param_id_1,288,116751,ger
param_id_1,288,116702,ger
param_id_1,320,129546,ger
param_id_1,320,129606,ger
param_id_1,320,129566,ger
param_id_1,320,129556,ger
param_id_1,320,129597,ger
param_id_1,352,142421,ger
param_id_1,352,178159,ger
param_id_1,352,142470,ger
param_id_1,352,142410,ger
param_id_1,352,142421,ger
param_id_1,384,190001,ger
param_id_1,384,155265,ger
param_id_1,384,155265,ger
param_id_1,384,155336,ger
param_id_1,384,155275,ger
param_id_1,416,168229,ger
param_id_1,416,168260,ger
param_id_1,416,168140,ger
param_id_1,416,168140,ger
param_id_1,416,168180,ger
param_id_1,448,181044,ger
param_id_1,448,182216,ger
param_id_1,448,181796,ger
param_id_1,448,181004,ger
param_id_1,448,181054,ger
param_id_1,480,193928,ger
param_id_1,480,193839,ger
param_id_1,480,193869,ger
param_id_1,480,207003,ger
param_id_1,480,215630,ger
