param,value,time,tag
param_id_0,1,2023,kernel_gesummv
param_id_0,1,1713,kernel_gesummv
param_id_0,1,531,kernel_gesummv
param_id_0,1,1242,kernel_gesummv
param_id_0,1,1513,kernel_gesummv
param_id_0,1,2365,kernel_gesummv
param_id_0,1,2164,kernel_gesummv
param_id_0,1,1733,kernel_gesummv
param_id_0,1,1442,kernel_gesummv
param_id_0,1,1142,kernel_gesummv
param_id_0,9,2545,kernel_gesummv
param_id_0,9,1513,kernel_gesummv
param_id_0,9,2745,kernel_gesummv
param_id_0,9,2665,kernel_gesummv
param_id_0,9,2936,kernel_gesummv
param_id_0,9,2165,kernel_gesummv
param_id_0,9,2685,kernel_gesummv
param_id_0,9,2315,kernel_gesummv
param_id_0,9,1383,kernel_gesummv
param_id_0,9,1733,kernel_gesummv
param_id_0,17,4097,kernel_gesummv
param_id_0,17,4178,kernel_gesummv
param_id_0,17,4238,kernel_gesummv
param_id_0,17,4349,kernel_gesummv
param_id_0,17,4138,kernel_gesummv
param_id_0,17,3787,kernel_gesummv
param_id_0,17,3977,kernel_gesummv
param_id_0,17,3627,kernel_gesummv
param_id_0,17,4268,kernel_gesummv
param_id_0,17,2776,kernel_gesummv
param_id_0,25,6372,kernel_gesummv
param_id_0,25,5210,kernel_gesummv
param_id_0,25,5040,kernel_gesummv
param_id_0,25,6111,kernel_gesummv
param_id_0,25,6772,kernel_gesummv
param_id_0,25,6041,kernel_gesummv
param_id_0,25,6132,kernel_gesummv
param_id_0,25,6792,kernel_gesummv
param_id_0,25,5310,kernel_gesummv
param_id_0,25,5911,kernel_gesummv
param_id_0,33,9598,kernel_gesummv
param_id_0,33,9328,kernel_gesummv
param_id_0,33,8426,kernel_gesummv
param_id_0,33,8737,kernel_gesummv
param_id_0,33,9508,kernel_gesummv
param_id_0,33,8406,kernel_gesummv
param_id_0,33,9168,kernel_gesummv
param_id_0,33,8346,kernel_gesummv
param_id_0,33,9318,kernel_gesummv
param_id_0,33,9047,kernel_gesummv
param_id_0,41,11812,kernel_gesummv
param_id_0,41,12975,kernel_gesummv
param_id_0,41,13456,kernel_gesummv
param_id_0,41,12865,kernel_gesummv
param_id_0,41,12895,kernel_gesummv
param_id_0,41,12874,kernel_gesummv
param_id_0,41,12614,kernel_gesummv
param_id_0,41,12564,kernel_gesummv
