param,value,time,tag
param_id_0,0,531,h_edge
param_id_0,0,240,h_edge
param_id_0,0,211,h_edge
param_id_0,0,200,h_edge
param_id_0,0,200,h_edge
param_id_0,32,6041,h_edge
param_id_0,32,5992,h_edge
param_id_0,32,5931,h_edge
param_id_0,32,5971,h_edge
param_id_0,32,6001,h_edge
param_id_0,64,12063,h_edge
param_id_0,64,12033,h_edge
param_id_0,64,12062,h_edge
param_id_0,64,12043,h_edge
param_id_0,64,12003,h_edge
param_id_0,96,18636,h_edge
param_id_0,96,18626,h_edge
param_id_0,96,18645,h_edge
param_id_0,96,18646,h_edge
param_id_0,96,18475,h_edge
param_id_0,128,24998,h_edge
param_id_0,128,24967,h_edge
param_id_0,128,24957,h_edge
param_id_0,128,24958,h_edge
param_id_0,128,24957,h_edge
param_id_0,160,30938,h_edge
param_id_0,160,30979,h_edge
param_id_0,160,30919,h_edge
param_id_0,160,30939,h_edge
param_id_0,160,30969,h_edge
param_id_0,192,36980,h_edge
param_id_0,192,36971,h_edge
param_id_0,192,37010,h_edge
param_id_0,192,36990,h_edge
param_id_0,192,36961,h_edge
param_id_0,224,43002,h_edge
param_id_0,224,42961,h_edge
param_id_0,224,43021,h_edge
param_id_0,224,42992,h_edge
param_id_0,224,43002,h_edge
param_id_0,256,49144,h_edge
param_id_0,256,49123,h_edge
param_id_0,256,49133,h_edge
param_id_0,256,49124,h_edge
param_id_0,256,49083,h_edge
param_id_0,288,55165,h_edge
param_id_0,288,55124,h_edge
param_id_0,288,55234,h_edge
param_id_0,288,55174,h_edge
param_id_0,288,55174,h_edge
param_id_0,320,61186,h_edge
param_id_0,320,61197,h_edge
param_id_0,320,61226,h_edge
param_id_0,320,61157,h_edge
param_id_0,320,61146,h_edge
param_id_0,352,67237,h_edge
param_id_0,352,67248,h_edge
param_id_0,352,67288,h_edge
param_id_0,352,67168,h_edge
param_id_0,352,67187,h_edge
param_id_0,384,73159,h_edge
param_id_0,384,73199,h_edge
param_id_0,384,73129,h_edge
param_id_0,384,73179,h_edge
param_id_0,384,73159,h_edge
param_id_0,416,79270,h_edge
param_id_0,416,79330,h_edge
param_id_0,416,79331,h_edge
param_id_0,416,79231,h_edge
param_id_0,416,79291,h_edge
param_id_0,448,85412,h_edge
param_id_0,448,85422,h_edge
param_id_0,448,85382,h_edge
param_id_0,448,85432,h_edge
param_id_0,448,85502,h_edge
param_id_0,480,91534,h_edge
param_id_0,480,91434,h_edge
param_id_0,480,91454,h_edge
param_id_0,480,91464,h_edge
param_id_0,480,91444,h_edge
param_id_1,0,301,h_edge
param_id_1,0,40,h_edge
param_id_1,0,40,h_edge
param_id_1,0,50,h_edge
param_id_1,0,40,h_edge
param_id_1,32,6111,h_edge
param_id_1,32,6042,h_edge
param_id_1,32,6062,h_edge
param_id_1,32,6061,h_edge
param_id_1,32,6072,h_edge
param_id_1,64,12043,h_edge
param_id_1,64,12022,h_edge
param_id_1,64,12013,h_edge
param_id_1,64,12043,h_edge
param_id_1,64,12042,h_edge
param_id_1,96,17964,h_edge
param_id_1,96,18064,h_edge
param_id_1,96,18004,h_edge
param_id_1,96,18064,h_edge
param_id_1,96,18014,h_edge
param_id_1,128,24026,h_edge
param_id_1,128,23996,h_edge
param_id_1,128,23975,h_edge
param_id_1,128,23976,h_edge
param_id_1,128,24005,h_edge
param_id_1,160,30017,h_edge
param_id_1,160,29977,h_edge
param_id_1,160,30017,h_edge
param_id_1,160,30027,h_edge
param_id_1,160,30047,h_edge
param_id_1,192,35998,h_edge
param_id_1,192,35938,h_edge
param_id_1,192,35998,h_edge
param_id_1,192,35969,h_edge
param_id_1,192,35948,h_edge
param_id_1,224,41890,h_edge
param_id_1,224,42000,h_edge
param_id_1,224,42010,h_edge
param_id_1,224,41990,h_edge
param_id_1,224,42010,h_edge
param_id_1,256,47981,h_edge
param_id_1,256,47942,h_edge
param_id_1,256,47952,h_edge
param_id_1,256,47961,h_edge
param_id_1,256,47941,h_edge
param_id_1,288,53953,h_edge
param_id_1,288,53922,h_edge
param_id_1,288,53993,h_edge
param_id_1,288,54002,h_edge
param_id_1,288,53963,h_edge
param_id_1,320,59943,h_edge
param_id_1,320,59894,h_edge
param_id_1,320,59913,h_edge
param_id_1,320,59914,h_edge
param_id_1,320,59954,h_edge
param_id_1,352,65985,h_edge
param_id_1,352,65906,h_edge
param_id_1,352,65915,h_edge
param_id_1,352,65945,h_edge
param_id_1,352,65865,h_edge
param_id_1,384,71916,h_edge
param_id_1,384,72228,h_edge
param_id_1,384,75584,h_edge
param_id_1,384,71897,h_edge
param_id_1,384,71866,h_edge
param_id_1,416,77858,h_edge
param_id_1,416,77918,h_edge
param_id_1,416,77998,h_edge
param_id_1,416,77968,h_edge
param_id_1,416,77908,h_edge
param_id_1,448,83909,h_edge
param_id_1,448,83880,h_edge
param_id_1,448,84000,h_edge
param_id_1,448,83869,h_edge
param_id_1,448,83930,h_edge
param_id_1,480,89851,h_edge
param_id_1,480,89881,h_edge
param_id_1,480,89891,h_edge
param_id_1,480,89891,h_edge
param_id_1,480,89971,h_edge
