param,value,time,tag
param_id_0,0,681,histo
param_id_0,0,40,histo
param_id_0,0,40,histo
param_id_0,0,40,histo
param_id_0,0,30,histo
param_id_0,32,11422,histo
param_id_0,32,11231,histo
param_id_0,32,11051,histo
param_id_0,32,11251,histo
param_id_0,32,11051,histo
param_id_0,64,22293,histo
param_id_0,64,22413,histo
param_id_0,64,22262,histo
param_id_0,64,22192,histo
param_id_0,64,22242,histo
param_id_0,96,33624,histo
param_id_0,96,33404,histo
param_id_0,96,33023,histo
param_id_0,96,33473,histo
param_id_0,96,33584,histo
param_id_0,128,44595,histo
param_id_0,128,44544,histo
param_id_0,128,44495,histo
param_id_0,128,44104,histo
param_id_0,128,44414,histo
param_id_0,160,56036,histo
param_id_0,160,55285,histo
param_id_0,160,55325,histo
param_id_0,160,55516,histo
param_id_0,160,55806,histo
param_id_0,192,66897,histo
param_id_0,192,66376,histo
param_id_0,192,66497,histo
param_id_0,192,66556,histo
param_id_0,192,66606,histo
param_id_0,224,77688,histo
param_id_0,224,77528,histo
param_id_0,224,77587,histo
param_id_0,224,77808,histo
param_id_0,224,77908,histo
param_id_0,256,88949,histo
param_id_0,256,89130,histo
param_id_0,256,88879,histo
param_id_0,256,88689,histo
param_id_0,256,88989,histo
param_id_0,288,99089,histo
param_id_0,288,100401,histo
param_id_0,288,99940,histo
param_id_0,288,99700,histo
param_id_0,288,103076,histo
param_id_0,320,110681,histo
param_id_0,320,111452,histo
param_id_0,320,110430,histo
param_id_0,320,110881,histo
param_id_0,320,110830,histo
param_id_0,352,121631,histo
param_id_0,352,122082,histo
param_id_0,352,122242,histo
param_id_0,352,122302,histo
param_id_0,352,122323,histo
param_id_0,384,132521,histo
param_id_0,384,132632,histo
param_id_0,384,133434,histo
param_id_0,384,132963,histo
param_id_0,384,132833,histo
param_id_0,416,144705,histo
param_id_0,416,144285,histo
param_id_0,416,144294,histo
param_id_0,416,144314,histo
param_id_0,416,144365,histo
param_id_0,448,156026,histo
param_id_0,448,154885,histo
param_id_0,448,155275,histo
param_id_0,448,155555,histo
param_id_0,448,155465,histo
param_id_0,480,171546,histo
param_id_0,480,166066,histo
param_id_0,480,167228,histo
param_id_0,480,166136,histo
param_id_0,480,166456,histo
param_id_1,0,140,histo
param_id_1,0,50,histo
param_id_1,0,40,histo
param_id_1,0,40,histo
param_id_1,0,40,histo
param_id_1,32,12474,histo
param_id_1,32,14026,histo
param_id_1,32,13937,histo
param_id_1,32,13887,histo
param_id_1,32,14046,histo
param_id_1,64,28013,histo
param_id_1,64,27593,histo
param_id_1,64,28023,histo
param_id_1,64,27893,histo
param_id_1,64,25759,histo
param_id_1,96,33523,histo
param_id_1,96,33133,histo
param_id_1,96,33313,histo
param_id_1,96,32993,histo
param_id_1,96,33644,histo
param_id_1,128,44484,histo
param_id_1,128,44144,histo
param_id_1,128,44224,histo
param_id_1,128,44384,histo
param_id_1,128,44154,histo
param_id_1,160,55585,histo
param_id_1,160,55455,histo
param_id_1,160,55235,histo
param_id_1,160,61557,histo
param_id_1,160,69863,histo
param_id_1,192,83318,histo
param_id_1,192,67719,histo
param_id_1,192,66356,histo
param_id_1,192,66687,histo
param_id_1,192,66928,histo
param_id_1,224,77407,histo
param_id_1,224,77948,histo
param_id_1,224,77678,histo
param_id_1,224,78239,histo
param_id_1,224,77797,histo
param_id_1,256,89109,histo
param_id_1,256,88809,histo
param_id_1,256,88959,histo
param_id_1,256,88618,histo
param_id_1,256,89420,histo
param_id_1,288,100761,histo
param_id_1,288,100191,histo
param_id_1,288,99779,histo
param_id_1,288,99710,histo
param_id_1,288,99058,histo
param_id_1,320,121081,histo
param_id_1,320,139334,histo
param_id_1,320,121521,histo
param_id_1,320,110650,histo
param_id_1,320,110781,histo
param_id_1,352,122984,histo
param_id_1,352,121862,histo
param_id_1,352,122282,histo
param_id_1,352,152450,histo
param_id_1,352,132652,histo
param_id_1,384,133885,histo
param_id_1,384,133544,histo
param_id_1,384,133383,histo
param_id_1,384,133584,histo
param_id_1,384,133083,histo
param_id_1,416,144816,histo
param_id_1,416,144254,histo
param_id_1,416,143943,histo
param_id_1,416,143984,histo
param_id_1,416,145477,histo
param_id_1,448,154614,histo
param_id_1,448,177658,histo
param_id_1,448,180583,histo
param_id_1,448,155576,histo
param_id_1,448,155406,histo
param_id_1,480,166717,histo
param_id_1,480,169442,histo
param_id_1,480,202876,histo
param_id_1,480,167268,histo
param_id_1,480,166216,histo
