param,value,time,tag
param_id_0,0,240,kernel_jacobi_1d_imper
param_id_0,0,81,kernel_jacobi_1d_imper
param_id_0,0,80,kernel_jacobi_1d_imper
param_id_0,0,80,kernel_jacobi_1d_imper
param_id_0,0,80,kernel_jacobi_1d_imper
param_id_0,32,11752,kernel_jacobi_1d_imper
param_id_0,32,11382,kernel_jacobi_1d_imper
param_id_0,32,11051,kernel_jacobi_1d_imper
param_id_0,32,11242,kernel_jacobi_1d_imper
param_id_0,32,10820,kernel_jacobi_1d_imper
param_id_0,64,21691,kernel_jacobi_1d_imper
param_id_0,64,21651,kernel_jacobi_1d_imper
param_id_0,64,22473,kernel_jacobi_1d_imper
param_id_0,64,21581,kernel_jacobi_1d_imper
param_id_0,64,21531,kernel_jacobi_1d_imper
param_id_0,96,32422,kernel_jacobi_1d_imper
param_id_0,96,33714,kernel_jacobi_1d_imper
param_id_0,96,33193,kernel_jacobi_1d_imper
param_id_0,96,33714,kernel_jacobi_1d_imper
param_id_0,96,33213,kernel_jacobi_1d_imper
param_id_0,128,56147,kernel_jacobi_1d_imper
param_id_0,128,56367,kernel_jacobi_1d_imper
param_id_0,128,43042,kernel_jacobi_1d_imper
param_id_0,128,44064,kernel_jacobi_1d_imper
param_id_0,128,43012,kernel_jacobi_1d_imper
param_id_0,160,53993,kernel_jacobi_1d_imper
param_id_0,160,54173,kernel_jacobi_1d_imper
param_id_0,160,53893,kernel_jacobi_1d_imper
param_id_0,160,62499,kernel_jacobi_1d_imper
param_id_0,160,67368,kernel_jacobi_1d_imper
param_id_0,192,64754,kernel_jacobi_1d_imper
param_id_0,192,64512,kernel_jacobi_1d_imper
param_id_0,192,64502,kernel_jacobi_1d_imper
param_id_0,192,64773,kernel_jacobi_1d_imper
param_id_0,192,64693,kernel_jacobi_1d_imper
param_id_0,224,75614,kernel_jacobi_1d_imper
param_id_0,224,75403,kernel_jacobi_1d_imper
param_id_0,224,75444,kernel_jacobi_1d_imper
param_id_0,224,75223,kernel_jacobi_1d_imper
param_id_0,224,78018,kernel_jacobi_1d_imper
param_id_0,256,86224,kernel_jacobi_1d_imper
param_id_0,256,90873,kernel_jacobi_1d_imper
param_id_0,256,86274,kernel_jacobi_1d_imper
param_id_0,256,108055,kernel_jacobi_1d_imper
param_id_0,256,95562,kernel_jacobi_1d_imper
param_id_0,288,96864,kernel_jacobi_1d_imper
param_id_0,288,96844,kernel_jacobi_1d_imper
param_id_0,288,99299,kernel_jacobi_1d_imper
param_id_0,288,96885,kernel_jacobi_1d_imper
param_id_0,288,121351,kernel_jacobi_1d_imper
param_id_0,320,107644,kernel_jacobi_1d_imper
param_id_0,320,107514,kernel_jacobi_1d_imper
param_id_0,320,112103,kernel_jacobi_1d_imper
param_id_0,320,107734,kernel_jacobi_1d_imper
param_id_0,320,109918,kernel_jacobi_1d_imper
param_id_0,352,118045,kernel_jacobi_1d_imper
param_id_0,352,117884,kernel_jacobi_1d_imper
param_id_0,352,122983,kernel_jacobi_1d_imper
param_id_0,352,118545,kernel_jacobi_1d_imper
param_id_0,352,118305,kernel_jacobi_1d_imper
param_id_0,384,161838,kernel_jacobi_1d_imper
param_id_0,384,132973,kernel_jacobi_1d_imper
param_id_0,384,132071,kernel_jacobi_1d_imper
param_id_0,384,128825,kernel_jacobi_1d_imper
param_id_0,384,129286,kernel_jacobi_1d_imper
param_id_0,416,169683,kernel_jacobi_1d_imper
param_id_0,416,139736,kernel_jacobi_1d_imper
param_id_0,416,139675,kernel_jacobi_1d_imper
param_id_0,416,139656,kernel_jacobi_1d_imper
param_id_0,416,145085,kernel_jacobi_1d_imper
param_id_0,448,150466,kernel_jacobi_1d_imper
param_id_0,448,150616,kernel_jacobi_1d_imper
param_id_0,448,150566,kernel_jacobi_1d_imper
param_id_0,448,150717,kernel_jacobi_1d_imper
param_id_0,448,180904,kernel_jacobi_1d_imper
param_id_0,480,176877,kernel_jacobi_1d_imper
param_id_0,480,161266,kernel_jacobi_1d_imper
param_id_0,480,161317,kernel_jacobi_1d_imper
param_id_0,480,182436,kernel_jacobi_1d_imper
param_id_0,480,180093,kernel_jacobi_1d_imper
param_id_1,0,350,kernel_jacobi_1d_imper
param_id_1,0,230,kernel_jacobi_1d_imper
param_id_1,0,241,kernel_jacobi_1d_imper
param_id_1,0,210,kernel_jacobi_1d_imper
param_id_1,0,200,kernel_jacobi_1d_imper
param_id_1,32,11322,kernel_jacobi_1d_imper
param_id_1,32,10319,kernel_jacobi_1d_imper
param_id_1,32,10350,kernel_jacobi_1d_imper
param_id_1,32,10330,kernel_jacobi_1d_imper
param_id_1,32,10349,kernel_jacobi_1d_imper
param_id_1,64,21711,kernel_jacobi_1d_imper
param_id_1,64,21561,kernel_jacobi_1d_imper
param_id_1,64,21561,kernel_jacobi_1d_imper
param_id_1,64,21521,kernel_jacobi_1d_imper
param_id_1,64,21510,kernel_jacobi_1d_imper
param_id_1,96,33995,kernel_jacobi_1d_imper
param_id_1,96,34005,kernel_jacobi_1d_imper
param_id_1,96,34144,kernel_jacobi_1d_imper
param_id_1,96,34035,kernel_jacobi_1d_imper
param_id_1,96,33944,kernel_jacobi_1d_imper
param_id_1,128,45336,kernel_jacobi_1d_imper
param_id_1,128,45346,kernel_jacobi_1d_imper
param_id_1,128,45066,kernel_jacobi_1d_imper
param_id_1,128,45347,kernel_jacobi_1d_imper
param_id_1,128,45296,kernel_jacobi_1d_imper
param_id_1,160,56488,kernel_jacobi_1d_imper
param_id_1,160,56588,kernel_jacobi_1d_imper
param_id_1,160,56377,kernel_jacobi_1d_imper
param_id_1,160,56477,kernel_jacobi_1d_imper
param_id_1,160,60365,kernel_jacobi_1d_imper
param_id_1,192,67628,kernel_jacobi_1d_imper
param_id_1,192,67218,kernel_jacobi_1d_imper
param_id_1,192,67579,kernel_jacobi_1d_imper
param_id_1,192,67348,kernel_jacobi_1d_imper
param_id_1,192,67809,kernel_jacobi_1d_imper
param_id_1,224,79060,kernel_jacobi_1d_imper
param_id_1,224,79030,kernel_jacobi_1d_imper
param_id_1,224,78809,kernel_jacobi_1d_imper
param_id_1,224,79281,kernel_jacobi_1d_imper
param_id_1,224,79281,kernel_jacobi_1d_imper
param_id_1,256,89350,kernel_jacobi_1d_imper
param_id_1,256,90121,kernel_jacobi_1d_imper
param_id_1,256,90582,kernel_jacobi_1d_imper
param_id_1,256,90342,kernel_jacobi_1d_imper
param_id_1,256,90271,kernel_jacobi_1d_imper
param_id_1,288,101202,kernel_jacobi_1d_imper
param_id_1,288,101372,kernel_jacobi_1d_imper
param_id_1,288,102194,kernel_jacobi_1d_imper
param_id_1,288,101453,kernel_jacobi_1d_imper
param_id_1,288,100952,kernel_jacobi_1d_imper
param_id_1,320,113105,kernel_jacobi_1d_imper
param_id_1,320,112724,kernel_jacobi_1d_imper
param_id_1,320,112634,kernel_jacobi_1d_imper
param_id_1,320,112604,kernel_jacobi_1d_imper
param_id_1,320,112523,kernel_jacobi_1d_imper
param_id_1,352,123995,kernel_jacobi_1d_imper
param_id_1,352,124126,kernel_jacobi_1d_imper
param_id_1,352,122633,kernel_jacobi_1d_imper
param_id_1,352,124316,kernel_jacobi_1d_imper
param_id_1,352,124146,kernel_jacobi_1d_imper
param_id_1,384,135357,kernel_jacobi_1d_imper
param_id_1,384,135528,kernel_jacobi_1d_imper
param_id_1,384,138934,kernel_jacobi_1d_imper
param_id_1,384,134927,kernel_jacobi_1d_imper
param_id_1,384,135407,kernel_jacobi_1d_imper
