param,value,time,tag
param_id_0,1,1152,last_zero_idx
param_id_0,1,290,last_zero_idx
param_id_0,1,170,last_zero_idx
param_id_0,1,271,last_zero_idx
param_id_0,1,291,last_zero_idx
param_id_0,1,310,last_zero_idx
param_id_0,1,271,last_zero_idx
param_id_0,1,200,last_zero_idx
param_id_0,1,160,last_zero_idx
param_id_0,1,201,last_zero_idx
param_id_0,9,220,last_zero_idx
param_id_0,9,321,last_zero_idx
param_id_0,9,180,last_zero_idx
param_id_0,9,180,last_zero_idx
param_id_0,9,181,last_zero_idx
param_id_0,9,170,last_zero_idx
param_id_0,9,250,last_zero_idx
param_id_0,9,220,last_zero_idx
param_id_0,9,181,last_zero_idx
param_id_0,9,261,last_zero_idx
param_id_0,17,431,last_zero_idx
param_id_0,17,381,last_zero_idx
param_id_0,17,321,last_zero_idx
param_id_0,17,371,last_zero_idx
param_id_0,17,341,last_zero_idx
param_id_0,17,301,last_zero_idx
param_id_0,17,210,last_zero_idx
param_id_0,17,330,last_zero_idx
param_id_0,17,371,last_zero_idx
param_id_0,17,771,last_zero_idx
param_id_0,25,410,last_zero_idx
param_id_0,25,421,last_zero_idx
param_id_0,25,391,last_zero_idx
param_id_0,25,431,last_zero_idx
param_id_0,25,341,last_zero_idx
param_id_0,25,531,last_zero_idx
param_id_0,25,722,last_zero_idx
param_id_0,25,351,last_zero_idx
param_id_0,25,361,last_zero_idx
param_id_0,25,360,last_zero_idx
param_id_0,33,441,last_zero_idx
param_id_0,33,411,last_zero_idx
param_id_0,33,451,last_zero_idx
param_id_0,33,381,last_zero_idx
param_id_0,33,370,last_zero_idx
param_id_0,33,691,last_zero_idx
param_id_0,33,401,last_zero_idx
param_id_0,33,401,last_zero_idx
param_id_0,33,551,last_zero_idx
param_id_0,33,491,last_zero_idx
param_id_0,41,481,last_zero_idx
param_id_0,41,461,last_zero_idx
param_id_0,41,431,last_zero_idx
param_id_0,41,451,last_zero_idx
param_id_0,41,611,last_zero_idx
param_id_0,41,611,last_zero_idx
param_id_0,41,551,last_zero_idx
param_id_0,41,451,last_zero_idx
param_id_0,41,431,last_zero_idx
param_id_0,41,461,last_zero_idx
param_id_0,49,681,last_zero_idx
param_id_0,49,662,last_zero_idx
param_id_0,49,361,last_zero_idx
param_id_0,49,420,last_zero_idx
param_id_0,49,481,last_zero_idx
param_id_0,49,420,last_zero_idx
param_id_0,49,461,last_zero_idx
param_id_0,49,401,last_zero_idx
param_id_0,49,411,last_zero_idx
param_id_0,49,451,last_zero_idx
param_id_0,57,470,last_zero_idx
param_id_0,57,521,last_zero_idx
param_id_0,57,441,last_zero_idx
param_id_0,57,461,last_zero_idx
param_id_0,57,440,last_zero_idx
param_id_0,57,491,last_zero_idx
param_id_0,57,471,last_zero_idx
param_id_0,57,421,last_zero_idx
param_id_0,57,461,last_zero_idx
param_id_0,57,491,last_zero_idx
param_id_0,65,912,last_zero_idx
param_id_0,65,571,last_zero_idx
param_id_0,65,481,last_zero_idx
param_id_0,65,561,last_zero_idx
param_id_0,65,451,last_zero_idx
param_id_0,65,551,last_zero_idx
param_id_0,65,471,last_zero_idx
param_id_0,65,541,last_zero_idx
param_id_0,65,461,last_zero_idx
param_id_0,65,471,last_zero_idx
param_id_0,73,421,last_zero_idx
param_id_0,73,481,last_zero_idx
param_id_0,73,471,last_zero_idx
param_id_0,73,711,last_zero_idx
param_id_0,73,420,last_zero_idx
param_id_0,73,401,last_zero_idx
param_id_0,73,421,last_zero_idx
param_id_0,73,551,last_zero_idx
param_id_0,73,561,last_zero_idx
param_id_0,73,571,last_zero_idx
param_id_0,81,500,last_zero_idx
param_id_0,81,561,last_zero_idx
param_id_0,81,571,last_zero_idx
param_id_0,81,691,last_zero_idx
param_id_0,81,631,last_zero_idx
param_id_0,81,501,last_zero_idx
param_id_0,81,822,last_zero_idx
param_id_0,81,671,last_zero_idx
param_id_0,81,501,last_zero_idx
param_id_0,81,511,last_zero_idx
param_id_0,89,511,last_zero_idx
param_id_0,89,701,last_zero_idx
param_id_0,89,541,last_zero_idx
param_id_0,89,612,last_zero_idx
param_id_0,89,451,last_zero_idx
param_id_0,89,451,last_zero_idx
param_id_0,89,561,last_zero_idx
param_id_0,89,911,last_zero_idx
param_id_0,89,471,last_zero_idx
param_id_0,89,762,last_zero_idx
param_id_0,97,781,last_zero_idx
param_id_0,97,491,last_zero_idx
param_id_0,97,621,last_zero_idx
param_id_0,97,481,last_zero_idx
param_id_0,97,641,last_zero_idx
param_id_0,97,642,last_zero_idx
param_id_0,97,470,last_zero_idx
param_id_0,97,551,last_zero_idx
param_id_0,97,661,last_zero_idx
param_id_0,97,671,last_zero_idx
param_id_0,105,711,last_zero_idx
param_id_0,105,511,last_zero_idx
param_id_0,105,641,last_zero_idx
param_id_0,105,571,last_zero_idx
param_id_0,105,611,last_zero_idx
param_id_0,105,661,last_zero_idx
param_id_0,105,621,last_zero_idx
param_id_0,105,601,last_zero_idx
param_id_0,105,942,last_zero_idx
param_id_0,105,561,last_zero_idx
param_id_0,113,822,last_zero_idx
param_id_0,113,672,last_zero_idx
param_id_0,113,632,last_zero_idx
param_id_0,113,812,last_zero_idx
param_id_0,113,601,last_zero_idx
param_id_0,113,581,last_zero_idx
param_id_0,113,622,last_zero_idx
param_id_0,113,531,last_zero_idx
param_id_0,113,822,last_zero_idx
param_id_0,113,621,last_zero_idx
param_id_0,121,771,last_zero_idx
param_id_0,121,811,last_zero_idx
param_id_0,121,681,last_zero_idx
param_id_0,121,641,last_zero_idx
param_id_0,121,702,last_zero_idx
param_id_0,121,802,last_zero_idx
param_id_0,121,772,last_zero_idx
param_id_0,121,711,last_zero_idx
param_id_0,121,681,last_zero_idx
param_id_0,121,661,last_zero_idx
param_id_0,129,752,last_zero_idx
param_id_0,129,711,last_zero_idx
param_id_0,129,831,last_zero_idx
param_id_0,129,711,last_zero_idx
param_id_0,129,702,last_zero_idx
param_id_0,129,631,last_zero_idx
param_id_0,129,801,last_zero_idx
param_id_0,129,731,last_zero_idx
param_id_0,129,872,last_zero_idx
param_id_0,129,562,last_zero_idx
param_id_0,137,701,last_zero_idx
param_id_0,137,781,last_zero_idx
param_id_0,137,742,last_zero_idx
param_id_0,137,822,last_zero_idx
param_id_0,137,741,last_zero_idx
param_id_0,137,842,last_zero_idx
param_id_0,137,632,last_zero_idx
param_id_0,137,711,last_zero_idx
param_id_0,137,931,last_zero_idx
param_id_0,137,701,last_zero_idx
