param,value,time,tag
param_id_0,1,1353,latnrm
param_id_0,1,370,latnrm
param_id_0,1,281,latnrm
param_id_0,1,271,latnrm
param_id_0,1,180,latnrm
param_id_0,1,420,latnrm
param_id_0,1,331,latnrm
param_id_0,1,230,latnrm
param_id_0,1,261,latnrm
param_id_0,1,250,latnrm
param_id_0,9,291,latnrm
param_id_0,9,361,latnrm
param_id_0,9,250,latnrm
param_id_0,9,320,latnrm
param_id_0,9,311,latnrm
param_id_0,9,311,latnrm
param_id_0,9,270,latnrm
param_id_0,9,431,latnrm
param_id_0,9,290,latnrm
param_id_0,9,371,latnrm
param_id_0,17,391,latnrm
param_id_0,17,501,latnrm
param_id_0,17,441,latnrm
param_id_0,17,420,latnrm
param_id_0,17,581,latnrm
param_id_0,17,391,latnrm
param_id_0,17,501,latnrm
param_id_0,17,450,latnrm
param_id_0,17,501,latnrm
param_id_0,17,481,latnrm
param_id_0,25,681,latnrm
param_id_0,25,531,latnrm
param_id_0,25,541,latnrm
param_id_0,25,531,latnrm
param_id_0,25,531,latnrm
param_id_0,25,511,latnrm
param_id_0,25,611,latnrm
param_id_0,25,481,latnrm
param_id_0,25,721,latnrm
param_id_0,25,531,latnrm
param_id_0,33,741,latnrm
param_id_0,33,712,latnrm
param_id_0,33,691,latnrm
param_id_0,33,722,latnrm
param_id_0,33,711,latnrm
param_id_0,33,612,latnrm
param_id_0,33,561,latnrm
param_id_0,33,842,latnrm
param_id_0,33,741,latnrm
param_id_0,33,822,latnrm
param_id_0,41,842,latnrm
param_id_0,41,962,latnrm
param_id_0,41,802,latnrm
param_id_0,41,831,latnrm
param_id_0,41,821,latnrm
param_id_0,41,761,latnrm
param_id_0,41,771,latnrm
param_id_0,41,871,latnrm
param_id_0,41,801,latnrm
param_id_0,41,752,latnrm
param_id_0,49,852,latnrm
param_id_0,49,851,latnrm
param_id_0,49,932,latnrm
param_id_0,49,972,latnrm
param_id_0,49,1032,latnrm
param_id_0,49,1032,latnrm
param_id_0,49,942,latnrm
param_id_0,49,1012,latnrm
param_id_0,49,881,latnrm
param_id_0,49,982,latnrm
param_id_0,57,1002,latnrm
param_id_0,57,1083,latnrm
param_id_0,57,1012,latnrm
param_id_0,57,1282,latnrm
param_id_0,57,1142,latnrm
param_id_0,57,1062,latnrm
param_id_0,57,921,latnrm
param_id_0,57,1333,latnrm
param_id_0,57,962,latnrm
param_id_0,57,1062,latnrm
param_id_0,65,1252,latnrm
param_id_0,65,1112,latnrm
param_id_0,65,1814,latnrm
param_id_0,65,1152,latnrm
param_id_0,65,1132,latnrm
param_id_0,65,1182,latnrm
param_id_0,65,1163,latnrm
param_id_0,65,1373,latnrm
param_id_0,65,1092,latnrm
param_id_0,65,1133,latnrm
param_id_0,73,1112,latnrm
param_id_0,73,1462,latnrm
param_id_0,73,1203,latnrm
param_id_0,73,1062,latnrm
param_id_0,73,1212,latnrm
param_id_0,73,1092,latnrm
param_id_0,73,1222,latnrm
param_id_0,73,1052,latnrm
param_id_0,73,1082,latnrm
param_id_0,73,1442,latnrm
param_id_0,81,1313,latnrm
param_id_0,81,1262,latnrm
param_id_0,81,1312,latnrm
param_id_0,81,1192,latnrm
param_id_0,81,1282,latnrm
param_id_0,81,1282,latnrm
param_id_0,81,1342,latnrm
param_id_0,81,1322,latnrm
param_id_0,81,1172,latnrm
param_id_0,81,1282,latnrm
param_id_0,89,1533,latnrm
param_id_0,89,1202,latnrm
param_id_0,89,1372,latnrm
param_id_0,89,1282,latnrm
param_id_0,89,1192,latnrm
param_id_0,89,1322,latnrm
param_id_0,89,1212,latnrm
