param,value,time,tag
param_id_0,0,391,len
param_id_0,0,100,len
param_id_0,0,70,len
param_id_0,0,70,len
param_id_0,0,60,len
param_id_0,32,251,len
param_id_0,32,240,len
param_id_0,32,231,len
param_id_0,32,241,len
param_id_0,32,181,len
param_id_0,64,280,len
param_id_0,64,330,len
param_id_0,64,341,len
param_id_0,64,280,len
param_id_0,64,280,len
param_id_0,96,380,len
param_id_0,96,391,len
param_id_0,96,381,len
param_id_0,96,381,len
param_id_0,96,390,len
param_id_0,128,491,len
param_id_0,128,491,len
param_id_0,128,491,len
param_id_0,128,491,len
param_id_0,128,491,len
param_id_0,160,612,len
param_id_0,160,601,len
param_id_0,160,601,len
param_id_0,160,591,len
param_id_0,160,591,len
param_id_0,192,702,len
param_id_0,192,701,len
param_id_0,192,712,len
param_id_0,192,701,len
param_id_0,192,711,len
param_id_0,224,812,len
param_id_0,224,812,len
param_id_0,224,811,len
param_id_0,224,802,len
param_id_0,224,812,len
param_id_0,256,962,len
param_id_0,256,972,len
param_id_0,256,912,len
param_id_0,256,911,len
param_id_0,256,922,len
param_id_0,288,1082,len
param_id_0,288,1072,len
param_id_0,288,1082,len
param_id_0,288,1022,len
param_id_0,288,1022,len
param_id_0,320,1122,len
param_id_0,320,1122,len
param_id_0,320,1182,len
param_id_0,320,1122,len
param_id_0,320,1122,len
param_id_0,352,1283,len
param_id_0,352,1283,len
param_id_0,352,1222,len
param_id_0,352,1222,len
param_id_0,352,1233,len
param_id_0,384,1333,len
param_id_0,384,1332,len
param_id_0,384,1393,len
param_id_0,384,1332,len
param_id_0,384,1333,len
param_id_0,416,1492,len
param_id_0,416,1493,len
param_id_0,416,1442,len
param_id_0,416,1442,len
param_id_0,416,1442,len
param_id_0,448,1543,len
param_id_0,448,1543,len
param_id_0,448,1543,len
param_id_0,448,1543,len
param_id_0,448,1593,len
param_id_0,480,1643,len
param_id_0,480,1703,len
param_id_0,480,1693,len
param_id_0,480,1703,len
param_id_0,480,1653,len
