param,value,time,tag
param_id_0,0,371,len_sq
param_id_0,0,30,len_sq
param_id_0,0,40,len_sq
param_id_0,0,40,len_sq
param_id_0,0,50,len_sq
param_id_0,32,181,len_sq
param_id_0,32,160,len_sq
param_id_0,32,150,len_sq
param_id_0,32,151,len_sq
param_id_0,32,150,len_sq
param_id_0,64,251,len_sq
param_id_0,64,251,len_sq
param_id_0,64,251,len_sq
param_id_0,64,250,len_sq
param_id_0,64,250,len_sq
param_id_0,96,360,len_sq
param_id_0,96,360,len_sq
param_id_0,96,361,len_sq
param_id_0,96,360,len_sq
param_id_0,96,361,len_sq
param_id_0,128,471,len_sq
param_id_0,128,461,len_sq
param_id_0,128,461,len_sq
param_id_0,128,461,len_sq
param_id_0,128,461,len_sq
param_id_0,160,571,len_sq
param_id_0,160,571,len_sq
param_id_0,160,561,len_sq
param_id_0,160,571,len_sq
param_id_0,160,561,len_sq
param_id_0,192,672,len_sq
param_id_0,192,672,len_sq
param_id_0,192,671,len_sq
param_id_0,192,671,len_sq
param_id_0,192,672,len_sq
param_id_0,224,772,len_sq
param_id_0,224,781,len_sq
param_id_0,224,781,len_sq
param_id_0,224,781,len_sq
param_id_0,224,771,len_sq
param_id_0,256,882,len_sq
param_id_0,256,882,len_sq
param_id_0,256,892,len_sq
param_id_0,256,882,len_sq
param_id_0,256,881,len_sq
param_id_0,288,992,len_sq
param_id_0,288,991,len_sq
param_id_0,288,992,len_sq
param_id_0,288,992,len_sq
param_id_0,288,982,len_sq
param_id_0,320,1092,len_sq
param_id_0,320,1092,len_sq
param_id_0,320,1092,len_sq
param_id_0,320,1103,len_sq
param_id_0,320,1092,len_sq
param_id_0,352,1202,len_sq
param_id_0,352,1202,len_sq
param_id_0,352,1203,len_sq
param_id_0,352,1192,len_sq
param_id_0,352,1192,len_sq
param_id_0,384,1313,len_sq
param_id_0,384,1303,len_sq
param_id_0,384,1303,len_sq
param_id_0,384,1302,len_sq
param_id_0,384,1303,len_sq
param_id_0,416,1412,len_sq
param_id_0,416,1402,len_sq
param_id_0,416,1413,len_sq
param_id_0,416,1413,len_sq
param_id_0,416,1403,len_sq
param_id_0,448,1513,len_sq
param_id_0,448,1513,len_sq
param_id_0,448,1513,len_sq
param_id_0,448,1523,len_sq
param_id_0,448,1513,len_sq
param_id_0,480,1623,len_sq
param_id_0,480,1613,len_sq
param_id_0,480,1623,len_sq
param_id_0,480,1624,len_sq
param_id_0,480,1623,len_sq
