param,value,time,tag
param_id_0,1,200,length
param_id_0,1,100,length
param_id_0,1,90,length
param_id_0,1,50,length
param_id_0,1,111,length
param_id_0,1,231,length
param_id_0,1,210,length
param_id_0,1,120,length
param_id_0,1,60,length
param_id_0,1,110,length
param_id_0,9,50,length
param_id_0,9,100,length
param_id_0,9,100,length
param_id_0,9,70,length
param_id_0,9,91,length
param_id_0,9,101,length
param_id_0,9,50,length
param_id_0,9,100,length
param_id_0,9,100,length
param_id_0,9,491,length
param_id_0,17,80,length
param_id_0,17,100,length
param_id_0,17,60,length
param_id_0,17,61,length
param_id_0,17,180,length
param_id_0,17,40,length
param_id_0,17,70,length
param_id_0,17,101,length
param_id_0,17,181,length
param_id_0,17,40,length
param_id_0,25,60,length
param_id_0,25,40,length
param_id_0,25,60,length
param_id_0,25,50,length
param_id_0,25,50,length
param_id_0,25,90,length
param_id_0,25,81,length
param_id_0,25,170,length
param_id_0,25,240,length
param_id_0,25,80,length
param_id_0,33,200,length
param_id_0,33,111,length
param_id_0,33,290,length
param_id_0,33,70,length
param_id_0,33,140,length
param_id_0,33,80,length
param_id_0,33,50,length
param_id_0,33,131,length
param_id_0,33,160,length
param_id_0,33,60,length
param_id_0,41,50,length
param_id_0,41,41,length
param_id_0,41,40,length
param_id_0,41,50,length
param_id_0,41,50,length
param_id_0,41,40,length
param_id_0,41,50,length
param_id_0,41,50,length
param_id_0,41,100,length
param_id_0,41,100,length
param_id_0,49,50,length
param_id_0,49,60,length
param_id_0,49,60,length
param_id_0,49,51,length
param_id_0,49,50,length
param_id_0,49,50,length
param_id_0,49,50,length
param_id_0,49,100,length
param_id_0,49,50,length
param_id_0,49,101,length
param_id_0,57,90,length
param_id_0,57,100,length
param_id_0,57,50,length
param_id_0,57,70,length
param_id_0,57,50,length
param_id_0,57,61,length
param_id_0,57,60,length
param_id_0,57,110,length
param_id_0,57,50,length
param_id_0,57,40,length
param_id_0,65,50,length
param_id_0,65,90,length
param_id_0,65,90,length
param_id_0,65,50,length
param_id_0,65,100,length
param_id_0,65,100,length
param_id_0,65,50,length
param_id_0,65,60,length
param_id_0,65,61,length
param_id_0,65,50,length
param_id_0,73,60,length
param_id_0,73,201,length
param_id_0,73,101,length
param_id_0,73,100,length
param_id_0,73,90,length
param_id_0,73,91,length
param_id_0,73,50,length
param_id_0,73,50,length
param_id_0,73,50,length
param_id_0,73,40,length
param_id_0,81,101,length
param_id_0,81,100,length
param_id_0,81,101,length
param_id_0,81,60,length
param_id_0,81,60,length
param_id_0,81,100,length
param_id_0,81,60,length
param_id_0,81,100,length
param_id_0,81,51,length
param_id_0,81,40,length
param_id_0,89,100,length
param_id_0,89,60,length
param_id_0,89,260,length
param_id_0,89,180,length
param_id_0,89,71,length
param_id_0,89,50,length
param_id_0,89,130,length
param_id_0,89,100,length
param_id_0,89,90,length
param_id_0,89,50,length
param_id_0,97,60,length
param_id_0,97,60,length
param_id_0,97,100,length
param_id_0,97,50,length
param_id_0,97,111,length
param_id_0,97,50,length
param_id_0,97,241,length
param_id_0,97,101,length
param_id_0,97,100,length
param_id_0,97,90,length
param_id_0,105,120,length
param_id_0,105,100,length
param_id_0,105,90,length
param_id_0,105,90,length
param_id_0,105,70,length
param_id_0,105,90,length
param_id_0,105,121,length
param_id_0,105,60,length
param_id_0,105,100,length
param_id_0,105,100,length
param_id_0,113,80,length
param_id_0,113,51,length
param_id_0,113,40,length
param_id_0,113,50,length
param_id_0,113,140,length
param_id_0,113,50,length
param_id_0,113,50,length
param_id_0,113,50,length
param_id_0,113,90,length
param_id_0,113,60,length
param_id_0,121,251,length
param_id_0,121,50,length
param_id_0,121,60,length
param_id_0,121,71,length
param_id_0,121,40,length
param_id_0,121,171,length
param_id_0,121,50,length
param_id_0,121,101,length
param_id_0,121,50,length
param_id_0,121,50,length
param_id_0,129,50,length
param_id_0,129,90,length
param_id_0,129,70,length
param_id_0,129,200,length
param_id_0,129,50,length
param_id_0,129,50,length
param_id_0,129,50,length
param_id_0,129,120,length
param_id_0,129,51,length
param_id_0,129,61,length
param_id_0,137,60,length
param_id_0,137,60,length
param_id_0,137,60,length
param_id_0,137,50,length
param_id_0,137,100,length
param_id_0,137,100,length
param_id_0,137,80,length
param_id_0,137,90,length
param_id_0,137,90,length
param_id_0,137,51,length
param_id_0,145,40,length
param_id_0,145,140,length
param_id_0,145,71,length
param_id_0,145,80,length
param_id_0,145,100,length
param_id_0,145,60,length
param_id_0,145,90,length
param_id_0,145,90,length
param_id_0,145,60,length
param_id_0,145,90,length
param_id_0,153,60,length
param_id_0,153,100,length
param_id_0,153,51,length
param_id_0,153,120,length
param_id_0,153,100,length
param_id_0,153,100,length
param_id_0,153,50,length
param_id_0,153,100,length
param_id_0,153,50,length
param_id_0,153,50,length
param_id_0,161,40,length
