param,value,time,tag
param_id_0,0,391,lerp
param_id_0,0,130,lerp
param_id_0,0,130,lerp
param_id_0,0,130,lerp
param_id_0,0,150,lerp
param_id_0,32,251,lerp
param_id_0,32,250,lerp
param_id_0,32,250,lerp
param_id_0,32,230,lerp
param_id_0,32,220,lerp
param_id_0,64,310,lerp
param_id_0,64,331,lerp
param_id_0,64,311,lerp
param_id_0,64,300,lerp
param_id_0,64,320,lerp
param_id_0,96,421,lerp
param_id_0,96,401,lerp
param_id_0,96,401,lerp
param_id_0,96,401,lerp
param_id_0,96,411,lerp
param_id_0,128,491,lerp
param_id_0,128,491,lerp
param_id_0,128,501,lerp
param_id_0,128,491,lerp
param_id_0,128,491,lerp
param_id_0,160,581,lerp
param_id_0,160,581,lerp
param_id_0,160,572,lerp
param_id_0,160,581,lerp
param_id_0,160,581,lerp
param_id_0,192,671,lerp
param_id_0,192,661,lerp
param_id_0,192,672,lerp
param_id_0,192,662,lerp
param_id_0,192,661,lerp
param_id_0,224,752,lerp
param_id_0,224,702,lerp
param_id_0,224,752,lerp
param_id_0,224,741,lerp
param_id_0,224,752,lerp
param_id_0,256,842,lerp
param_id_0,256,831,lerp
param_id_0,256,842,lerp
param_id_0,256,842,lerp
param_id_0,256,831,lerp
param_id_0,288,922,lerp
param_id_0,288,922,lerp
param_id_0,288,921,lerp
param_id_0,288,932,lerp
param_id_0,288,922,lerp
param_id_0,320,1002,lerp
param_id_0,320,1012,lerp
param_id_0,320,1012,lerp
param_id_0,320,1012,lerp
param_id_0,320,1012,lerp
param_id_0,352,1092,lerp
param_id_0,352,1092,lerp
param_id_0,352,1092,lerp
param_id_0,352,1092,lerp
param_id_0,352,1102,lerp
param_id_0,384,1182,lerp
param_id_0,384,1182,lerp
param_id_0,384,1182,lerp
param_id_0,384,1182,lerp
param_id_0,384,1182,lerp
param_id_0,416,1263,lerp
param_id_0,416,1263,lerp
param_id_0,416,1273,lerp
param_id_0,416,1262,lerp
param_id_0,416,1272,lerp
param_id_0,448,1352,lerp
param_id_0,448,1373,lerp
param_id_0,448,1353,lerp
param_id_0,448,1353,lerp
param_id_0,448,1352,lerp
param_id_0,480,1443,lerp
param_id_0,480,1443,lerp
param_id_0,480,1443,lerp
param_id_0,480,1443,lerp
param_id_0,480,1433,lerp
