param,value,time,tag
param_id_0,1,671,lmsfir
param_id_0,1,321,lmsfir
param_id_0,1,310,lmsfir
param_id_0,1,350,lmsfir
param_id_0,1,331,lmsfir
param_id_0,1,611,lmsfir
param_id_0,1,642,lmsfir
param_id_0,1,330,lmsfir
param_id_0,1,992,lmsfir
param_id_0,1,450,lmsfir
param_id_0,9,551,lmsfir
param_id_0,9,581,lmsfir
param_id_0,9,350,lmsfir
param_id_0,9,481,lmsfir
param_id_0,9,371,lmsfir
param_id_0,9,341,lmsfir
param_id_0,9,390,lmsfir
param_id_0,9,381,lmsfir
param_id_0,9,381,lmsfir
param_id_0,9,370,lmsfir
param_id_0,17,671,lmsfir
param_id_0,17,622,lmsfir
param_id_0,17,401,lmsfir
param_id_0,17,481,lmsfir
param_id_0,17,491,lmsfir
param_id_0,17,701,lmsfir
param_id_0,17,391,lmsfir
param_id_0,17,501,lmsfir
param_id_0,17,281,lmsfir
param_id_0,17,350,lmsfir
param_id_0,25,1263,lmsfir
param_id_0,25,431,lmsfir
param_id_0,25,371,lmsfir
param_id_0,25,1072,lmsfir
param_id_0,25,471,lmsfir
param_id_0,25,681,lmsfir
param_id_0,25,531,lmsfir
param_id_0,25,551,lmsfir
param_id_0,25,331,lmsfir
param_id_0,25,400,lmsfir
param_id_0,33,391,lmsfir
param_id_0,33,491,lmsfir
param_id_0,33,461,lmsfir
param_id_0,33,391,lmsfir
param_id_0,33,901,lmsfir
param_id_0,33,821,lmsfir
param_id_0,33,691,lmsfir
param_id_0,33,581,lmsfir
param_id_0,33,712,lmsfir
param_id_0,33,712,lmsfir
param_id_0,41,742,lmsfir
param_id_0,41,602,lmsfir
param_id_0,41,751,lmsfir
param_id_0,41,961,lmsfir
param_id_0,41,1172,lmsfir
param_id_0,41,621,lmsfir
param_id_0,41,591,lmsfir
param_id_0,41,601,lmsfir
param_id_0,41,531,lmsfir
param_id_0,41,611,lmsfir
param_id_0,49,551,lmsfir
param_id_0,49,641,lmsfir
param_id_0,49,621,lmsfir
param_id_0,49,852,lmsfir
param_id_0,49,641,lmsfir
param_id_0,49,661,lmsfir
param_id_0,49,571,lmsfir
param_id_0,49,552,lmsfir
param_id_0,49,751,lmsfir
param_id_0,49,1192,lmsfir
param_id_0,57,802,lmsfir
param_id_0,57,741,lmsfir
param_id_0,57,1303,lmsfir
param_id_0,57,1142,lmsfir
param_id_0,57,1092,lmsfir
param_id_0,57,731,lmsfir
param_id_0,57,681,lmsfir
param_id_0,57,631,lmsfir
param_id_0,57,791,lmsfir
param_id_0,57,2224,lmsfir
param_id_0,65,1703,lmsfir
param_id_0,65,1012,lmsfir
param_id_0,65,1363,lmsfir
param_id_0,65,671,lmsfir
param_id_0,65,1293,lmsfir
param_id_0,65,731,lmsfir
param_id_0,65,822,lmsfir
param_id_0,65,872,lmsfir
