param,value,time,tag
param_id_0,0,16491,lpc
param_id_0,0,15770,lpc
param_id_0,0,15580,lpc
param_id_0,0,15520,lpc
param_id_0,0,15540,lpc
param_id_0,32,17202,lpc
param_id_0,32,17072,lpc
param_id_0,32,16992,lpc
param_id_0,32,17052,lpc
param_id_0,32,16992,lpc
param_id_0,64,21972,lpc
param_id_0,64,21901,lpc
param_id_0,64,21901,lpc
param_id_0,64,21861,lpc
param_id_0,64,21862,lpc
param_id_0,96,28985,lpc
param_id_0,96,28985,lpc
param_id_0,96,28915,lpc
param_id_0,96,28985,lpc
param_id_0,96,29015,lpc
param_id_0,128,35648,lpc
param_id_0,128,35627,lpc
param_id_0,128,35617,lpc
param_id_0,128,35638,lpc
param_id_0,128,35718,lpc
param_id_0,160,42441,lpc
param_id_0,160,42280,lpc
param_id_0,160,42240,lpc
param_id_0,160,42291,lpc
param_id_0,160,42260,lpc
param_id_0,192,49063,lpc
param_id_0,192,49113,lpc
param_id_0,192,49114,lpc
param_id_0,192,49153,lpc
param_id_0,192,49103,lpc
param_id_0,224,55936,lpc
param_id_0,224,55897,lpc
param_id_0,224,55907,lpc
param_id_0,224,55916,lpc
param_id_0,224,55946,lpc
param_id_0,256,62739,lpc
param_id_0,256,62709,lpc
param_id_0,256,62709,lpc
param_id_0,256,62679,lpc
param_id_0,256,62769,lpc
param_id_0,288,69522,lpc
param_id_0,288,69593,lpc
param_id_0,288,69522,lpc
param_id_0,288,69562,lpc
param_id_0,288,69532,lpc
param_id_0,320,76405,lpc
param_id_0,320,76375,lpc
param_id_0,320,76375,lpc
param_id_0,320,76305,lpc
param_id_0,320,76345,lpc
param_id_0,352,83138,lpc
param_id_0,352,83098,lpc
param_id_0,352,83088,lpc
param_id_0,352,83199,lpc
param_id_0,352,83188,lpc
param_id_0,384,90071,lpc
param_id_0,384,89941,lpc
param_id_0,384,89941,lpc
param_id_0,384,89941,lpc
param_id_0,384,89911,lpc
param_id_0,416,96804,lpc
param_id_0,416,96734,lpc
param_id_0,416,96774,lpc
param_id_0,416,96814,lpc
param_id_0,416,96744,lpc
param_id_0,448,103607,lpc
param_id_0,448,103577,lpc
param_id_0,448,103607,lpc
param_id_0,448,103577,lpc
param_id_0,448,103557,lpc
param_id_0,480,110430,lpc
param_id_0,480,110389,lpc
param_id_0,480,110390,lpc
param_id_0,480,110390,lpc
param_id_0,480,110410,lpc
param_id_1,0,22061,lpc
param_id_1,0,21892,lpc
param_id_1,0,21841,lpc
param_id_1,0,21842,lpc
param_id_1,0,21862,lpc
param_id_1,32,21871,lpc
param_id_1,32,21852,lpc
param_id_1,32,21852,lpc
param_id_1,32,21862,lpc
param_id_1,32,21892,lpc
param_id_1,64,21842,lpc
param_id_1,64,21852,lpc
param_id_1,64,21851,lpc
param_id_1,64,21852,lpc
param_id_1,64,21841,lpc
param_id_1,96,21861,lpc
param_id_1,96,21872,lpc
param_id_1,96,21832,lpc
param_id_1,96,21861,lpc
param_id_1,96,21831,lpc
param_id_1,128,21922,lpc
param_id_1,128,21892,lpc
param_id_1,128,21892,lpc
param_id_1,128,21861,lpc
param_id_1,128,21852,lpc
param_id_1,160,21872,lpc
param_id_1,160,21881,lpc
param_id_1,160,21872,lpc
param_id_1,160,21841,lpc
param_id_1,160,21932,lpc
param_id_1,192,21832,lpc
param_id_1,192,21881,lpc
param_id_1,192,21822,lpc
param_id_1,192,21841,lpc
param_id_1,192,21862,lpc
param_id_1,224,21842,lpc
param_id_1,224,21842,lpc
param_id_1,224,21811,lpc
param_id_1,224,21822,lpc
param_id_1,224,21882,lpc
param_id_1,256,21841,lpc
param_id_1,256,21891,lpc
param_id_1,256,21842,lpc
param_id_1,256,21821,lpc
param_id_1,256,24526,lpc
param_id_1,288,21861,lpc
param_id_1,288,21882,lpc
param_id_1,288,21842,lpc
param_id_1,288,21851,lpc
param_id_1,288,21882,lpc
param_id_1,320,21841,lpc
param_id_1,320,21832,lpc
param_id_1,320,21862,lpc
param_id_1,320,21861,lpc
param_id_1,320,21831,lpc
param_id_1,352,21842,lpc
param_id_1,352,21882,lpc
param_id_1,352,21812,lpc
param_id_1,352,21832,lpc
param_id_1,352,21912,lpc
param_id_1,384,21842,lpc
param_id_1,384,21851,lpc
param_id_1,384,21841,lpc
param_id_1,384,21821,lpc
param_id_1,384,21811,lpc
param_id_1,416,21872,lpc
param_id_1,416,21882,lpc
param_id_1,416,21872,lpc
param_id_1,416,21962,lpc
param_id_1,416,21951,lpc
param_id_1,448,21841,lpc
param_id_1,448,21851,lpc
param_id_1,448,21842,lpc
param_id_1,448,21862,lpc
param_id_1,448,21821,lpc
param_id_1,480,21832,lpc
param_id_1,480,21852,lpc
param_id_1,480,21812,lpc
