param,value,time,tag
param_id_0,1,1223,mat1x3
param_id_0,1,250,mat1x3
param_id_0,1,191,mat1x3
param_id_0,1,531,mat1x3
param_id_0,1,281,mat1x3
param_id_0,1,181,mat1x3
param_id_0,1,191,mat1x3
param_id_0,1,180,mat1x3
param_id_0,1,280,mat1x3
param_id_0,1,281,mat1x3
param_id_0,9,812,mat1x3
param_id_0,9,702,mat1x3
param_id_0,9,501,mat1x3
param_id_0,9,501,mat1x3
param_id_0,9,481,mat1x3
param_id_0,9,501,mat1x3
param_id_0,9,511,mat1x3
param_id_0,9,481,mat1x3
param_id_0,9,521,mat1x3
param_id_0,9,471,mat1x3
param_id_0,17,1322,mat1x3
param_id_0,17,1413,mat1x3
param_id_0,17,1383,mat1x3
param_id_0,17,1393,mat1x3
param_id_0,17,1323,mat1x3
param_id_0,17,2104,mat1x3
param_id_0,17,1342,mat1x3
param_id_0,17,1363,mat1x3
param_id_0,17,1423,mat1x3
param_id_0,17,1473,mat1x3
param_id_0,25,2755,mat1x3
param_id_0,25,2736,mat1x3
param_id_0,25,2765,mat1x3
param_id_0,25,2806,mat1x3
param_id_0,25,2966,mat1x3
param_id_0,25,2615,mat1x3
param_id_0,25,2906,mat1x3
param_id_0,25,2635,mat1x3
param_id_0,25,2645,mat1x3
param_id_0,25,3106,mat1x3
param_id_0,33,4589,mat1x3
param_id_0,33,4829,mat1x3
param_id_0,33,4388,mat1x3
param_id_0,33,4568,mat1x3
param_id_0,33,4409,mat1x3
param_id_0,33,4388,mat1x3
param_id_0,33,4408,mat1x3
param_id_0,33,4448,mat1x3
param_id_0,33,4649,mat1x3
param_id_0,33,4208,mat1x3
param_id_0,41,6953,mat1x3
param_id_0,41,7043,mat1x3
param_id_0,41,6593,mat1x3
param_id_0,41,6793,mat1x3
param_id_0,41,6623,mat1x3
param_id_0,41,6652,mat1x3
param_id_0,41,6522,mat1x3
param_id_0,41,6512,mat1x3
param_id_0,41,6512,mat1x3
param_id_0,41,6542,mat1x3
param_id_0,49,9668,mat1x3
param_id_0,49,9418,mat1x3
param_id_0,49,9438,mat1x3
param_id_0,49,9478,mat1x3
param_id_0,49,9227,mat1x3
param_id_0,49,9077,mat1x3
param_id_0,49,9508,mat1x3
param_id_0,49,9468,mat1x3
param_id_0,49,9228,mat1x3
param_id_0,49,9308,mat1x3
param_id_0,57,12443,mat1x3
param_id_0,57,12594,mat1x3
param_id_0,57,12614,mat1x3
param_id_0,57,12544,mat1x3
param_id_0,57,12453,mat1x3
param_id_0,57,12513,mat1x3
param_id_0,57,12744,mat1x3
param_id_0,57,12344,mat1x3
param_id_0,57,12533,mat1x3
param_id_0,57,12434,mat1x3
param_id_0,65,16531,mat1x3
param_id_0,65,16691,mat1x3
param_id_0,65,16371,mat1x3
param_id_0,65,16270,mat1x3
param_id_0,65,16210,mat1x3
param_id_0,65,16131,mat1x3
param_id_0,65,15790,mat1x3
param_id_0,65,16381,mat1x3
param_id_0,65,16171,mat1x3
param_id_0,65,16231,mat1x3
param_id_0,73,20499,mat1x3
param_id_0,73,20449,mat1x3
param_id_0,73,20418,mat1x3
param_id_0,73,20579,mat1x3
param_id_0,73,20329,mat1x3
param_id_0,73,20449,mat1x3
param_id_0,73,20689,mat1x3
param_id_0,73,20158,mat1x3
