param,value,time,tag
m,0,1413,matadd
m,0,430,matadd
m,0,562,matadd
m,0,691,matadd
m,0,691,matadd
m,0,571,matadd
m,0,681,matadd
m,0,581,matadd
m,0,711,matadd
m,0,561,matadd
m,8,2184,matadd
m,8,2264,matadd
m,8,2274,matadd
m,8,2595,matadd
m,8,2174,matadd
m,8,2435,matadd
m,8,2244,matadd
m,8,2314,matadd
m,8,2424,matadd
m,8,1994,matadd
m,16,3988,matadd
m,16,3877,matadd
m,16,3477,matadd
m,16,3497,matadd
m,16,3627,matadd
m,16,3647,matadd
m,16,3586,matadd
m,16,3336,matadd
m,16,3757,matadd
m,16,3517,matadd
m,24,5100,matadd
m,24,4869,matadd
m,24,4619,matadd
m,24,4729,matadd
m,24,4759,matadd
m,24,4799,matadd
m,24,5381,matadd
m,24,4599,matadd
m,24,4869,matadd
m,24,4739,matadd
m,32,16261,matadd
m,32,5981,matadd
m,32,6292,matadd
m,32,6572,matadd
m,32,6793,matadd
m,32,7274,matadd
m,32,6312,matadd
m,32,5952,matadd
m,32,6152,matadd
m,32,6081,matadd
m,40,7684,matadd
m,40,7234,matadd
m,40,7694,matadd
m,40,7033,matadd
m,40,7565,matadd
m,40,7464,matadd
m,40,7244,matadd
m,40,6953,matadd
m,40,7675,matadd
m,40,7203,matadd
m,48,9287,matadd
m,48,8807,matadd
m,48,8406,matadd
m,48,9368,matadd
m,48,10039,matadd
m,48,8406,matadd
m,48,9418,matadd
m,48,8246,matadd
m,48,8727,matadd
m,48,8677,matadd
m,56,10249,matadd
m,56,10259,matadd
m,56,10490,matadd
m,56,9338,matadd
m,56,9789,matadd
m,56,10059,matadd
m,56,10510,matadd
m,56,10090,matadd
m,56,10300,matadd
m,56,10110,matadd
m,64,11632,matadd
m,64,11331,matadd
m,64,10901,matadd
m,64,11612,matadd
m,64,11302,matadd
m,64,11381,matadd
m,64,11632,matadd
m,64,10851,matadd
m,64,11762,matadd
m,64,10730,matadd
m,72,12474,matadd
m,72,12784,matadd
m,72,12594,matadd
m,72,12994,matadd
m,72,13015,matadd
m,72,12774,matadd
m,72,12674,matadd
m,72,12594,matadd
m,72,12333,matadd
m,72,12955,matadd
m,80,13876,matadd
m,80,14207,matadd
m,80,14448,matadd
m,80,14698,matadd
m,80,14467,matadd
m,80,13385,matadd
m,80,13977,matadd
m,80,14067,matadd
m,80,14949,matadd
m,80,15630,matadd
m,88,15169,matadd
m,88,16541,matadd
m,88,15720,matadd
m,88,15519,matadd
m,88,15128,matadd
m,88,15320,matadd
m,88,15530,matadd
m,88,14939,matadd
m,88,14908,matadd
m,88,15320,matadd
m,96,17333,matadd
m,96,16882,matadd
m,96,16432,matadd
m,96,16261,matadd
m,96,15890,matadd
m,96,16582,matadd
m,96,16361,matadd
m,96,16151,matadd
m,96,16822,matadd
m,96,17102,matadd
m,104,18075,matadd
m,104,18024,matadd
m,104,17924,matadd
m,104,18054,matadd
m,104,18435,matadd
m,104,18114,matadd
m,104,17022,matadd
m,104,17914,matadd
m,104,16792,matadd
m,104,17934,matadd
m,112,19878,matadd
m,112,18515,matadd
m,112,19156,matadd
m,112,18535,matadd
m,112,18915,matadd
m,112,18435,matadd
m,112,19137,matadd
m,112,19477,matadd
m,112,18926,matadd
m,112,19507,matadd
m,120,20048,matadd
m,120,21932,matadd
m,120,21722,matadd
m,120,19447,matadd
m,120,21642,matadd
m,120,19988,matadd
m,120,20729,matadd
m,120,20720,matadd
m,120,20479,matadd
m,120,20298,matadd
m,128,23024,matadd
m,128,21380,matadd
m,128,21301,matadd
m,128,22593,matadd
m,128,23174,matadd
m,128,21501,matadd
m,128,21832,matadd
m,128,23013,matadd
m,128,21811,matadd
m,128,21932,matadd
m,136,23655,matadd
m,136,22933,matadd
m,136,23144,matadd
m,136,23594,matadd
m,136,23134,matadd
m,136,22373,matadd
m,136,23304,matadd
m,136,23184,matadd
m,136,24286,matadd
m,136,22052,matadd
m,144,24086,matadd
m,144,23444,matadd
m,144,24807,matadd
m,144,24166,matadd
m,144,24236,matadd
m,144,24937,matadd
m,144,23966,matadd
m,144,25068,matadd
m,144,24878,matadd
m,144,24387,matadd
m,152,25579,matadd
m,152,25709,matadd
m,152,25378,matadd
m,152,25258,matadd
m,152,25068,matadd
m,152,25869,matadd
m,152,24807,matadd
m,152,25789,matadd
m,152,25959,matadd
m,152,25479,matadd
m,160,27051,matadd
m,160,26290,matadd
m,160,26560,matadd
m,160,26240,matadd
m,160,27422,matadd
m,160,27933,matadd
m,160,27632,matadd
m,160,26841,matadd
m,160,27342,matadd
m,160,25979,matadd
m,168,29987,matadd
m,168,28104,matadd
m,168,28033,matadd
m,168,28224,matadd
m,168,28444,matadd
m,168,27642,matadd
m,168,28364,matadd
m,168,28915,matadd
m,168,27803,matadd
m,168,29105,matadd
m,176,30287,matadd
m,176,31560,matadd
m,176,30789,matadd
m,176,29866,matadd
m,176,28224,matadd
m,176,30178,matadd
m,176,29026,matadd
m,176,29687,matadd
