param,value,time,tag
val,0,59584,matinit
val,0,56788,matinit
val,0,60946,matinit
val,0,63020,matinit
val,0,61587,matinit
val,0,64874,matinit
val,0,63350,matinit
val,0,62218,matinit
val,0,61287,matinit
val,0,61717,matinit
val,8,61377,matinit
val,8,62889,matinit
val,8,62719,matinit
val,8,63781,matinit
val,8,60666,matinit
val,8,64082,matinit
val,8,62770,matinit
val,8,61657,matinit
val,8,61978,matinit
val,8,73089,matinit
val,16,61978,matinit
val,16,60765,matinit
val,16,65806,matinit
val,16,62729,matinit
val,16,61026,matinit
val,16,61587,matinit
val,16,62870,matinit
val,16,61076,matinit
val,16,65254,matinit
val,16,61667,matinit
val,24,62929,matinit
val,24,61136,matinit
val,24,62559,matinit
val,24,61697,matinit
val,24,61948,matinit
val,24,66987,matinit
val,24,63251,matinit
val,24,64102,matinit
val,24,62609,matinit
val,24,60134,matinit
val,32,62378,matinit
val,32,64633,matinit
val,32,61246,matinit
val,32,61196,matinit
val,32,60364,matinit
val,32,61998,matinit
val,32,65285,matinit
val,32,62679,matinit
val,32,62659,matinit
val,32,63811,matinit
val,40,61026,matinit
val,40,61618,matinit
val,40,65444,matinit
val,40,61778,matinit
val,40,61457,matinit
val,40,66095,matinit
val,40,61888,matinit
val,40,61597,matinit
val,40,61077,matinit
val,40,61587,matinit
val,48,60585,matinit
val,48,64523,matinit
val,48,62809,matinit
val,48,62709,matinit
val,48,64172,matinit
val,48,60215,matinit
val,48,63491,matinit
val,48,63100,matinit
val,48,65344,matinit
val,48,59293,matinit
val,56,61707,matinit
val,56,61768,matinit
val,56,61286,matinit
val,56,63811,matinit
val,56,62118,matinit
val,56,61787,matinit
val,56,61297,matinit
val,56,62188,matinit
val,56,62799,matinit
val,56,62358,matinit
val,64,60455,matinit
val,64,61076,matinit
val,64,64563,matinit
val,64,60906,matinit
val,64,65454,matinit
val,64,66837,matinit
val,64,61176,matinit
val,64,60916,matinit
val,64,65825,matinit
val,64,62108,matinit
val,72,62098,matinit
val,72,65153,matinit
val,72,63962,matinit
val,72,62459,matinit
val,72,61828,matinit
val,72,62028,matinit
val,72,61587,matinit
val,72,59743,matinit
val,72,64292,matinit
val,72,62760,matinit
val,80,65915,matinit
val,80,62649,matinit
val,80,60696,matinit
val,80,63862,matinit
val,80,63471,matinit
val,80,61807,matinit
val,80,64633,matinit
val,80,61296,matinit
val,80,68319,matinit
val,80,63560,matinit
val,88,63581,matinit
val,88,60726,matinit
val,88,64353,matinit
val,88,60115,matinit
val,88,60545,matinit
val,88,64373,matinit
val,88,60485,matinit
val,88,63160,matinit
val,88,61227,matinit
val,88,60846,matinit
val,96,62679,matinit
val,96,67839,matinit
val,96,61937,matinit
val,96,61436,matinit
val,96,61998,matinit
val,96,62529,matinit
val,96,61998,matinit
val,96,62358,matinit
val,96,62859,matinit
val,96,61427,matinit
val,104,62368,matinit
val,104,60626,matinit
val,104,61276,matinit
val,104,61858,matinit
val,104,63791,matinit
val,104,60786,matinit
val,104,64132,matinit
val,104,62859,matinit
val,104,64312,matinit
val,104,64282,matinit
val,112,61156,matinit
val,112,60375,matinit
val,112,62218,matinit
val,112,62048,matinit
val,112,60275,matinit
val,112,66196,matinit
val,112,61327,matinit
val,112,59463,matinit
val,112,62729,matinit
val,112,61126,matinit
val,120,60305,matinit
val,120,61827,matinit
val,120,63801,matinit
val,120,60906,matinit
val,120,61688,matinit
val,120,61507,matinit
val,120,60585,matinit
val,120,62960,matinit
val,120,61988,matinit
val,120,62329,matinit
val,128,64342,matinit
val,128,62078,matinit
val,128,65485,matinit
val,128,62999,matinit
val,128,63761,matinit
val,128,61346,matinit
val,128,61988,matinit
val,128,60274,matinit
val,128,63651,matinit
val,128,61748,matinit
val,136,62889,matinit
val,136,65845,matinit
val,136,63360,matinit
val,136,62379,matinit
val,136,61898,matinit
val,136,62108,matinit
val,136,63160,matinit
val,136,61928,matinit
val,136,61617,matinit
val,136,61908,matinit
val,144,60225,matinit
val,144,62259,matinit
val,144,65264,matinit
val,144,63481,matinit
val,144,62549,matinit
val,144,61006,matinit
val,144,60935,matinit
val,144,60805,matinit
val,144,61026,matinit
val,144,62088,matinit
val,152,61066,matinit
val,152,62008,matinit
val,152,61677,matinit
val,152,60926,matinit
val,152,64653,matinit
val,152,60856,matinit
val,152,60144,matinit
val,152,60414,matinit
val,152,61967,matinit
val,152,62559,matinit
val,160,61006,matinit
val,160,61738,matinit
val,160,60404,matinit
val,160,62318,matinit
val,160,60175,matinit
val,160,65705,matinit
val,160,65154,matinit
val,160,62659,matinit
val,160,64092,matinit
val,160,59322,matinit
val,168,59443,matinit
val,168,62389,matinit
val,168,64342,matinit
val,168,65104,matinit
val,168,61937,matinit
val,168,62218,matinit
val,168,60164,matinit
val,168,62559,matinit
val,168,60745,matinit
val,168,61427,matinit
val,176,62779,matinit
val,176,63301,matinit
