param,value,time,tag
param_id_0,0,361,matmul
param_id_0,0,90,matmul
param_id_0,0,90,matmul
param_id_0,0,80,matmul
param_id_0,0,90,matmul
param_id_0,32,550046,matmul
param_id_0,32,549936,matmul
param_id_0,32,544725,matmul
param_id_0,32,549985,matmul
param_id_0,32,544575,matmul
param_id_0,64,1089029,matmul
param_id_0,64,1088840,matmul
param_id_0,64,1099730,matmul
param_id_0,64,1088860,matmul
param_id_0,64,1089010,matmul
param_id_0,96,1638824,matmul
param_id_0,96,1633745,matmul
param_id_0,96,1644795,matmul
param_id_0,96,1638304,matmul
param_id_0,96,1638665,matmul
param_id_0,128,2188018,matmul
param_id_0,128,2188019,matmul
param_id_0,128,2248714,matmul
param_id_0,128,2224498,matmul
param_id_0,128,2195182,matmul
param_id_0,160,2767109,matmul
param_id_0,160,2732574,matmul
param_id_0,160,2726783,matmul
param_id_0,160,2757070,matmul
param_id_0,160,2729357,matmul
param_id_0,192,3278181,matmul
param_id_0,192,3277820,matmul
param_id_0,192,3338345,matmul
param_id_0,192,3340299,matmul
param_id_0,192,3373301,matmul
param_id_0,224,3910643,matmul
param_id_0,224,3922795,matmul
param_id_0,224,3941130,matmul
param_id_0,224,3916464,matmul
param_id_0,224,3912266,matmul
param_id_0,256,4435690,matmul
param_id_0,256,4469996,matmul
param_id_0,256,4452503,matmul
param_id_0,256,4378993,matmul
param_id_0,256,4468041,matmul
param_id_0,288,4919911,matmul
param_id_0,288,4967441,matmul
param_id_0,288,4916084,matmul
param_id_0,288,5035140,matmul
param_id_0,288,5007518,matmul
param_id_0,320,5464555,matmul
param_id_0,320,5446913,matmul
param_id_0,320,5452634,matmul
param_id_0,320,5454186,matmul
param_id_0,320,5452152,matmul
param_id_0,352,6005965,matmul
param_id_0,352,5997790,matmul
param_id_0,352,6009452,matmul
param_id_0,352,5997158,matmul
param_id_0,352,6001366,matmul
param_id_0,384,6554267,matmul
param_id_0,384,6693672,matmul
param_id_0,384,6656402,matmul
param_id_0,384,6742745,matmul
param_id_0,384,6748125,matmul
param_id_0,416,7209742,matmul
param_id_0,416,7339600,matmul
param_id_0,416,7155249,matmul
param_id_0,416,7198842,matmul
param_id_0,416,7090035,matmul
param_id_0,448,7639290,matmul
param_id_0,448,7639239,matmul
param_id_0,448,7642886,matmul
param_id_0,448,7634550,matmul
param_id_0,448,7639140,matmul
param_id_0,480,8179887,matmul
param_id_0,480,8255020,matmul
param_id_0,480,8178805,matmul
param_id_0,480,8179025,matmul
param_id_0,480,8179757,matmul
param_id_1,0,7464,matmul
param_id_1,0,7374,matmul
param_id_1,0,7364,matmul
param_id_1,0,7945,matmul
param_id_1,0,7364,matmul
param_id_1,32,548322,matmul
param_id_1,32,551688,matmul
param_id_1,32,548423,matmul
param_id_1,32,553772,matmul
param_id_1,32,548382,matmul
param_id_1,64,1089150,matmul
param_id_1,64,1097315,matmul
param_id_1,64,1094059,matmul
param_id_1,64,1089000,matmul
param_id_1,64,1092196,matmul
param_id_1,96,1690663,matmul
param_id_1,96,1689842,matmul
param_id_1,96,1682067,matmul
param_id_1,96,1683910,matmul
param_id_1,96,1681736,matmul
param_id_1,128,2206524,matmul
param_id_1,128,2203398,matmul
param_id_1,128,2211683,matmul
param_id_1,128,2220650,matmul
param_id_1,128,2200843,matmul
param_id_1,160,2745809,matmul
param_id_1,160,2739617,matmul
param_id_1,160,2771758,matmul
param_id_1,160,2769654,matmul
param_id_1,160,2745779,matmul
param_id_1,192,3286146,matmul
param_id_1,192,3306715,matmul
param_id_1,192,3278260,matmul
param_id_1,192,3281506,matmul
param_id_1,192,3281196,matmul
param_id_1,224,3822324,matmul
param_id_1,224,3826993,matmul
param_id_1,224,3827415,matmul
param_id_1,224,3824068,matmul
param_id_1,224,3859656,matmul
param_id_1,256,4372651,matmul
param_id_1,256,4362841,matmul
param_id_1,256,4370436,matmul
param_id_1,256,4373272,matmul
param_id_1,256,4372601,matmul
param_id_1,288,4913108,matmul
param_id_1,288,4902958,matmul
param_id_1,288,4947533,matmul
param_id_1,288,4908309,matmul
param_id_1,288,4903871,matmul
param_id_1,320,5446913,matmul
param_id_1,320,5443526,matmul
param_id_1,320,5450038,matmul
param_id_1,320,5451279,matmul
param_id_1,320,5459457,matmul
param_id_1,352,5992750,matmul
param_id_1,352,6093070,matmul
param_id_1,352,6184705,matmul
param_id_1,352,6227475,matmul
param_id_1,352,6191889,matmul
param_id_1,384,6577772,matmul
param_id_1,384,6527777,matmul
param_id_1,384,6535271,matmul
param_id_1,384,6537245,matmul
param_id_1,384,6536173,matmul
param_id_1,416,7071270,matmul
param_id_1,416,7073695,matmul
param_id_1,416,7082801,matmul
param_id_1,416,7078654,matmul
param_id_1,416,7197469,matmul
param_id_1,448,7617848,matmul
param_id_1,448,7612828,matmul
param_id_1,448,7817218,matmul
param_id_1,448,7746523,matmul
param_id_1,448,7650330,matmul
param_id_1,480,8157764,matmul
param_id_1,480,8158196,matmul
param_id_1,480,8153407,matmul
param_id_1,480,8154589,matmul
param_id_1,480,8163446,matmul
param_id_2,0,351,matmul
param_id_2,0,180,matmul
param_id_2,0,170,matmul
param_id_2,0,161,matmul
param_id_2,0,170,matmul
param_id_2,32,544915,matmul
param_id_2,32,549425,matmul
param_id_2,32,544755,matmul
