param,value,time,tag
param_id_0,0,441,matrix1
param_id_0,0,281,matrix1
param_id_0,0,241,matrix1
param_id_0,0,251,matrix1
param_id_0,0,250,matrix1
param_id_0,32,412755,matrix1
param_id_0,32,412544,matrix1
param_id_0,32,426801,matrix1
param_id_0,32,416922,matrix1
param_id_0,32,448622,matrix1
param_id_0,64,927222,matrix1
param_id_0,64,878861,matrix1
param_id_0,64,937963,matrix1
param_id_0,64,883188,matrix1
param_id_0,64,868230,matrix1
param_id_0,96,1302726,matrix1
param_id_0,96,1317314,matrix1
param_id_0,96,1382086,matrix1
param_id_0,96,1395041,matrix1
param_id_0,96,1383640,matrix1
param_id_0,128,1850978,matrix1
param_id_0,128,1773721,matrix1
param_id_0,128,1739156,matrix1
param_id_0,128,1851899,matrix1
param_id_0,128,1749375,matrix1
param_id_0,160,2319349,matrix1
param_id_0,160,2325520,matrix1
param_id_0,160,2327614,matrix1
param_id_0,160,2313527,matrix1
param_id_0,160,2187157,matrix1
param_id_0,192,2777739,matrix1
param_id_0,192,2803649,matrix1
param_id_0,192,2789231,matrix1
param_id_0,192,2777779,matrix1
param_id_0,192,2777989,matrix1
param_id_0,224,3249386,matrix1
param_id_0,224,3054415,matrix1
param_id_0,224,3054997,matrix1
param_id_0,224,3045658,matrix1
param_id_0,224,3254004,matrix1
param_id_0,256,3495393,matrix1
param_id_0,256,3488380,matrix1
param_id_0,256,3510812,matrix1
param_id_0,256,3482710,matrix1
param_id_0,256,3512096,matrix1
param_id_0,288,3924458,matrix1
param_id_0,288,4178952,matrix1
param_id_0,288,3926724,matrix1
param_id_0,288,3942262,matrix1
param_id_0,288,4168202,matrix1
param_id_0,320,4642433,matrix1
param_id_0,320,4360888,matrix1
param_id_0,320,4362492,matrix1
param_id_0,320,4359155,matrix1
param_id_0,320,4638005,matrix1
param_id_0,352,5100865,matrix1
param_id_0,352,4792219,matrix1
param_id_0,352,4797818,matrix1
param_id_0,352,4783993,matrix1
param_id_0,352,4785665,matrix1
param_id_0,384,5236362,matrix1
param_id_0,384,5222516,matrix1
param_id_0,384,5327374,matrix1
param_id_0,384,5591738,matrix1
param_id_0,384,5695676,matrix1
param_id_0,416,6094383,matrix1
param_id_0,416,6020874,matrix1
param_id_0,416,5685285,matrix1
param_id_0,416,5662261,matrix1
param_id_0,416,6036643,matrix1
param_id_0,448,6096778,matrix1
param_id_0,448,6121745,matrix1
param_id_0,448,6088221,matrix1
param_id_0,448,6511836,matrix1
param_id_0,448,6099793,matrix1
param_id_0,480,6537325,matrix1
param_id_0,480,6971310,matrix1
param_id_0,480,6969967,matrix1
param_id_0,480,6978102,matrix1
param_id_0,480,6982561,matrix1
param_id_1,0,10650,matrix1
param_id_1,0,11071,matrix1
param_id_1,0,13866,matrix1
param_id_1,0,13856,matrix1
param_id_1,0,11010,matrix1
param_id_1,32,402064,matrix1
param_id_1,32,434957,matrix1
param_id_1,32,431189,matrix1
param_id_1,32,508647,matrix1
param_id_1,32,441529,matrix1
param_id_1,64,905631,matrix1
param_id_1,64,868682,matrix1
param_id_1,64,945377,matrix1
param_id_1,64,892406,matrix1
param_id_1,64,866937,matrix1
param_id_1,96,1471998,matrix1
param_id_1,96,1389100,matrix1
param_id_1,96,1425169,matrix1
param_id_1,96,1330890,matrix1
param_id_1,96,1462780,matrix1
param_id_1,128,1945468,matrix1
param_id_1,128,1941860,matrix1
param_id_1,128,1982528,matrix1
param_id_1,128,1959885,matrix1
param_id_1,128,1904079,matrix1
param_id_1,160,2519038,matrix1
param_id_1,160,2352150,matrix1
param_id_1,160,2353694,matrix1
param_id_1,160,2286906,matrix1
param_id_1,160,2259865,matrix1
param_id_1,192,2758993,matrix1
param_id_1,192,2813938,matrix1
param_id_1,192,3035469,matrix1
param_id_1,192,2716153,matrix1
param_id_1,192,2684072,matrix1
param_id_1,224,3515311,matrix1
param_id_1,224,3185024,matrix1
param_id_1,224,3189332,matrix1
param_id_1,224,3130480,matrix1
param_id_1,224,3519800,matrix1
param_id_1,256,3665045,matrix1
param_id_1,256,4075456,matrix1
param_id_1,256,4078522,matrix1
param_id_1,256,4182359,matrix1
param_id_1,256,3762632,matrix1
param_id_1,288,4209311,matrix1
param_id_1,288,4777229,matrix1
param_id_1,288,4329979,matrix1
param_id_1,288,4742163,matrix1
param_id_1,288,4770708,matrix1
param_id_1,320,4762301,matrix1
param_id_1,320,5411455,matrix1
param_id_1,320,4749848,matrix1
param_id_1,320,4630921,matrix1
param_id_1,320,4644808,matrix1
param_id_1,352,5081448,matrix1
param_id_1,352,5985556,matrix1
param_id_1,352,5968975,matrix1
param_id_1,352,5947303,matrix1
param_id_1,352,5997368,matrix1
param_id_1,384,5754708,matrix1
param_id_1,384,5771750,matrix1
param_id_1,384,5538567,matrix1
param_id_1,384,6566010,matrix1
param_id_1,384,5757963,matrix1
param_id_1,416,7149328,matrix1
param_id_1,416,7235632,matrix1
param_id_1,416,6621255,matrix1
param_id_1,416,6097018,matrix1
param_id_1,416,6086699,matrix1
param_id_1,448,7720183,matrix1
param_id_1,448,6720864,matrix1
param_id_1,448,6557283,matrix1
param_id_1,448,6451892,matrix1
param_id_1,448,7694905,matrix1
param_id_1,480,8220645,matrix1
param_id_1,480,7174226,matrix1
param_id_1,480,7101026,matrix1
param_id_1,480,7246864,matrix1
param_id_1,480,8422367,matrix1
param_id_2,0,150,matrix1
param_id_2,0,90,matrix1
param_id_2,0,111,matrix1
param_id_2,0,91,matrix1
param_id_2,0,80,matrix1
param_id_2,32,425649,matrix1
param_id_2,32,428485,matrix1
param_id_2,32,415910,matrix1
param_id_2,32,439225,matrix1
param_id_2,32,468541,matrix1
param_id_2,64,931060,matrix1
param_id_2,64,921531,matrix1
param_id_2,64,938664,matrix1
param_id_2,64,880423,matrix1
param_id_2,64,868260,matrix1
param_id_2,96,1376676,matrix1
param_id_2,96,1401954,matrix1
param_id_2,96,1331421,matrix1
param_id_2,96,1305762,matrix1
param_id_2,96,1402596,matrix1
param_id_2,128,1858673,matrix1
param_id_2,128,1857680,matrix1
param_id_2,128,1857540,matrix1
param_id_2,128,1865516,matrix1
param_id_2,128,1746499,matrix1
param_id_2,160,2173711,matrix1
param_id_2,160,2315431,matrix1
param_id_2,160,2305923,matrix1
param_id_2,160,2200342,matrix1
param_id_2,160,2188299,matrix1
param_id_2,192,2786455,matrix1
param_id_2,192,2618467,matrix1
param_id_2,192,2617505,matrix1
param_id_2,192,2784663,matrix1
param_id_2,192,2789121,matrix1
param_id_2,224,3050938,matrix1
param_id_2,224,3052331,matrix1
param_id_2,224,3045649,matrix1
param_id_2,224,3238545,matrix1
param_id_2,224,3247241,matrix1
param_id_2,256,3488079,matrix1
param_id_2,256,3719400,matrix1
param_id_2,256,3727484,matrix1
param_id_2,256,3488390,matrix1
param_id_2,256,3479002,matrix1
param_id_2,288,4174634,matrix1
param_id_2,288,3943766,matrix1
param_id_2,288,3906645,matrix1
param_id_2,288,3906855,matrix1
param_id_2,288,3951450,matrix1
param_id_2,320,4345820,matrix1
param_id_2,320,4342934,matrix1
param_id_2,320,4346281,matrix1
param_id_2,320,4347212,matrix1
param_id_2,320,4342493,matrix1
param_id_2,352,5100984,matrix1
param_id_2,352,4812366,matrix1
param_id_2,352,4782921,matrix1
param_id_2,352,4794843,matrix1
param_id_2,352,4789262,matrix1
param_id_2,384,5614280,matrix1
param_id_2,384,5404010,matrix1
param_id_2,384,5746993,matrix1
param_id_2,384,5355899,matrix1
param_id_2,384,5758285,matrix1
param_id_2,416,5856350,matrix1
param_id_2,416,5664536,matrix1
param_id_2,416,5649898,matrix1
param_id_2,416,6043316,matrix1
param_id_2,416,5665168,matrix1
param_id_2,448,6092430,matrix1
param_id_2,448,6087830,matrix1
param_id_2,448,6083733,matrix1
param_id_2,448,6586528,matrix1
param_id_2,448,6318489,matrix1
param_id_2,480,6740942,matrix1
param_id_2,480,7213369,matrix1
param_id_2,480,7151142,matrix1
param_id_2,480,7168544,matrix1
param_id_2,480,7170850,matrix1
