param,value,time,tag
param_id_0,1,160285,matscal
param_id_0,1,160185,matscal
param_id_0,1,165785,matscal
param_id_0,1,159413,matscal
param_id_0,1,161046,matscal
param_id_0,1,159583,matscal
param_id_0,1,159553,matscal
param_id_0,1,160575,matscal
param_id_0,1,160535,matscal
param_id_0,1,165334,matscal
param_id_0,9,165464,matscal
param_id_0,9,161107,matscal
param_id_0,9,160555,matscal
param_id_0,9,159333,matscal
param_id_0,9,159263,matscal
param_id_0,9,160545,matscal
param_id_0,9,159383,matscal
param_id_0,9,161336,matscal
param_id_0,9,160785,matscal
param_id_0,9,159333,matscal
param_id_0,17,159443,matscal
param_id_0,17,159373,matscal
param_id_0,17,160856,matscal
param_id_0,17,159302,matscal
param_id_0,17,160586,matscal
param_id_0,17,161006,matscal
param_id_0,17,159203,matscal
param_id_0,17,159402,matscal
param_id_0,17,159293,matscal
param_id_0,17,159123,matscal
param_id_0,25,160475,matscal
param_id_0,25,160685,matscal
param_id_0,25,160936,matscal
param_id_0,25,159383,matscal
param_id_0,25,160725,matscal
param_id_0,25,159283,matscal
param_id_0,25,161416,matscal
param_id_0,25,160244,matscal
param_id_0,25,160655,matscal
param_id_0,25,159243,matscal
param_id_0,33,159793,matscal
param_id_0,33,159303,matscal
param_id_0,33,160775,matscal
param_id_0,33,160354,matscal
param_id_0,33,159173,matscal
param_id_0,33,160605,matscal
param_id_0,33,160926,matscal
param_id_0,33,163310,matscal
param_id_0,33,160595,matscal
param_id_0,33,160636,matscal
param_id_0,41,160174,matscal
param_id_0,41,159233,matscal
param_id_0,41,160616,matscal
param_id_0,41,160505,matscal
param_id_0,41,161467,matscal
param_id_0,41,166136,matscal
param_id_0,41,161687,matscal
param_id_0,41,160665,matscal
param_id_0,41,159102,matscal
param_id_0,41,160385,matscal
param_id_0,49,161246,matscal
param_id_0,49,161587,matscal
param_id_0,49,160135,matscal
param_id_0,49,165795,matscal
param_id_0,49,160756,matscal
param_id_0,49,159413,matscal
param_id_0,49,160615,matscal
param_id_0,49,159363,matscal
param_id_0,49,159463,matscal
param_id_0,49,161106,matscal
param_id_0,57,159232,matscal
param_id_0,57,164242,matscal
param_id_0,57,159153,matscal
param_id_0,57,159343,matscal
param_id_0,57,160996,matscal
param_id_0,57,160816,matscal
param_id_0,57,159123,matscal
param_id_0,57,160565,matscal
param_id_0,57,160315,matscal
param_id_0,57,161086,matscal
param_id_0,65,160675,matscal
param_id_0,65,159243,matscal
param_id_0,65,159293,matscal
param_id_0,65,159664,matscal
param_id_0,65,159353,matscal
param_id_0,65,161156,matscal
param_id_0,65,160435,matscal
param_id_0,65,160525,matscal
param_id_0,65,159343,matscal
param_id_0,65,159804,matscal
param_id_0,73,160816,matscal
param_id_0,73,159193,matscal
param_id_0,73,165385,matscal
param_id_0,73,161006,matscal
param_id_0,73,159403,matscal
param_id_0,73,160094,matscal
param_id_0,73,159413,matscal
param_id_0,73,159383,matscal
param_id_0,73,160535,matscal
param_id_0,73,160455,matscal
param_id_0,81,160856,matscal
param_id_0,81,160966,matscal
param_id_0,81,161487,matscal
param_id_0,81,160815,matscal
param_id_0,81,159113,matscal
param_id_0,81,159393,matscal
param_id_0,81,160775,matscal
param_id_0,81,160635,matscal
