param,value,time,tag
m,0,922,matsub
m,0,471,matsub
m,0,961,matsub
m,0,611,matsub
m,0,340,matsub
m,0,702,matsub
m,0,701,matsub
m,0,1423,matsub
m,0,2294,matsub
m,0,691,matsub
m,8,2345,matsub
m,8,2014,matsub
m,8,2205,matsub
m,8,2214,matsub
m,8,2194,matsub
m,8,2925,matsub
m,8,3346,matsub
m,8,1744,matsub
m,8,1883,matsub
m,8,3016,matsub
m,16,4007,matsub
m,16,3366,matsub
m,16,3416,matsub
m,16,3386,matsub
m,16,3987,matsub
m,16,4558,matsub
m,16,5029,matsub
m,16,3387,matsub
m,16,3667,matsub
m,16,3247,matsub
m,24,5521,matsub
m,24,5851,matsub
m,24,4178,matsub
m,24,4178,matsub
m,24,4248,matsub
m,24,4188,matsub
m,24,4789,matsub
m,24,5320,matsub
m,24,5871,matsub
m,24,5040,matsub
m,32,6352,matsub
m,32,7124,matsub
m,32,6432,matsub
m,32,6973,matsub
m,32,5881,matsub
m,32,7033,matsub
m,32,5630,matsub
m,32,7595,matsub
m,32,5992,matsub
m,32,6222,matsub
m,40,8456,matsub
m,40,7745,matsub
m,40,7635,matsub
m,40,8075,matsub
m,40,8466,matsub
m,40,7674,matsub
m,40,8376,matsub
m,40,8486,matsub
m,40,7624,matsub
m,40,7405,matsub
m,48,9188,matsub
m,48,8716,matsub
m,48,9728,matsub
m,48,9047,matsub
m,48,9508,matsub
m,48,8617,matsub
m,48,9789,matsub
m,48,8737,matsub
m,48,9137,matsub
m,48,8687,matsub
m,56,10830,matsub
m,56,10450,matsub
m,56,10650,matsub
m,56,10169,matsub
m,56,11422,matsub
m,56,9799,matsub
m,56,10510,matsub
m,56,10820,matsub
m,56,10160,matsub
m,56,9868,matsub
m,64,12945,matsub
m,64,11603,matsub
m,64,11222,matsub
m,64,11572,matsub
m,64,11291,matsub
m,64,12544,matsub
m,64,12664,matsub
m,64,11893,matsub
m,64,11572,matsub
m,64,11031,matsub
m,72,13266,matsub
m,72,13346,matsub
m,72,12974,matsub
m,72,13265,matsub
m,72,12404,matsub
m,72,12413,matsub
m,72,12554,matsub
m,72,12403,matsub
m,72,12825,matsub
m,72,12574,matsub
m,80,13375,matsub
m,80,13155,matsub
m,80,14016,matsub
m,80,13536,matsub
m,80,13946,matsub
m,80,13726,matsub
m,80,13295,matsub
m,80,13946,matsub
m,80,14418,matsub
m,80,13986,matsub
m,88,15610,matsub
m,88,14909,matsub
m,88,16411,matsub
m,88,15760,matsub
m,88,14688,matsub
m,88,15640,matsub
m,88,15119,matsub
m,88,15870,matsub
m,88,15880,matsub
m,88,15079,matsub
m,96,16742,matsub
m,96,16441,matsub
m,96,15901,matsub
m,96,17985,matsub
m,96,17173,matsub
m,96,17634,matsub
m,96,16541,matsub
m,96,16711,matsub
m,96,17824,matsub
m,96,18084,matsub
m,104,16892,matsub
m,104,18926,matsub
m,104,18054,matsub
m,104,17453,matsub
m,104,18244,matsub
m,104,18756,matsub
m,104,19527,matsub
m,104,17714,matsub
m,104,17533,matsub
m,104,17663,matsub
m,112,20559,matsub
m,112,20639,matsub
m,112,19898,matsub
m,112,20038,matsub
m,112,21611,matsub
m,112,19877,matsub
m,112,18305,matsub
m,112,18575,matsub
m,112,18815,matsub
m,112,20800,matsub
m,120,21161,matsub
m,120,20950,matsub
m,120,19848,matsub
m,120,22062,matsub
m,120,21521,matsub
m,120,21290,matsub
m,120,22042,matsub
m,120,21341,matsub
m,120,21260,matsub
m,120,21280,matsub
m,128,23033,matsub
m,128,23816,matsub
m,128,22633,matsub
m,128,22012,matsub
m,128,22242,matsub
m,128,23444,matsub
m,128,23154,matsub
m,128,21280,matsub
m,128,21912,matsub
m,128,22082,matsub
m,136,24166,matsub
m,136,23114,matsub
m,136,23595,matsub
m,136,24898,matsub
m,136,24387,matsub
m,136,24156,matsub
m,136,22382,matsub
m,136,22874,matsub
m,136,23434,matsub
m,136,24176,matsub
m,144,24086,matsub
m,144,24667,matsub
m,144,23685,matsub
m,144,25518,matsub
m,144,23845,matsub
m,144,26190,matsub
m,144,24868,matsub
m,144,25188,matsub
m,144,23845,matsub
m,144,24036,matsub
m,152,27332,matsub
m,152,26000,matsub
m,152,27102,matsub
m,152,25879,matsub
m,152,25458,matsub
m,152,25589,matsub
m,152,25799,matsub
m,152,25068,matsub
m,152,26089,matsub
m,152,25689,matsub
m,160,27011,matsub
m,160,27462,matsub
m,160,28094,matsub
m,160,26431,matsub
m,160,29275,matsub
m,160,27582,matsub
m,160,26551,matsub
m,160,26270,matsub
m,160,27593,matsub
m,160,26761,matsub
m,168,28955,matsub
m,168,29897,matsub
m,168,30237,matsub
m,168,30327,matsub
m,168,29256,matsub
m,168,27332,matsub
m,168,28364,matsub
m,168,30197,matsub
m,168,29005,matsub
m,168,29716,matsub
m,176,30889,matsub
m,176,30948,matsub
m,176,29837,matsub
m,176,30067,matsub
m,176,32552,matsub
m,176,31069,matsub
m,176,29927,matsub
m,176,29987,matsub
m,176,29056,matsub
m,176,30308,matsub
m,184,31240,matsub
m,184,32612,matsub
m,184,32402,matsub
m,184,31860,matsub
m,184,31049,matsub
m,184,31760,matsub
m,184,32001,matsub
m,184,31289,matsub
m,184,30117,matsub
m,184,33353,matsub
m,192,32382,matsub
m,192,32652,matsub
m,192,31690,matsub
m,192,32772,matsub
m,192,32181,matsub
m,192,31711,matsub
m,192,32622,matsub
m,192,32201,matsub
m,192,32312,matsub
m,192,33544,matsub
m,200,34306,matsub
m,200,37732,matsub
m,200,33062,matsub
m,200,32872,matsub
m,200,34295,matsub
m,200,33364,matsub
m,200,35638,matsub
m,200,33734,matsub
m,200,33704,matsub
m,200,33674,matsub
m,208,34806,matsub
m,208,35107,matsub
m,208,36198,matsub
m,208,37080,matsub
m,208,34065,matsub
m,208,35618,matsub
m,208,35037,matsub
m,208,36088,matsub
m,208,36098,matsub
m,208,36359,matsub
m,216,36149,matsub
m,216,36609,matsub
m,216,36299,matsub
m,216,39395,matsub
m,216,36199,matsub
m,216,37241,matsub
m,216,35738,matsub
m,216,37562,matsub
m,216,35968,matsub
m,216,35307,matsub
m,224,39785,matsub
m,224,39205,matsub
m,224,37752,matsub
m,224,37471,matsub
m,224,39836,matsub
m,224,39895,matsub
m,224,38493,matsub
m,224,37461,matsub
m,224,37131,matsub
m,224,40177,matsub
m,232,38433,matsub
m,232,39345,matsub
m,232,40417,matsub
m,232,39074,matsub
m,232,41699,matsub
m,232,39365,matsub
m,232,40967,matsub
m,232,37722,matsub
m,232,40177,matsub
m,232,38904,matsub
m,240,40006,matsub
m,240,40306,matsub
m,240,42701,matsub
m,240,41710,matsub
m,240,40377,matsub
m,240,41088,matsub
m,240,40597,matsub
m,240,40446,matsub
m,240,39776,matsub
m,240,41720,matsub
m,248,44755,matsub
m,248,43042,matsub
m,248,42811,matsub
m,248,42280,matsub
m,248,40898,matsub
m,248,42090,matsub
m,248,43864,matsub
m,248,42110,matsub
m,248,41920,matsub
m,248,42070,matsub
m,256,41920,matsub
m,256,46648,matsub
m,256,41939,matsub
m,256,45145,matsub
m,256,43573,matsub
m,256,43212,matsub
m,256,44244,matsub
m,256,44675,matsub
m,256,43793,matsub
m,256,43874,matsub
m,264,44063,matsub
m,264,46178,matsub
m,264,45967,matsub
m,264,43984,matsub
m,264,42621,matsub
m,264,44395,matsub
m,264,46048,matsub
m,264,45387,matsub
m,264,44415,matsub
m,264,47300,matsub
m,272,47861,matsub
m,272,46548,matsub
m,272,47431,matsub
m,272,47250,matsub
m,272,45807,matsub
m,272,45858,matsub
m,272,44595,matsub
m,272,45616,matsub
m,272,47330,matsub
m,272,46468,matsub
m,280,46839,matsub
m,280,47250,matsub
m,280,47090,matsub
m,280,47070,matsub
m,280,48191,matsub
m,280,48182,matsub
m,280,47130,matsub
m,280,48222,matsub
m,280,45867,matsub
m,280,49264,matsub
m,288,48332,matsub
m,288,48803,matsub
m,288,48442,matsub
m,288,48362,matsub
m,288,47891,matsub
m,288,49554,matsub
m,288,48593,matsub
m,288,46919,matsub
m,288,50065,matsub
m,288,49173,matsub
m,296,58011,matsub
m,296,51077,matsub
m,296,49725,matsub
m,296,50176,matsub
m,296,50135,matsub
m,296,50436,matsub
m,296,50997,matsub
m,296,51758,matsub
m,296,49524,matsub
m,296,48673,matsub
m,304,51678,matsub
m,304,49904,matsub
m,304,52150,matsub
m,304,50005,matsub
m,304,52981,matsub
