param,value,time,tag
param_id_0,0,361,max
param_id_0,0,51,max
param_id_0,0,60,max
param_id_0,0,50,max
param_id_0,0,50,max
param_id_0,32,191,max
param_id_0,32,150,max
param_id_0,32,120,max
param_id_0,32,101,max
param_id_0,32,100,max
param_id_0,64,160,max
param_id_0,64,160,max
param_id_0,64,161,max
param_id_0,64,150,max
param_id_0,64,150,max
param_id_0,96,180,max
param_id_0,96,190,max
param_id_0,96,200,max
param_id_0,96,201,max
param_id_0,96,190,max
param_id_0,128,251,max
param_id_0,128,251,max
param_id_0,128,241,max
param_id_0,128,241,max
param_id_0,128,240,max
param_id_0,160,280,max
param_id_0,160,341,max
param_id_0,160,270,max
param_id_0,160,291,max
param_id_0,160,291,max
param_id_0,192,321,max
param_id_0,192,321,max
param_id_0,192,310,max
param_id_0,192,320,max
param_id_0,192,321,max
param_id_0,224,370,max
param_id_0,224,381,max
param_id_0,224,350,max
param_id_0,224,371,max
param_id_0,224,360,max
param_id_0,256,411,max
param_id_0,256,410,max
param_id_0,256,421,max
param_id_0,256,411,max
param_id_0,256,421,max
param_id_0,288,451,max
param_id_0,288,451,max
param_id_0,288,450,max
param_id_0,288,451,max
param_id_0,288,471,max
param_id_0,320,491,max
param_id_0,320,501,max
param_id_0,320,481,max
param_id_0,320,501,max
param_id_0,320,501,max
param_id_0,352,531,max
param_id_0,352,531,max
param_id_0,352,541,max
param_id_0,352,541,max
param_id_0,352,521,max
param_id_0,384,592,max
param_id_0,384,581,max
param_id_0,384,722,max
param_id_0,384,732,max
param_id_0,384,732,max
param_id_0,416,631,max
param_id_0,416,621,max
param_id_0,416,631,max
param_id_0,416,631,max
param_id_0,416,621,max
param_id_0,448,652,max
param_id_0,448,671,max
param_id_0,448,671,max
param_id_0,448,831,max
param_id_0,448,841,max
param_id_0,480,892,max
param_id_0,480,721,max
param_id_0,480,712,max
param_id_0,480,711,max
param_id_0,480,712,max
