param,value,time,tag
n,0,712,max_elt
n,0,662,max_elt
n,0,461,max_elt
n,0,391,max_elt
n,0,571,max_elt
n,0,470,max_elt
n,0,471,max_elt
n,0,461,max_elt
n,0,450,max_elt
n,0,251,max_elt
n,8,1042,max_elt
n,8,862,max_elt
n,8,892,max_elt
n,8,822,max_elt
n,8,822,max_elt
n,8,912,max_elt
n,8,822,max_elt
n,8,891,max_elt
n,8,832,max_elt
n,8,832,max_elt
n,16,1052,max_elt
n,16,741,max_elt
n,16,872,max_elt
n,16,891,max_elt
n,16,842,max_elt
n,16,882,max_elt
n,16,852,max_elt
n,16,621,max_elt
n,16,861,max_elt
n,16,761,max_elt
n,24,881,max_elt
n,24,772,max_elt
n,24,981,max_elt
n,24,1052,max_elt
n,24,1213,max_elt
n,24,651,max_elt
n,24,851,max_elt
n,24,1002,max_elt
n,24,892,max_elt
n,24,881,max_elt
n,32,812,max_elt
n,32,1273,max_elt
n,32,982,max_elt
n,32,1113,max_elt
n,32,1052,max_elt
n,32,702,max_elt
n,32,882,max_elt
n,32,741,max_elt
n,32,992,max_elt
n,32,1172,max_elt
n,40,1002,max_elt
n,40,921,max_elt
n,40,1032,max_elt
n,40,1623,max_elt
n,40,922,max_elt
n,40,1022,max_elt
n,40,711,max_elt
n,40,691,max_elt
n,40,802,max_elt
n,40,902,max_elt
n,48,1062,max_elt
n,48,1122,max_elt
n,48,942,max_elt
n,48,1032,max_elt
n,48,932,max_elt
n,48,681,max_elt
n,48,862,max_elt
n,48,912,max_elt
n,48,1162,max_elt
n,48,802,max_elt
n,56,1102,max_elt
n,56,841,max_elt
n,56,1303,max_elt
n,56,852,max_elt
n,56,1082,max_elt
n,56,1052,max_elt
n,56,1052,max_elt
n,56,1222,max_elt
n,56,1093,max_elt
n,56,791,max_elt
n,64,1463,max_elt
n,64,1162,max_elt
n,64,1213,max_elt
n,64,1032,max_elt
n,64,1353,max_elt
n,64,982,max_elt
n,64,1092,max_elt
n,64,942,max_elt
n,64,1062,max_elt
n,64,982,max_elt
n,72,1022,max_elt
n,72,1002,max_elt
n,72,1102,max_elt
n,72,1132,max_elt
n,72,1223,max_elt
n,72,992,max_elt
n,72,892,max_elt
n,72,1022,max_elt
n,72,1122,max_elt
n,72,1022,max_elt
n,80,1032,max_elt
n,80,911,max_elt
n,80,1182,max_elt
n,80,1203,max_elt
n,80,1553,max_elt
n,80,1072,max_elt
n,80,1002,max_elt
n,80,1073,max_elt
n,80,1012,max_elt
n,80,1132,max_elt
n,88,972,max_elt
n,88,1093,max_elt
n,88,1212,max_elt
n,88,1092,max_elt
n,88,1012,max_elt
n,88,1192,max_elt
n,88,1242,max_elt
n,88,1112,max_elt
n,88,1232,max_elt
n,88,1093,max_elt
n,96,1052,max_elt
n,96,1032,max_elt
n,96,1152,max_elt
n,96,1072,max_elt
n,96,1092,max_elt
n,96,952,max_elt
n,96,1363,max_elt
n,96,1042,max_elt
n,96,1272,max_elt
n,96,1212,max_elt
n,104,1192,max_elt
n,104,1142,max_elt
n,104,1243,max_elt
n,104,1022,max_elt
n,104,1203,max_elt
n,104,811,max_elt
n,104,1102,max_elt
n,104,1573,max_elt
n,104,1443,max_elt
n,104,1142,max_elt
n,112,1092,max_elt
n,112,1292,max_elt
n,112,1302,max_elt
n,112,1423,max_elt
n,112,1222,max_elt
n,112,1433,max_elt
n,112,1182,max_elt
n,112,1132,max_elt
n,112,1182,max_elt
n,112,1132,max_elt
n,120,1663,max_elt
n,120,1052,max_elt
n,120,982,max_elt
n,120,1172,max_elt
n,120,1222,max_elt
