param,value,time,tag
param_id_0,0,351,mean
param_id_0,0,40,mean
param_id_0,0,41,mean
param_id_0,0,40,mean
param_id_0,0,40,mean
param_id_0,32,170,mean
param_id_0,32,180,mean
param_id_0,32,161,mean
param_id_0,32,150,mean
param_id_0,32,140,mean
param_id_0,64,250,mean
param_id_0,64,250,mean
param_id_0,64,251,mean
param_id_0,64,260,mean
param_id_0,64,250,mean
param_id_0,96,361,mean
param_id_0,96,361,mean
param_id_0,96,361,mean
param_id_0,96,361,mean
param_id_0,96,361,mean
param_id_0,128,471,mean
param_id_0,128,461,mean
param_id_0,128,461,mean
param_id_0,128,461,mean
param_id_0,128,461,mean
param_id_0,160,571,mean
param_id_0,160,571,mean
param_id_0,160,571,mean
param_id_0,160,561,mean
param_id_0,160,571,mean
param_id_0,192,672,mean
param_id_0,192,671,mean
param_id_0,192,842,mean
param_id_0,192,842,mean
param_id_0,192,871,mean
param_id_0,224,972,mean
param_id_0,224,972,mean
param_id_0,224,782,mean
param_id_0,224,781,mean
param_id_0,224,782,mean
param_id_0,256,881,mean
param_id_0,256,881,mean
param_id_0,256,881,mean
param_id_0,256,882,mean
param_id_0,256,881,mean
param_id_0,288,982,mean
param_id_0,288,992,mean
param_id_0,288,992,mean
param_id_0,288,992,mean
param_id_0,288,992,mean
param_id_0,320,1092,mean
param_id_0,320,1092,mean
param_id_0,320,1093,mean
param_id_0,320,1093,mean
param_id_0,320,1092,mean
param_id_0,352,1192,mean
param_id_0,352,1192,mean
param_id_0,352,1503,mean
param_id_0,352,1493,mean
param_id_0,352,1513,mean
param_id_0,384,1623,mean
param_id_0,384,1623,mean
param_id_0,384,1303,mean
param_id_0,384,1302,mean
param_id_0,384,1313,mean
param_id_0,416,1413,mean
param_id_0,416,1412,mean
param_id_0,416,1413,mean
param_id_0,416,1413,mean
param_id_0,416,1412,mean
param_id_0,448,1513,mean
param_id_0,448,1523,mean
param_id_0,448,1513,mean
param_id_0,448,1513,mean
param_id_0,448,1513,mean
param_id_0,480,1613,mean
param_id_0,480,1613,mean
param_id_0,480,1623,mean
param_id_0,480,1623,mean
param_id_0,480,1623,mean
