param,value,time,tag
param_id_0,1,752,mem_cpy
param_id_0,1,100,mem_cpy
param_id_0,1,121,mem_cpy
param_id_0,1,110,mem_cpy
param_id_0,1,110,mem_cpy
param_id_0,1,80,mem_cpy
param_id_0,1,80,mem_cpy
param_id_0,1,80,mem_cpy
param_id_0,1,80,mem_cpy
param_id_0,1,120,mem_cpy
param_id_0,9,160,mem_cpy
param_id_0,9,100,mem_cpy
param_id_0,9,80,mem_cpy
param_id_0,9,130,mem_cpy
param_id_0,9,131,mem_cpy
param_id_0,9,80,mem_cpy
param_id_0,9,120,mem_cpy
param_id_0,9,90,mem_cpy
param_id_0,9,120,mem_cpy
param_id_0,9,70,mem_cpy
param_id_0,17,150,mem_cpy
param_id_0,17,150,mem_cpy
param_id_0,17,160,mem_cpy
param_id_0,17,140,mem_cpy
param_id_0,17,110,mem_cpy
param_id_0,17,100,mem_cpy
param_id_0,17,110,mem_cpy
param_id_0,17,110,mem_cpy
param_id_0,17,140,mem_cpy
param_id_0,17,151,mem_cpy
param_id_0,25,130,mem_cpy
param_id_0,25,151,mem_cpy
param_id_0,25,110,mem_cpy
param_id_0,25,120,mem_cpy
param_id_0,25,150,mem_cpy
param_id_0,25,110,mem_cpy
param_id_0,25,110,mem_cpy
param_id_0,25,151,mem_cpy
param_id_0,25,170,mem_cpy
param_id_0,25,121,mem_cpy
param_id_0,33,181,mem_cpy
param_id_0,33,180,mem_cpy
param_id_0,33,170,mem_cpy
param_id_0,33,140,mem_cpy
param_id_0,33,160,mem_cpy
param_id_0,33,150,mem_cpy
param_id_0,33,110,mem_cpy
param_id_0,33,151,mem_cpy
param_id_0,33,121,mem_cpy
param_id_0,33,130,mem_cpy
param_id_0,41,190,mem_cpy
param_id_0,41,160,mem_cpy
param_id_0,41,140,mem_cpy
param_id_0,41,190,mem_cpy
param_id_0,41,140,mem_cpy
param_id_0,41,140,mem_cpy
param_id_0,41,180,mem_cpy
param_id_0,41,180,mem_cpy
param_id_0,41,140,mem_cpy
param_id_0,41,140,mem_cpy
param_id_0,49,200,mem_cpy
param_id_0,49,180,mem_cpy
param_id_0,49,211,mem_cpy
param_id_0,49,190,mem_cpy
param_id_0,49,150,mem_cpy
param_id_0,49,191,mem_cpy
param_id_0,49,151,mem_cpy
param_id_0,49,141,mem_cpy
param_id_0,49,191,mem_cpy
param_id_0,49,160,mem_cpy
param_id_0,57,200,mem_cpy
param_id_0,57,220,mem_cpy
param_id_0,57,180,mem_cpy
param_id_0,57,200,mem_cpy
param_id_0,57,211,mem_cpy
param_id_0,57,161,mem_cpy
param_id_0,57,160,mem_cpy
param_id_0,57,171,mem_cpy
param_id_0,57,160,mem_cpy
param_id_0,57,210,mem_cpy
param_id_0,65,241,mem_cpy
param_id_0,65,210,mem_cpy
param_id_0,65,190,mem_cpy
param_id_0,65,181,mem_cpy
param_id_0,65,181,mem_cpy
param_id_0,65,180,mem_cpy
param_id_0,65,220,mem_cpy
param_id_0,65,180,mem_cpy
param_id_0,65,210,mem_cpy
param_id_0,65,191,mem_cpy
param_id_0,73,201,mem_cpy
param_id_0,73,260,mem_cpy
param_id_0,73,200,mem_cpy
param_id_0,73,201,mem_cpy
param_id_0,73,240,mem_cpy
param_id_0,73,240,mem_cpy
param_id_0,73,180,mem_cpy
param_id_0,73,190,mem_cpy
param_id_0,73,190,mem_cpy
param_id_0,73,180,mem_cpy
param_id_0,81,230,mem_cpy
param_id_0,81,221,mem_cpy
param_id_0,81,221,mem_cpy
param_id_0,81,210,mem_cpy
param_id_0,81,210,mem_cpy
param_id_0,81,241,mem_cpy
param_id_0,81,201,mem_cpy
param_id_0,81,200,mem_cpy
param_id_0,81,240,mem_cpy
param_id_0,81,210,mem_cpy
param_id_0,89,281,mem_cpy
param_id_0,89,230,mem_cpy
param_id_0,89,271,mem_cpy
param_id_0,89,241,mem_cpy
param_id_0,89,230,mem_cpy
param_id_0,89,271,mem_cpy
param_id_0,89,231,mem_cpy
param_id_0,89,230,mem_cpy
param_id_0,89,261,mem_cpy
param_id_0,89,241,mem_cpy
param_id_0,97,250,mem_cpy
param_id_0,97,300,mem_cpy
param_id_0,97,240,mem_cpy
param_id_0,97,250,mem_cpy
param_id_0,97,281,mem_cpy
param_id_0,97,240,mem_cpy
param_id_0,97,240,mem_cpy
param_id_0,97,251,mem_cpy
param_id_0,97,250,mem_cpy
param_id_0,97,290,mem_cpy
param_id_0,105,261,mem_cpy
param_id_0,105,250,mem_cpy
param_id_0,105,310,mem_cpy
param_id_0,105,261,mem_cpy
param_id_0,105,291,mem_cpy
param_id_0,105,250,mem_cpy
param_id_0,105,290,mem_cpy
param_id_0,105,291,mem_cpy
param_id_0,105,261,mem_cpy
param_id_0,105,261,mem_cpy
param_id_0,113,291,mem_cpy
param_id_0,113,271,mem_cpy
param_id_0,113,321,mem_cpy
param_id_0,113,280,mem_cpy
param_id_0,113,311,mem_cpy
param_id_0,113,270,mem_cpy
param_id_0,113,281,mem_cpy
param_id_0,113,320,mem_cpy
param_id_0,113,260,mem_cpy
param_id_0,113,281,mem_cpy
param_id_0,121,321,mem_cpy
param_id_0,121,361,mem_cpy
param_id_0,121,290,mem_cpy
param_id_0,121,281,mem_cpy
param_id_0,121,331,mem_cpy
param_id_0,121,270,mem_cpy
param_id_0,121,291,mem_cpy
param_id_0,121,340,mem_cpy
param_id_0,121,330,mem_cpy
param_id_0,121,320,mem_cpy
param_id_0,129,301,mem_cpy
param_id_0,129,331,mem_cpy
param_id_0,129,321,mem_cpy
param_id_0,129,331,mem_cpy
param_id_0,129,340,mem_cpy
param_id_0,129,321,mem_cpy
param_id_0,129,341,mem_cpy
param_id_0,129,301,mem_cpy
param_id_0,129,340,mem_cpy
param_id_0,129,301,mem_cpy
param_id_0,137,320,mem_cpy
param_id_0,137,340,mem_cpy
param_id_0,137,350,mem_cpy
param_id_0,137,351,mem_cpy
param_id_0,137,340,mem_cpy
param_id_0,137,351,mem_cpy
param_id_0,137,321,mem_cpy
param_id_0,137,310,mem_cpy
param_id_0,137,311,mem_cpy
param_id_0,137,320,mem_cpy
param_id_0,145,330,mem_cpy
param_id_0,145,381,mem_cpy
param_id_0,145,321,mem_cpy
param_id_0,145,380,mem_cpy
param_id_0,145,320,mem_cpy
param_id_0,145,331,mem_cpy
param_id_0,145,341,mem_cpy
param_id_0,145,331,mem_cpy
param_id_0,145,390,mem_cpy
param_id_0,145,321,mem_cpy
param_id_0,153,390,mem_cpy
param_id_0,153,340,mem_cpy
param_id_0,153,381,mem_cpy
param_id_0,153,341,mem_cpy
param_id_0,153,341,mem_cpy
param_id_0,153,340,mem_cpy
param_id_0,153,330,mem_cpy
param_id_0,153,331,mem_cpy
param_id_0,153,351,mem_cpy
param_id_0,153,361,mem_cpy
param_id_0,161,341,mem_cpy
param_id_0,161,341,mem_cpy
param_id_0,161,351,mem_cpy
param_id_0,161,391,mem_cpy
param_id_0,161,350,mem_cpy
param_id_0,161,341,mem_cpy
param_id_0,161,361,mem_cpy
param_id_0,161,341,mem_cpy
param_id_0,161,351,mem_cpy
param_id_0,161,351,mem_cpy
param_id_0,169,371,mem_cpy
param_id_0,169,370,mem_cpy
param_id_0,169,401,mem_cpy
param_id_0,169,361,mem_cpy
param_id_0,169,370,mem_cpy
param_id_0,169,371,mem_cpy
param_id_0,169,411,mem_cpy
param_id_0,169,360,mem_cpy
param_id_0,169,421,mem_cpy
param_id_0,169,361,mem_cpy
param_id_0,177,431,mem_cpy
param_id_0,177,381,mem_cpy
param_id_0,177,381,mem_cpy
param_id_0,177,391,mem_cpy
param_id_0,177,391,mem_cpy
param_id_0,177,381,mem_cpy
param_id_0,177,381,mem_cpy
param_id_0,177,381,mem_cpy
param_id_0,177,381,mem_cpy
param_id_0,177,361,mem_cpy
param_id_0,185,420,mem_cpy
param_id_0,185,381,mem_cpy
param_id_0,185,401,mem_cpy
param_id_0,185,381,mem_cpy
param_id_0,185,390,mem_cpy
param_id_0,185,391,mem_cpy
param_id_0,185,401,mem_cpy
param_id_0,185,380,mem_cpy
param_id_0,185,451,mem_cpy
param_id_0,185,391,mem_cpy
param_id_0,193,390,mem_cpy
param_id_0,193,471,mem_cpy
param_id_0,193,411,mem_cpy
param_id_0,193,401,mem_cpy
param_id_0,193,411,mem_cpy
param_id_0,193,410,mem_cpy
param_id_0,193,411,mem_cpy
param_id_0,193,451,mem_cpy
param_id_0,193,410,mem_cpy
param_id_0,193,440,mem_cpy
param_id_0,201,421,mem_cpy
param_id_0,201,471,mem_cpy
param_id_0,201,421,mem_cpy
param_id_0,201,421,mem_cpy
param_id_0,201,421,mem_cpy
param_id_0,201,421,mem_cpy
param_id_0,201,421,mem_cpy
param_id_0,201,431,mem_cpy
param_id_0,201,411,mem_cpy
param_id_0,201,421,mem_cpy
param_id_0,209,451,mem_cpy
param_id_0,209,431,mem_cpy
param_id_0,209,461,mem_cpy
param_id_0,209,481,mem_cpy
param_id_0,209,430,mem_cpy
param_id_0,209,421,mem_cpy
param_id_0,209,431,mem_cpy
param_id_0,209,531,mem_cpy
param_id_0,209,441,mem_cpy
param_id_0,209,451,mem_cpy
param_id_0,217,450,mem_cpy
param_id_0,217,481,mem_cpy
param_id_0,217,481,mem_cpy
param_id_0,217,461,mem_cpy
param_id_0,217,451,mem_cpy
param_id_0,217,450,mem_cpy
param_id_0,217,481,mem_cpy
param_id_0,217,481,mem_cpy
param_id_0,217,441,mem_cpy
param_id_0,217,451,mem_cpy
param_id_0,225,461,mem_cpy
param_id_0,225,491,mem_cpy
param_id_0,225,481,mem_cpy
param_id_0,225,471,mem_cpy
param_id_0,225,461,mem_cpy
param_id_0,225,471,mem_cpy
param_id_0,225,471,mem_cpy
param_id_0,225,441,mem_cpy
param_id_0,225,481,mem_cpy
param_id_0,225,501,mem_cpy
param_id_0,233,510,mem_cpy
param_id_0,233,471,mem_cpy
param_id_0,233,471,mem_cpy
param_id_0,233,481,mem_cpy
param_id_0,233,471,mem_cpy
param_id_0,233,511,mem_cpy
param_id_0,233,511,mem_cpy
param_id_0,233,511,mem_cpy
param_id_0,233,501,mem_cpy
param_id_0,233,501,mem_cpy
param_id_0,241,471,mem_cpy
param_id_0,241,511,mem_cpy
param_id_0,241,491,mem_cpy
param_id_0,241,490,mem_cpy
param_id_0,241,531,mem_cpy
param_id_0,241,481,mem_cpy
param_id_0,241,521,mem_cpy
param_id_0,241,491,mem_cpy
param_id_0,241,511,mem_cpy
param_id_0,241,481,mem_cpy
param_id_0,249,541,mem_cpy
param_id_0,249,541,mem_cpy
param_id_0,249,531,mem_cpy
param_id_0,249,531,mem_cpy
param_id_0,249,541,mem_cpy
param_id_0,249,501,mem_cpy
param_id_0,249,511,mem_cpy
param_id_0,249,551,mem_cpy
