param,value,time,tag
param_id_0,1,381,mem_set
param_id_0,1,70,mem_set
param_id_0,1,60,mem_set
param_id_0,1,70,mem_set
param_id_0,1,70,mem_set
param_id_0,1,70,mem_set
param_id_0,1,61,mem_set
param_id_0,1,60,mem_set
param_id_0,1,60,mem_set
param_id_0,1,90,mem_set
param_id_0,9,110,mem_set
param_id_0,9,80,mem_set
param_id_0,9,70,mem_set
param_id_0,9,80,mem_set
param_id_0,9,70,mem_set
param_id_0,9,80,mem_set
param_id_0,9,110,mem_set
param_id_0,9,70,mem_set
param_id_0,9,70,mem_set
param_id_0,9,80,mem_set
param_id_0,17,110,mem_set
param_id_0,17,101,mem_set
param_id_0,17,110,mem_set
param_id_0,17,100,mem_set
param_id_0,17,130,mem_set
param_id_0,17,70,mem_set
param_id_0,17,80,mem_set
param_id_0,17,91,mem_set
param_id_0,17,131,mem_set
param_id_0,17,110,mem_set
param_id_0,25,110,mem_set
param_id_0,25,91,mem_set
param_id_0,25,100,mem_set
param_id_0,25,120,mem_set
param_id_0,25,91,mem_set
param_id_0,25,101,mem_set
param_id_0,25,100,mem_set
param_id_0,25,100,mem_set
param_id_0,25,90,mem_set
param_id_0,25,90,mem_set
param_id_0,33,110,mem_set
param_id_0,33,101,mem_set
param_id_0,33,111,mem_set
param_id_0,33,100,mem_set
param_id_0,33,100,mem_set
param_id_0,33,130,mem_set
param_id_0,33,110,mem_set
param_id_0,33,110,mem_set
param_id_0,33,110,mem_set
param_id_0,33,110,mem_set
param_id_0,41,130,mem_set
param_id_0,41,140,mem_set
param_id_0,41,120,mem_set
param_id_0,41,120,mem_set
param_id_0,41,120,mem_set
param_id_0,41,121,mem_set
param_id_0,41,120,mem_set
param_id_0,41,121,mem_set
param_id_0,41,110,mem_set
param_id_0,41,120,mem_set
param_id_0,49,150,mem_set
param_id_0,49,150,mem_set
param_id_0,49,140,mem_set
param_id_0,49,130,mem_set
param_id_0,49,131,mem_set
param_id_0,49,130,mem_set
param_id_0,49,130,mem_set
param_id_0,49,130,mem_set
param_id_0,49,130,mem_set
param_id_0,49,120,mem_set
param_id_0,57,150,mem_set
param_id_0,57,150,mem_set
param_id_0,57,141,mem_set
param_id_0,57,131,mem_set
param_id_0,57,130,mem_set
param_id_0,57,130,mem_set
param_id_0,57,140,mem_set
param_id_0,57,151,mem_set
param_id_0,57,141,mem_set
param_id_0,57,140,mem_set
param_id_0,65,160,mem_set
param_id_0,65,161,mem_set
param_id_0,65,160,mem_set
param_id_0,65,140,mem_set
param_id_0,65,140,mem_set
param_id_0,65,130,mem_set
param_id_0,65,140,mem_set
param_id_0,65,131,mem_set
param_id_0,65,141,mem_set
param_id_0,65,141,mem_set
param_id_0,73,170,mem_set
param_id_0,73,170,mem_set
param_id_0,73,160,mem_set
param_id_0,73,140,mem_set
param_id_0,73,140,mem_set
param_id_0,73,160,mem_set
param_id_0,73,161,mem_set
param_id_0,73,160,mem_set
param_id_0,73,200,mem_set
param_id_0,73,160,mem_set
param_id_0,81,170,mem_set
param_id_0,81,181,mem_set
param_id_0,81,180,mem_set
param_id_0,81,161,mem_set
param_id_0,81,171,mem_set
param_id_0,81,170,mem_set
param_id_0,81,170,mem_set
param_id_0,81,170,mem_set
param_id_0,81,171,mem_set
param_id_0,81,171,mem_set
param_id_0,89,200,mem_set
param_id_0,89,200,mem_set
param_id_0,89,181,mem_set
param_id_0,89,181,mem_set
param_id_0,89,181,mem_set
param_id_0,89,181,mem_set
param_id_0,89,180,mem_set
