param,value,time,tag
n,0,1253,member
n,0,350,member
n,0,320,member
n,0,671,member
n,0,1102,member
n,0,331,member
n,0,341,member
n,0,471,member
n,0,330,member
n,0,330,member
n,8,361,member
n,8,471,member
n,8,441,member
n,8,341,member
n,8,441,member
n,8,461,member
n,8,321,member
n,8,321,member
n,8,330,member
n,8,331,member
n,16,360,member
n,16,350,member
n,16,341,member
n,16,340,member
n,16,340,member
n,16,381,member
n,16,451,member
n,16,371,member
n,16,371,member
n,16,421,member
n,24,200,member
n,24,191,member
n,24,441,member
n,24,190,member
n,24,350,member
n,24,180,member
n,24,180,member
n,24,181,member
n,24,170,member
n,24,341,member
n,32,491,member
n,32,351,member
n,32,431,member
n,32,371,member
n,32,451,member
n,32,350,member
n,32,471,member
n,32,591,member
n,32,451,member
n,32,340,member
n,40,481,member
n,40,481,member
n,40,572,member
n,40,812,member
n,40,972,member
n,40,621,member
n,40,351,member
n,40,581,member
n,40,340,member
n,40,711,member
n,48,481,member
n,48,581,member
n,48,882,member
n,48,491,member
n,48,371,member
n,48,360,member
n,48,471,member
n,48,301,member
n,48,551,member
n,48,1242,member
n,56,591,member
n,56,481,member
n,56,360,member
n,56,370,member
n,56,370,member
n,56,461,member
n,56,582,member
n,56,370,member
n,56,561,member
n,56,481,member
n,64,591,member
n,64,411,member
n,64,541,member
n,64,491,member
n,64,321,member
n,64,701,member
n,64,661,member
n,64,511,member
n,64,842,member
n,64,601,member
n,72,491,member
n,72,581,member
n,72,501,member
n,72,551,member
n,72,320,member
n,72,501,member
n,72,230,member
n,72,591,member
n,72,611,member
n,72,331,member
n,80,621,member
n,80,712,member
n,80,601,member
n,80,541,member
n,80,331,member
n,80,311,member
n,80,501,member
n,80,501,member
n,80,491,member
n,80,331,member
n,88,591,member
n,88,1273,member
n,88,721,member
n,88,961,member
n,88,611,member
n,88,661,member
n,88,862,member
n,88,541,member
n,88,622,member
n,88,471,member
n,96,531,member
n,96,511,member
n,96,561,member
n,96,531,member
n,96,341,member
n,96,631,member
n,96,501,member
n,96,632,member
n,96,511,member
n,96,511,member
n,104,621,member
n,104,761,member
n,104,641,member
n,104,682,member
n,104,471,member
n,104,400,member
n,104,351,member
n,104,531,member
n,104,531,member
n,104,360,member
n,112,511,member
n,112,511,member
n,112,631,member
n,112,972,member
n,112,932,member
n,112,892,member
n,112,431,member
n,112,350,member
n,112,531,member
n,112,631,member
n,120,511,member
n,120,781,member
n,120,1173,member
n,120,612,member
n,120,962,member
n,120,521,member
n,120,531,member
n,120,681,member
n,120,542,member
n,120,902,member
n,128,611,member
n,128,531,member
n,128,702,member
n,128,591,member
n,128,631,member
n,128,421,member
n,128,621,member
n,128,441,member
n,128,862,member
n,128,531,member
n,136,441,member
n,136,621,member
n,136,471,member
n,136,621,member
n,136,601,member
n,136,721,member
n,136,741,member
n,136,641,member
n,136,672,member
n,136,982,member
n,144,1092,member
n,144,741,member
n,144,451,member
n,144,752,member
n,144,1212,member
n,144,451,member
n,144,642,member
n,144,982,member
n,144,611,member
n,144,601,member
n,152,370,member
n,152,662,member
n,152,631,member
n,152,1162,member
n,152,641,member
n,152,962,member
n,152,771,member
n,152,631,member
n,152,641,member
n,152,531,member
n,160,661,member
n,160,672,member
n,160,551,member
n,160,811,member
n,160,661,member
n,160,681,member
n,160,641,member
n,160,731,member
n,160,772,member
n,160,782,member
n,168,1062,member
n,168,642,member
n,168,741,member
n,168,641,member
n,168,871,member
n,168,471,member
n,168,651,member
n,168,741,member
n,168,601,member
n,168,972,member
n,176,381,member
n,176,521,member
n,176,711,member
n,176,661,member
n,176,962,member
n,176,682,member
n,176,1283,member
n,176,791,member
n,176,862,member
n,176,551,member
n,184,651,member
n,184,661,member
n,184,380,member
n,184,691,member
n,184,531,member
n,184,651,member
n,184,792,member
n,184,491,member
n,184,711,member
n,184,792,member
n,192,862,member
n,192,751,member
n,192,511,member
n,192,651,member
n,192,701,member
n,192,471,member
n,192,762,member
n,192,661,member
n,192,891,member
n,192,1363,member
n,200,501,member
n,200,761,member
n,200,741,member
n,200,722,member
n,200,971,member
n,200,661,member
n,200,672,member
n,200,491,member
n,200,642,member
n,200,1122,member
n,208,501,member
n,208,741,member
n,208,672,member
n,208,571,member
n,208,651,member
n,208,781,member
n,208,651,member
n,208,551,member
n,208,781,member
n,208,761,member
n,216,691,member
n,216,641,member
n,216,782,member
n,216,681,member
n,216,752,member
n,216,691,member
n,216,511,member
n,216,651,member
n,216,841,member
n,216,1072,member
n,224,661,member
n,224,781,member
n,224,621,member
n,224,882,member
n,224,701,member
n,224,751,member
n,224,471,member
n,224,701,member
n,224,901,member
n,224,771,member
n,232,501,member
n,232,701,member
n,232,701,member
n,232,792,member
n,232,651,member
n,232,921,member
n,232,481,member
n,232,1032,member
n,232,471,member
n,232,781,member
n,240,962,member
n,240,501,member
n,240,982,member
n,240,692,member
n,240,741,member
n,240,1082,member
n,240,441,member
n,240,531,member
n,240,531,member
n,240,782,member
n,248,662,member
n,248,521,member
n,248,531,member
n,248,601,member
n,248,611,member
n,248,751,member
n,248,541,member
n,248,681,member
n,248,701,member
n,248,762,member
n,256,661,member
n,256,811,member
n,256,1172,member
n,256,702,member
n,256,661,member
n,256,792,member
n,256,701,member
n,256,661,member
n,256,521,member
n,256,701,member
n,264,771,member
n,264,541,member
n,264,1022,member
n,264,641,member
n,264,1433,member
n,264,792,member
n,264,902,member
n,264,781,member
n,264,721,member
n,264,521,member
n,272,751,member
n,272,821,member
n,272,531,member
n,272,752,member
n,272,642,member
n,272,762,member
n,272,1232,member
n,272,841,member
n,272,822,member
n,272,521,member
n,280,521,member
n,280,892,member
n,280,662,member
n,280,701,member
n,280,922,member
n,280,711,member
n,280,711,member
n,280,811,member
n,280,1002,member
n,280,882,member
n,288,541,member
n,288,922,member
n,288,521,member
n,288,732,member
n,288,671,member
n,288,721,member
n,288,842,member
n,288,541,member
n,288,861,member
n,288,1322,member
n,296,581,member
n,296,932,member
n,296,1152,member
n,296,731,member
n,296,731,member
n,296,721,member
n,296,1192,member
n,296,731,member
n,296,822,member
n,296,832,member
n,304,892,member
n,304,972,member
n,304,852,member
n,304,842,member
n,304,1152,member
n,304,561,member
n,304,722,member
n,304,802,member
n,304,622,member
n,304,761,member
n,312,1112,member
n,312,721,member
n,312,711,member
n,312,962,member
n,312,1012,member
n,312,1142,member
n,312,922,member
n,312,1343,member
n,312,831,member
n,312,1062,member
n,320,631,member
n,320,771,member
n,320,822,member
n,320,572,member
n,320,861,member
n,320,1022,member
n,320,791,member
n,320,722,member
n,320,732,member
n,320,741,member
n,328,951,member
n,328,722,member
n,328,802,member
n,328,912,member
n,328,711,member
n,328,601,member
n,328,751,member
n,328,751,member
n,328,712,member
n,328,1082,member
n,336,752,member
n,336,751,member
n,336,761,member
n,336,1022,member
n,336,581,member
n,336,722,member
n,336,1002,member
n,336,782,member
n,336,842,member
n,336,811,member
n,344,802,member
n,344,711,member
n,344,821,member
n,344,1573,member
n,344,1132,member
n,344,972,member
n,344,1232,member
n,344,1392,member
n,344,1202,member
n,344,1112,member
n,352,1213,member
n,352,751,member
n,352,821,member
n,352,842,member
n,352,1362,member
n,352,761,member
n,352,681,member
n,352,571,member
n,352,971,member
n,352,721,member
n,360,631,member
n,360,1072,member
n,360,882,member
n,360,771,member
n,360,902,member
n,360,1002,member
n,360,571,member
n,360,852,member
n,360,812,member
n,360,1022,member
n,368,791,member
n,368,832,member
n,368,862,member
n,368,892,member
n,368,732,member
n,368,1002,member
n,368,632,member
n,368,581,member
n,368,811,member
n,368,811,member
n,376,852,member
n,376,1052,member
n,376,711,member
n,376,822,member
n,376,761,member
n,376,721,member
n,376,672,member
n,376,711,member
n,376,942,member
n,376,791,member
n,384,902,member
n,384,1012,member
n,384,831,member
n,384,861,member
n,384,862,member
n,384,751,member
n,384,1092,member
n,384,1333,member
n,384,812,member
n,384,771,member
n,392,1002,member
n,392,871,member
n,392,851,member
n,392,751,member
n,392,641,member
n,392,801,member
n,392,651,member
n,392,922,member
n,392,732,member
n,392,1122,member
n,400,1242,member
n,400,1463,member
n,400,682,member
n,400,581,member
n,400,751,member
n,400,1162,member
n,400,822,member
n,400,741,member
n,400,772,member
n,400,922,member
n,408,761,member
n,408,792,member
n,408,882,member
n,408,842,member
n,408,752,member
n,408,881,member
n,408,811,member
n,408,772,member
n,408,692,member
n,408,901,member
n,416,942,member
n,416,1142,member
n,416,882,member
n,416,772,member
n,416,881,member
n,416,661,member
n,416,962,member
n,416,772,member
n,416,832,member
n,416,881,member
n,424,1092,member
n,424,1143,member
n,424,801,member
n,424,1002,member
n,424,811,member
n,424,781,member
n,424,811,member
n,424,1142,member
n,424,802,member
n,424,1412,member
n,432,892,member
n,432,962,member
n,432,772,member
n,432,611,member
n,432,651,member
n,432,601,member
n,432,1002,member
n,432,801,member
n,432,841,member
n,432,781,member
n,440,772,member
n,440,1142,member
n,440,1052,member
n,440,952,member
n,440,892,member
n,440,922,member
n,440,1092,member
n,440,872,member
n,440,892,member
n,440,811,member
n,448,1093,member
n,448,991,member
n,448,811,member
n,448,1302,member
n,448,1082,member
n,448,732,member
n,448,852,member
n,448,1242,member
n,448,781,member
n,448,1743,member
n,456,741,member
n,456,1232,member
n,456,902,member
n,456,681,member
n,456,831,member
n,456,1012,member
n,456,871,member
n,456,782,member
n,456,922,member
n,456,791,member
n,464,1062,member
n,464,882,member
n,464,922,member
n,464,982,member
n,464,1202,member
n,464,651,member
n,464,782,member
n,464,851,member
n,464,911,member
n,464,662,member
n,472,871,member
n,472,812,member
n,472,1143,member
n,472,801,member
n,472,1012,member
n,472,902,member
n,472,882,member
n,472,812,member
n,472,1433,member
n,472,982,member
n,480,912,member
n,480,682,member
n,480,1102,member
n,480,1152,member
n,480,641,member
n,480,641,member
n,480,902,member
n,480,771,member
n,480,962,member
n,480,781,member
n,488,1022,member
n,488,612,member
n,488,771,member
n,488,681,member
n,488,1062,member
n,488,802,member
n,488,841,member
n,488,992,member
n,488,1062,member
n,488,861,member
n,496,1042,member
n,496,902,member
n,496,882,member
n,496,972,member
n,496,641,member
n,496,1263,member
n,496,902,member
n,496,1082,member
n,496,942,member
n,496,861,member
n,504,1032,member
n,504,862,member
n,504,802,member
n,504,932,member
n,504,701,member
