param,value,time,tag
param_id_0,0,901,merge
param_id_0,0,380,merge
param_id_0,0,380,merge
param_id_0,0,331,merge
param_id_0,0,381,merge
param_id_0,32,862,merge
param_id_0,32,781,merge
param_id_0,32,762,merge
param_id_0,32,712,merge
param_id_0,32,751,merge
param_id_0,64,942,merge
param_id_0,64,882,merge
param_id_0,64,861,merge
param_id_0,64,872,merge
param_id_0,64,882,merge
param_id_0,96,1032,merge
param_id_0,96,1052,merge
param_id_0,96,1052,merge
param_id_0,96,1042,merge
param_id_0,96,1042,merge
param_id_0,128,1203,merge
param_id_0,128,1242,merge
param_id_0,128,1222,merge
param_id_0,128,1242,merge
param_id_0,128,1223,merge
param_id_0,160,1382,merge
param_id_0,160,1383,merge
param_id_0,160,1393,merge
param_id_0,160,1392,merge
param_id_0,160,1382,merge
param_id_0,192,1553,merge
param_id_0,192,1563,merge
param_id_0,192,1573,merge
param_id_0,192,1613,merge
param_id_0,192,1563,merge
param_id_0,224,1754,merge
param_id_0,224,1763,merge
param_id_0,224,1753,merge
param_id_0,224,1753,merge
param_id_0,224,1753,merge
param_id_0,256,1914,merge
param_id_0,256,1913,merge
param_id_0,256,1923,merge
param_id_0,256,1914,merge
param_id_0,256,1923,merge
param_id_0,288,2084,merge
param_id_0,288,2094,merge
param_id_0,288,2084,merge
param_id_0,288,2084,merge
param_id_0,288,2084,merge
param_id_0,320,2284,merge
param_id_0,320,2384,merge
param_id_0,320,2364,merge
param_id_0,320,2355,merge
param_id_0,320,2354,merge
param_id_0,352,2495,merge
param_id_0,352,2494,merge
param_id_0,352,2485,merge
param_id_0,352,2494,merge
param_id_0,352,2475,merge
param_id_0,384,2635,merge
param_id_0,384,2625,merge
param_id_0,384,3277,merge
param_id_0,384,2605,merge
param_id_0,384,2615,merge
param_id_0,416,2755,merge
param_id_0,416,2755,merge
param_id_0,416,3467,merge
param_id_0,416,2756,merge
param_id_0,416,2755,merge
param_id_0,448,2895,merge
param_id_0,448,2896,merge
param_id_0,448,2895,merge
param_id_0,448,2895,merge
param_id_0,448,2895,merge
param_id_0,480,3036,merge
param_id_0,480,3025,merge
param_id_0,480,3026,merge
param_id_0,480,3026,merge
param_id_0,480,3026,merge
param_id_1,0,701,merge
param_id_1,0,431,merge
param_id_1,0,431,merge
param_id_1,0,441,merge
param_id_1,0,380,merge
param_id_1,32,832,merge
param_id_1,32,791,merge
param_id_1,32,782,merge
param_id_1,32,732,merge
param_id_1,32,781,merge
param_id_1,64,912,merge
param_id_1,64,911,merge
param_id_1,64,911,merge
param_id_1,64,912,merge
param_id_1,64,912,merge
param_id_1,96,1112,merge
param_id_1,96,1102,merge
param_id_1,96,1102,merge
param_id_1,96,1112,merge
param_id_1,96,1102,merge
param_id_1,128,1293,merge
param_id_1,128,1263,merge
param_id_1,128,1333,merge
param_id_1,128,1272,merge
param_id_1,128,1272,merge
param_id_1,160,1503,merge
param_id_1,160,1462,merge
param_id_1,160,1453,merge
param_id_1,160,1874,merge
param_id_1,160,1443,merge
param_id_1,192,1623,merge
param_id_1,192,1623,merge
param_id_1,192,1623,merge
param_id_1,192,2034,merge
param_id_1,192,1643,merge
param_id_1,224,1803,merge
param_id_1,224,1803,merge
param_id_1,224,1794,merge
param_id_1,224,1864,merge
param_id_1,224,1813,merge
param_id_1,256,1973,merge
param_id_1,256,1984,merge
param_id_1,256,1984,merge
param_id_1,256,1984,merge
param_id_1,256,1984,merge
param_id_1,288,2154,merge
param_id_1,288,2174,merge
param_id_1,288,2164,merge
param_id_1,288,2695,merge
param_id_1,288,2154,merge
param_id_1,320,2334,merge
param_id_1,320,2334,merge
param_id_1,320,2334,merge
param_id_1,320,2915,merge
param_id_1,320,2344,merge
param_id_1,352,2525,merge
param_id_1,352,2515,merge
param_id_1,352,2505,merge
param_id_1,352,2515,merge
param_id_1,352,2515,merge
param_id_1,384,2695,merge
param_id_1,384,2695,merge
param_id_1,384,2695,merge
param_id_1,384,2695,merge
param_id_1,384,2695,merge
param_id_1,416,2875,merge
param_id_1,416,2875,merge
param_id_1,416,2865,merge
param_id_1,416,2865,merge
param_id_1,416,2876,merge
param_id_1,448,3046,merge
param_id_1,448,3056,merge
param_id_1,448,3055,merge
param_id_1,448,3046,merge
param_id_1,448,3046,merge
param_id_1,480,3227,merge
param_id_1,480,3226,merge
param_id_1,480,3226,merge
param_id_1,480,3226,merge
param_id_1,480,3226,merge
