param,value,time,tag
param_id_0,1,381,min
param_id_0,1,200,min
param_id_0,1,160,min
param_id_0,1,291,min
param_id_0,1,261,min
param_id_0,1,300,min
param_id_0,1,271,min
param_id_0,1,160,min
param_id_0,1,161,min
param_id_0,1,150,min
param_id_0,9,130,min
param_id_0,9,230,min
param_id_0,9,180,min
param_id_0,9,150,min
param_id_0,9,190,min
param_id_0,9,120,min
param_id_0,9,80,min
param_id_0,9,71,min
param_id_0,9,60,min
param_id_0,9,120,min
param_id_0,17,170,min
param_id_0,17,160,min
param_id_0,17,180,min
param_id_0,17,90,min
param_id_0,17,90,min
param_id_0,17,101,min
param_id_0,17,120,min
param_id_0,17,91,min
param_id_0,17,150,min
param_id_0,17,161,min
param_id_0,25,200,min
param_id_0,25,170,min
param_id_0,25,161,min
param_id_0,25,80,min
param_id_0,25,81,min
param_id_0,25,80,min
param_id_0,25,100,min
param_id_0,25,170,min
param_id_0,25,160,min
param_id_0,25,200,min
param_id_0,33,441,min
param_id_0,33,301,min
param_id_0,33,371,min
param_id_0,33,201,min
param_id_0,33,190,min
param_id_0,33,220,min
param_id_0,33,200,min
param_id_0,33,211,min
param_id_0,33,191,min
param_id_0,33,201,min
param_id_0,41,190,min
param_id_0,41,110,min
param_id_0,41,121,min
param_id_0,41,240,min
param_id_0,41,331,min
param_id_0,41,211,min
param_id_0,41,341,min
param_id_0,41,321,min
param_id_0,41,221,min
param_id_0,41,541,min
param_id_0,49,401,min
param_id_0,49,290,min
param_id_0,49,291,min
param_id_0,49,341,min
param_id_0,49,281,min
param_id_0,49,311,min
param_id_0,49,120,min
param_id_0,49,110,min
param_id_0,49,181,min
param_id_0,49,110,min
param_id_0,57,381,min
param_id_0,57,140,min
param_id_0,57,331,min
param_id_0,57,281,min
param_id_0,57,210,min
param_id_0,57,240,min
param_id_0,57,161,min
param_id_0,57,281,min
param_id_0,57,271,min
param_id_0,57,271,min
param_id_0,65,271,min
param_id_0,65,381,min
param_id_0,65,241,min
param_id_0,65,341,min
param_id_0,65,231,min
param_id_0,65,241,min
param_id_0,65,240,min
param_id_0,65,361,min
param_id_0,65,220,min
param_id_0,65,240,min
param_id_0,73,551,min
param_id_0,73,180,min
param_id_0,73,170,min
param_id_0,73,250,min
param_id_0,73,311,min
param_id_0,73,320,min
param_id_0,73,470,min
param_id_0,73,441,min
param_id_0,73,441,min
param_id_0,73,291,min
param_id_0,81,160,min
param_id_0,81,371,min
param_id_0,81,180,min
param_id_0,81,290,min
param_id_0,81,461,min
param_id_0,81,410,min
param_id_0,81,181,min
param_id_0,81,571,min
param_id_0,81,300,min
param_id_0,81,371,min
param_id_0,89,481,min
param_id_0,89,350,min
param_id_0,89,490,min
param_id_0,89,180,min
param_id_0,89,390,min
param_id_0,89,250,min
param_id_0,89,381,min
param_id_0,89,361,min
param_id_0,89,411,min
param_id_0,89,370,min
param_id_0,97,210,min
param_id_0,97,701,min
param_id_0,97,661,min
param_id_0,97,451,min
param_id_0,97,351,min
param_id_0,97,190,min
param_id_0,97,370,min
param_id_0,97,500,min
param_id_0,97,260,min
param_id_0,97,662,min
param_id_0,105,571,min
param_id_0,105,411,min
param_id_0,105,521,min
param_id_0,105,521,min
param_id_0,105,821,min
param_id_0,105,311,min
param_id_0,105,310,min
param_id_0,105,611,min
param_id_0,105,340,min
param_id_0,105,190,min
param_id_0,113,511,min
param_id_0,113,541,min
param_id_0,113,491,min
param_id_0,113,821,min
param_id_0,113,330,min
param_id_0,113,490,min
param_id_0,113,380,min
param_id_0,113,551,min
param_id_0,113,731,min
param_id_0,113,541,min
param_id_0,121,330,min
param_id_0,121,331,min
param_id_0,121,621,min
param_id_0,121,681,min
param_id_0,121,601,min
param_id_0,121,340,min
param_id_0,121,551,min
param_id_0,121,541,min
param_id_0,121,521,min
param_id_0,121,501,min
param_id_0,129,591,min
param_id_0,129,341,min
param_id_0,129,351,min
param_id_0,129,351,min
param_id_0,129,561,min
param_id_0,129,521,min
param_id_0,129,341,min
param_id_0,129,331,min
param_id_0,129,521,min
param_id_0,129,801,min
param_id_0,137,261,min
param_id_0,137,571,min
param_id_0,137,582,min
param_id_0,137,501,min
param_id_0,137,551,min
param_id_0,137,441,min
param_id_0,137,491,min
param_id_0,137,471,min
param_id_0,137,521,min
param_id_0,137,581,min
param_id_0,145,541,min
param_id_0,145,441,min
param_id_0,145,451,min
param_id_0,145,592,min
param_id_0,145,471,min
param_id_0,145,601,min
param_id_0,145,451,min
param_id_0,145,531,min
param_id_0,145,481,min
param_id_0,145,521,min
param_id_0,153,501,min
param_id_0,153,381,min
param_id_0,153,531,min
param_id_0,153,672,min
param_id_0,153,541,min
param_id_0,153,592,min
param_id_0,153,632,min
param_id_0,153,681,min
param_id_0,153,501,min
param_id_0,153,651,min
param_id_0,161,411,min
param_id_0,161,622,min
param_id_0,161,902,min
param_id_0,161,651,min
param_id_0,161,571,min
param_id_0,161,451,min
param_id_0,161,541,min
param_id_0,161,581,min
param_id_0,161,411,min
param_id_0,161,671,min
param_id_0,169,641,min
param_id_0,169,551,min
param_id_0,169,932,min
param_id_0,169,712,min
param_id_0,169,781,min
param_id_0,169,811,min
param_id_0,169,922,min
param_id_0,169,491,min
param_id_0,169,571,min
param_id_0,169,632,min
param_id_0,177,481,min
param_id_0,177,491,min
param_id_0,177,661,min
param_id_0,177,431,min
param_id_0,177,892,min
param_id_0,177,782,min
param_id_0,177,852,min
param_id_0,177,1392,min
param_id_0,177,611,min
param_id_0,177,471,min
param_id_0,185,712,min
