param,value,time,tag
n,0,1262,min_elt
n,0,711,min_elt
n,0,441,min_elt
n,0,571,min_elt
n,0,581,min_elt
n,0,431,min_elt
n,0,441,min_elt
n,0,771,min_elt
n,0,170,min_elt
n,0,441,min_elt
n,8,1373,min_elt
n,8,852,min_elt
n,8,641,min_elt
n,8,1203,min_elt
n,8,832,min_elt
n,8,681,min_elt
n,8,732,min_elt
n,8,421,min_elt
n,8,411,min_elt
n,8,932,min_elt
n,16,882,min_elt
n,16,761,min_elt
n,16,661,min_elt
n,16,952,min_elt
n,16,751,min_elt
n,16,821,min_elt
n,16,551,min_elt
n,16,641,min_elt
n,16,781,min_elt
n,16,992,min_elt
n,24,1022,min_elt
n,24,741,min_elt
n,24,982,min_elt
n,24,872,min_elt
n,24,992,min_elt
n,24,781,min_elt
n,24,772,min_elt
n,24,892,min_elt
n,24,842,min_elt
n,24,751,min_elt
n,32,781,min_elt
n,32,861,min_elt
n,32,982,min_elt
n,32,872,min_elt
n,32,1012,min_elt
n,32,882,min_elt
n,32,912,min_elt
n,32,892,min_elt
n,32,832,min_elt
n,32,1303,min_elt
n,40,1163,min_elt
n,40,882,min_elt
n,40,451,min_elt
n,40,571,min_elt
n,40,1372,min_elt
n,40,932,min_elt
n,40,832,min_elt
n,40,1072,min_elt
n,40,852,min_elt
n,40,661,min_elt
n,48,741,min_elt
n,48,982,min_elt
n,48,872,min_elt
n,48,782,min_elt
n,48,902,min_elt
n,48,1332,min_elt
n,48,1122,min_elt
n,48,671,min_elt
n,48,982,min_elt
n,48,912,min_elt
n,56,1062,min_elt
n,56,922,min_elt
n,56,1052,min_elt
n,56,1052,min_elt
n,56,1102,min_elt
n,56,1062,min_elt
n,56,1182,min_elt
n,56,862,min_elt
n,56,1212,min_elt
n,56,1343,min_elt
n,64,1253,min_elt
n,64,1132,min_elt
n,64,951,min_elt
n,64,1512,min_elt
n,64,1072,min_elt
n,64,1032,min_elt
n,64,1052,min_elt
n,64,1092,min_elt
n,64,1152,min_elt
n,64,1202,min_elt
n,72,1372,min_elt
n,72,1122,min_elt
n,72,1312,min_elt
n,72,1262,min_elt
n,72,1192,min_elt
n,72,802,min_elt
n,72,1062,min_elt
n,72,1362,min_elt
n,72,782,min_elt
n,72,1353,min_elt
n,80,1012,min_elt
n,80,1122,min_elt
n,80,1142,min_elt
n,80,981,min_elt
n,80,1062,min_elt
n,80,902,min_elt
n,80,1142,min_elt
n,80,1132,min_elt
n,80,1083,min_elt
